PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Doug McDermott,OKC,25,66,1508,0.4,1,0.6,0,6.1,4.7,10.8
Dante Cunningham,NOP,30,66,1649,1.2,2.4,1.1,0,9.5,5.7,15.2
Cristiano Felicio,CHI,24,66,1040,6,1.8,1.5,0,13.9,3,16.9
Dante Exum,UTA,21,66,1228,0.5,2,1.7,0.1,6.8,4.7,11.5
Eric Bledsoe,PHX,27,66,2176,0.1,4,1.7,0.2,6.4,3.9,10.3
Mario Hezonja,ORL,22,65,960,0.6,4.6,1.4,0.1,6.7,5.7,12.4
Aaron Brooks,IND,32,65,894,0.8,2.7,1.1,0.4,5.4,5.4,10.8
Jusuf Nurkic,POR,22,65,1391,6.6,4.3,1.2,0,17.7,2.3,20
Evan Turner,POR,28,65,1659,0.5,3,1.5,0,7.3,5.8,13.1
Devin Harris,DAL,34,65,1087,0.8,3.6,1.5,0.5,3.2,3.8,6.9
Anthony Tolliver,SAC,32,65,1477,2.3,2.3,1.1,0.4,7.9,4.4,12.3
Garrett Temple,SAC,31,65,1728,0.5,4.7,1.3,0.1,5.9,7.2,13.1
Tim Frazier,NOP,26,65,1525,0.4,3.5,1.7,0.3,4.1,5.3,9.4
Patrick Patterson,TOR,28,65,1599,3.6,2.5,0.7,0.2,8.9,5.9,14.8
Clint Capela,HOU,23,65,1551,5.1,1.8,1.9,0.2,16.8,3.7,20.5
Nemanja Bjelica,MIN,29,65,1190,1.7,3.3,1.6,0.1,10.3,5.2,15.5
Deron Williams,CLE,33,64,1657,1.4,2.3,1,0.2,5.6,4.5,10.1
Bobby Portis,CHI,22,64,1001,2.7,1.9,1.2,0,9.7,6.8,16.5
Justin Hamilton,BKN,27,64,1177,3.7,2.4,0.8,0.1,20.8,4.8,25.6
Semaj Christon,OKC,24,64,973,0.1,3.2,1.3,0,5.5,3.3,8.8
Derrick Rose,NYK,28,64,2082,0.6,2,1.8,0.1,4.6,3.8,8.3
Pau Gasol,SAS,36,64,1627,5,1.6,0.7,0,18.3,3,21.3
James Ennis III,MEM,26,64,1501,0.8,3,1.7,0.1,6.4,4.9,11.3
Jared Dudley,PHX,31,64,1362,2.7,3.4,1,0.5,10.1,4.5,14.6
Danilo Gallinari,DEN,28,63,2134,0.4,1.6,1.1,0.2,6.5,4.9,11.3
Larry Nance Jr.,LAL,24,63,1442,4.3,5.6,1.9,0,10.2,4.3,14.5
D'Angelo Russell,LAL,21,63,1811,0.5,4.3,1.5,0,5.1,4,9.1
Jerian Grant,CHI,24,63,1028,0.3,3.8,1.4,0.1,5.8,4.8,10.6
Tony Parker,SAS,35,63,1587,0.2,1.8,1.2,0,3.6,3.5,7.1
Cole Aldrich,MIN,28,62,531,7,5.7,2,0,16.5,3.5,20.1
Juancho Hernangomez,DEN,21,62,842,1,2.4,1.7,0,10.9,5.9,16.8
Cody Zeller,CHA,24,62,1725,10.2,3.5,1.9,0.1,13.6,2.1,15.7
DeAndre Liggins,DAL,29,62,777,0.5,6.1,1.5,0.2,5.8,4.6,10.4
Kevin Durant,GSW,28,62,2070,1.5,3.2,1.3,0.1,9,4.9,13.9
Thabo Sefolosha,ATL,33,62,1596,0.9,5.3,1.6,0,7.2,5.4,12.7
Jeremy Lamb,CHA,25,62,1143,0.2,2.7,1.1,0.1,6.5,6.3,12.9
Wayne Ellington,MIA,29,62,1500,0.3,2.2,1.5,0,5,4.1,9.1
C.J. Watson,ORL,33,62,1013,0.1,4.5,1.3,0.2,3.5,4.5,8
