PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Chris McCullough,WAS,22,16,80,4.8,1.8,0.6,0,12,7.8,19.8
Ryan Kelly,ATL,26,16,110,3.9,1.7,2.6,0.4,10.9,6.5,17.5
Archie Goodwin,BKN,22,15,214,0,2.9,1.3,0,7.2,6.3,13.5
Ronnie Price,PHX,34,14,134,0.7,6.8,1.4,0.7,2.9,2.9,5.7
Quinn Cook,NOP,24,14,187,0.5,1.5,1.5,0,2.6,4.4,6.9
Kyle Wiltjer,HOU,24,14,44,1.1,3.3,0,0,12,5.5,17.5
Anderson Varejao,GSW,34,14,92,7.8,3.1,1,0,15.1,5.2,20.3
Wayne Selden,MEM,22,14,236,0,2.2,2.2,0.2,6.3,5.5,11.8
Norris Cole,OKC,28,13,125,0,6.1,1.2,0,3.1,2.7,5.8
Alonzo Gee,DEN,30,13,89,0,4.3,1.6,0,5.9,4.9,10.8
Christian Wood,CHA,21,13,107,8.1,3.1,1.3,0,12.6,4.9,17.5
Chris Andersen,CLE,38,12,114,10.5,4.2,0.4,0,18.5,2.1,20.6
Joel Bolomboy,UTA,23,12,53,2.7,0.9,0.9,0,15.4,3.6,19
Jared Sullinger,TOR,25,11,118,4.5,3.7,2,0,14.2,4.5,18.7
Anthony Brown,ORL,24,11,159,0.3,2.7,1.8,0,4.8,6,10.9
Johnny O'Bryant III,CHA,24,11,81,4.1,1.2,1.8,0,7.1,2.4,9.5
Damian Jones,GSW,22,10,85,5.1,2.8,0.6,0,13.6,4,17.5
Bruno Caboclo,TOR,21,9,40,1.2,3.6,1.2,0,9.6,7.2,16.8
Pierre Jackson,DAL,25,9,84,0,4,1.1,0.6,2.9,3.4,6.3
Michael Gbinije,DET,25,9,32,0,0,1.5,0,3,3,6
Jarrod Uthoff,DAL,24,9,115,0.4,3.3,1.3,0,5.8,6.7,12.5
Tiago Splitter,PHI,32,8,76,9.5,1.9,1.3,0,20.2,3.2,23.4
Steve Novak,MIL,34,8,22,0,0,0,0,6.5,2.2,8.7
Arinze Onuaku,ORL,29,8,28,1.7,5.1,0,0,8.6,0,8.6
Jordan Hill,MIN,29,7,47,3.1,2,0,0,14.3,5.1,19.4
Diamond Stone,LAC,20,7,24,0,2,0,0,18,8,26
Alex Poythress,PHI,23,6,157,1.8,3.1,0.9,0,5.8,4.9,10.7
Gary Payton II,MIL,24,6,99,1,3.9,1,0,6.3,3.9,10.2
Reggie Williams,NOP,30,6,79,0,1.8,0.6,0,3.6,6.1,9.7
Chinanu Onuaku,HOU,20,5,52,8.3,5.5,2.8,0,17.5,1.8,19.4
Demetrius Jackson,BOS,22,5,17,0,2.8,0,0,5.6,5.6,11.3
Patricio Garino,ORL,24,5,43,1.1,1.1,0,0,1.1,4.5,5.6
Marcus Georges-Hunt,ORL,23,5,48,0,3,2,0,8,7,15
Lamar Patterson,ATL,25,5,40,0,9.6,1.2,0,6,8.4,14.4
Jarell Eddie,PHX,25,5,62,0,1.5,2.3,0,7.7,7,14.7
Aaron Harrison,CHA,22,5,17,0,0,0,0,5.6,0,5.6
Larry Sanders,CLE,28,5,13,3.7,3.7,3.7,0,25.8,0,25.8
John Lucas III,MIN,34,5,11,0,17.5,4.4,0,0,0,0
John Jenkins,PHX,26,4,13,0,0,3.7,0,3.7,3.7,7.4
Manny Harris,DAL,27,4,25,0,1.9,1.9,0,3.8,1.9,5.8
Isaiah Taylor,HOU,22,4,52,0,0.9,0,0,5.5,3.7,9.2
Axel Toupane,NOP,24,4,47,0,6.1,0,0,1,5.1,6.1
Greivis Vasquez,BKN,30,3,39,0,1.2,1.2,0,6.2,1.2,7.4
Brice Johnson,LAC,23,3,9,5.3,10.7,0,0,21.3,5.3,26.7
Jerryd Bayless,PHI,28,3,71,0,1.4,0,0,4.7,2,6.8
Ben Bentil,DAL,22,3,10,0,0,0,0,9.6,4.8,14.4
Justin Harper,PHI,27,3,31,3.1,1.5,3.1,0,13.9,7.7,21.7
RJ Hunter,CHI,23,3,9,0,0,0,0,5.3,5.3,10.7
Josh Huestis,OKC,25,2,31,0,1.5,4.6,0,18.6,7.7,26.3
Jordan Farmar,SAC,30,2,35,1.4,2.7,2.7,0,9.6,2.7,12.3
Edy Tavares,CLE,25,2,28,5.1,0,1.7,0,25.7,0,25.7
Jarrett Jack,NOP,33,2,33,0,4.4,1.5,1.5,8.7,4.4,13.1
Mike Tobey,CHA,22,2,25,1.9,1.9,0,0,9.6,5.8,15.4
Gary Neal,ATL,32,2,18,0,0,0,0,0,2.7,2.7
Elijah Millsap,PHX,29,2,23,4.2,6.3,0,0,6.3,0,6.3
Jarnell Stokes,DEN,23,2,7,13.7,0,6.9,0,13.7,0,13.7
Dahntay Jones,CLE,36,1,12,0,4,0,0,4,0,4
Danuel House,WAS,24,1,1,-,-,-,-,-,-,-
