ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Howard, Dwight ORL",79,79,35.7,26.1,113.5,94.5,0.6,0.572,86.7,0.2,13.8,29.5,21.8,7.30%,1.40%,5.90%,15.10%
"2 Garnett, Kevin BOS",57,57,31.1,23.4,112.4,97.4,0.563,0.532,17.8,1.1,5.6,26.7,16.6,14.70%,1.90%,3.10%,10.10%
"3 James, LeBron CLE",81,81,37.7,33.8,121.7,99,0.591,0.53,47.2,23.8,4.3,19,11.9,38.00%,2.40%,2.40%,11.00%
"4 Varejao, Anderson CLE",81,42,28.5,14.2,116.1,99.9,0.565,0.536,49.6,0.4,8.9,20.6,15,5.40%,1.80%,2.30%,11.50%
"5 Perkins, Kendrick BOS",76,76,29.6,14.8,104.7,100.2,0.591,0.577,33.5,0.4,11.5,21.4,16.7,6.50%,0.50%,5.30%,23.10%
"6 Duncan, Tim SA",75,75,33.6,28.5,111.2,100.2,0.549,0.504,43.6,0.2,9.6,27.9,18.9,19.30%,0.80%,3.70%,11.10%
"7 Ilgauskas, Zydrunas CLE",65,65,27.2,23.8,108.2,100.4,0.523,0.483,24,5.4,11,21.6,16.5,6.40%,0.90%,3.80%,10.10%
"8 Rondo, Rajon BOS",80,80,33,19.2,113.5,100.8,0.543,0.514,35.3,6.3,4.8,13.9,9.6,39.70%,3.00%,0.30%,19.20%
"9 Ming, Yao HOU",77,77,33.6,26.2,113.6,100.9,0.618,0.549,42.6,0.1,9.6,24.1,17.1,10.00%,0.60%,4.20%,16.00%
"10 Odom, Lamar LAL",78,32,29.7,18.1,110,101.7,0.542,0.516,36.6,14.7,8.7,22.2,15.5,12.80%,1.70%,3.30%,14.50%
"11 Ariza, Trevor LAL",82,20,24.4,16.6,112.4,102.2,0.544,0.511,28.4,32,6.4,13.4,10,10.40%,3.50%,0.90%,11.50%
"12 Przybilla, Joel POR",82,43,23.8,10.2,124.4,102.3,0.652,0.625,62.8,0.4,12.8,33.1,22.8,2.00%,1.00%,3.90%,18.50%
"13 Scola, Luis HOU",82,82,30.3,19.3,114.4,102.4,0.572,0.531,32.3,0.4,9.8,23.4,16.9,8.60%,1.50%,0.30%,11.90%
"14 Wallace, Gerald CHA",71,71,37.6,20.5,114.9,102.5,0.585,0.504,56,16.2,5.2,20.3,12.8,12.40%,2.50%,2.10%,12.80%
"15 Dalembert, Samuel PHI",82,82,24.8,13.6,102.8,102.5,0.535,0.498,28.6,0.5,12.5,28.9,20.6,1.40%,0.90%,5.80%,19.30%
"16 Lewis, Rashard ORL",79,79,36.2,22,112.5,102.7,0.58,0.54,24.7,50.9,3.7,13.9,8.9,12.50%,1.50%,1.30%,11.60%
"17 Okafor, Emeka CHA",82,81,32.8,18.9,111.7,102.8,0.581,0.561,47.8,0,12.7,25.2,19,3.50%,1.00%,4.20%,13.40%
"18 Paul, Chris NO",78,78,38.5,27.5,124.4,103.1,0.599,0.528,41.8,14,2.8,14.6,8.7,54.50%,3.90%,0.30%,13.50%
"19 Davis, Glen BOS",76,16,21.5,17.1,105.8,103.3,0.502,0.444,39.6,1.1,9.4,12.8,11.2,6.50%,1.70%,0.90%,11.80%
"20 World Peace, Metta HOU",69,55,35.5,24.5,104.1,103.4,0.512,0.475,25.3,36.9,3.2,13.4,8.5,16.20%,2.30%,0.70%,10.80%
"21 Wallace, Rasheed DET",66,63,32.2,18.5,107.1,103.5,0.52,0.498,14,44.3,3.1,24.6,13.7,7.10%,1.60%,3.10%,7.20%
"22 Lee, Courtney ORL",77,42,25.2,15.5,107.2,103.5,0.556,0.526,17.4,37.6,1.1,9.1,5.2,7.60%,2.00%,0.50%,10.60%
"23 Pierce, Paul BOS",81,81,37.5,25.4,112,103.6,0.582,0.508,46.8,25.7,2.4,15.4,9.2,16.30%,1.40%,0.70%,13.80%
"24 West, Delonte CLE",64,64,33.7,16.7,113.6,103.7,0.559,0.53,17.3,36.5,1.8,9.1,5.6,16.60%,2.40%,0.50%,12.00%
"25 Thomas, Tyrus CHI",79,61,27.5,19.4,104.3,103.8,0.525,0.453,44.5,1.3,7.8,18.9,13.4,5.50%,2.20%,5.10%,13.60%
"26 Turkoglu, Hedo ORL",77,77,36.6,23,107.2,103.9,0.541,0.478,38,36.7,1.8,14.2,8.2,22.50%,1.20%,0.50%,14.60%
"27 Horford, Al ATL",67,67,33.5,16.4,114,103.9,0.565,0.525,34.5,0.2,7.6,25,16.3,11.90%,1.30%,3.30%,13.10%
"28 Bonner, Matt SA",81,67,23.8,14.6,122.9,104,0.611,0.606,4.3,50,6.1,17.6,11.9,6.80%,1.30%,1.00%,6.30%
"29 McDyess, Antonio DET",62,30,30.1,15.7,115.1,104.3,0.529,0.51,16.4,0,11.6,27.2,19.3,7.30%,1.20%,2.10%,8.30%
"30 Smith, Josh ATL",69,69,35.1,22.6,103.5,104.4,0.533,0.508,42.3,10.2,6.5,17.6,12.1,12.10%,2.10%,3.50%,13.80%
"31 Camby, Marcus LAC",62,55,31,15.8,111.7,104.6,0.556,0.513,36.7,0.8,9.4,32.7,20.7,10.80%,1.40%,5.10%,13.90%
"32 Hilario, Nene DEN",77,76,32.6,18.1,120.3,104.6,0.645,0.604,51.9,0.7,8.7,18.7,13.8,7.10%,1.90%,3.10%,14.40%
"33 Martin, Kenyon DEN",66,66,32,17.7,103.5,104.6,0.523,0.502,30.4,5.9,4.6,16.8,10.9,10.00%,2.30%,2.70%,12.40%
"34 Battier, Shane HOU",60,59,33.9,9.9,118.2,104.8,0.568,0.538,18.9,66.9,3.1,12.9,8.2,10.00%,1.30%,1.90%,11.30%
"35 Szczerbiak, Wally CLE",74,5,20.6,15.4,116.3,104.9,0.581,0.536,26.6,42.2,3.5,14.2,9,8.30%,1.00%,0.50%,11.00%
"36 Wade, Dwyane MIA",79,79,38.6,36.2,115.2,104.9,0.574,0.516,44.3,16,3.5,12.2,7.8,40.30%,3.00%,2.80%,11.60%
"37 Kirilenko, Andrei UTA",67,10,27.3,20.3,108.7,105,0.549,0.467,54.6,12.8,5.5,15.3,10.4,14.70%,2.30%,3.30%,14.60%
"38 Millsap, Paul UTA",76,38,30.1,20,115.6,105,0.576,0.534,43.5,0.5,13.1,21,17,9.80%,1.80%,2.50%,12.60%
"39 Gasol, Pau LAL",81,81,37,20.4,125.6,105.3,0.617,0.567,42,0.2,10,19.3,14.7,14.80%,0.90%,2.10%,11.30%
"40 Noah, Joakim CHI",80,55,24.2,12.3,122.9,105.5,0.594,0.556,48.9,0.3,14.5,21.3,17.9,8.10%,1.30%,4.10%,15.40%
