PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Dragan Bender,PHX,20,82,2069,3,1,0.8,0,12.9,7.3,20.2
E'Twaun Moore,NOP,29,82,2586,0.3,2.6,2,0,6.1,3.7,9.8
PJ Tucker,HOU,33,82,2281,2.2,2.8,2.1,0.2,6.7,4.7,11.5
Pat Connaughton,POR,25,82,1488,0.6,1.7,1.6,0,7.9,5,12.9
Patrick Patterson,OKC,29,82,1270,3.1,2.9,1.1,0.1,11.1,4.5,15.6
Patty Mills,SAS,29,82,2107,0.4,2.4,1.7,0.1,2.9,2.9,5.8
Yogi Ferrell,DAL,25,82,2265,0.2,2.5,1.9,0.3,4.2,4.5,8.7
Joe Ingles,UTA,30,82,2579,0.6,3.5,1.6,0,4.2,4.5,8.7
Raymond Felton,OKC,34,82,1365,0.5,3.2,2.1,0.1,5,4.5,9.5
Khris Middleton,MIL,26,82,2982,0.9,3.6,1.7,0.2,4.8,4.8,9.6
Jakob Poeltl,TOR,22,82,1524,7.3,2.6,1.8,0.1,21.9,3.8,25.7
Julius Randle,LAL,23,82,2190,3.6,1.9,2.1,0,10.2,4.8,15
Ish Smith,DET,29,82,2043,0.3,2.7,2.1,0.3,5.4,3.9,9.4
Lance Stephenson,IND,27,82,1850,0.1,2.9,1.7,0,3.1,3.6,6.7
LeBron James,CLE,33,82,3026,1.3,2.8,1.5,0.2,5.2,3.9,9.1
Dillon Brooks,MEM,22,82,2350,0.2,2.9,1.3,0.1,6.1,6.6,12.7
Taj Gibson,MIN,33,82,2726,3.7,1.9,1.6,0,9.2,6.1,15.3
Taurean Prince,ATL,24,82,2464,0.3,2.9,1.8,0.2,6.1,4.4,10.6
Darius Miller,NOP,28,82,1944,0.4,1.6,1.4,0,6.1,4.9,11
Karl-Anthony Towns,MIN,22,82,2918,3.5,1.9,1.9,0.3,15.5,4,19.4
Cory Joseph,IND,26,82,2210,0.5,2.6,1.6,0.1,5.4,6.2,11.6
Marcin Gortat,WAS,34,82,2074,8.4,1.4,1.2,0.5,14,2.9,16.9
Tyus Jones,MIN,22,82,1467,0.3,5.2,2.2,0.2,4.4,5.1,9.5
Andrew Wiggins,MIN,23,82,2979,0.3,2.2,1.4,0,5.7,6.3,11.9
Bradley Beal,WAS,25,82,2977,0.5,2.7,1.5,0.1,5,5.5,10.5
Bismack Biyombo,ORL,25,82,1495,7.1,1.4,1.4,0,15.8,3,18.8
Thaddeus Young,IND,30,81,2607,2,5.4,2.2,0.3,8.7,7,15.7
Will Barton,DEN,27,81,2683,0.1,2.6,1.4,0,5,3.9,8.9
Jordan Clarkson,CLE,26,81,1887,0.4,2.2,1.6,0,6.5,4.8,11.3
Ben Simmons,PHI,21,81,2732,1.1,4.1,2.6,0.1,6.3,5.3,11.6
Kelly Oubre Jr.,WAS,22,81,2231,0.4,4.6,1.5,0.2,6,5,11
Josh Richardson,MIA,24,81,2690,0.3,3.9,1.7,0.1,7.7,4.4,12.1
Jrue Holiday,NOP,28,81,2927,0.6,4.2,2.2,0,6,5.7,11.7
Dejounte Murray,SAS,21,81,1743,0.2,4.6,2.8,0,8.4,5.5,13.9
Pascal Siakam,TOR,24,81,1679,2.3,3.3,2.3,0,9.7,5,14.7
Jerami Grant,OKC,24,81,1647,4,1.5,1.4,0.5,10.4,5.2,15.5
CJ McCollum,POR,26,81,2924,0.4,2.1,1.8,0,5.7,4,9.8
Jamal Murray,DEN,21,81,2565,0.7,3.1,1.9,0.1,6.6,5.1,11.7
Doug McDermott,DAL,26,81,1768,0.4,1.1,1.1,0,4.3,4.6,9
Dwight Howard,CHA,32,81,2463,6.6,2.5,1,0,11.3,2.5,13.8
Aron Baynes,BOS,31,81,1485,6.3,0.8,1.2,0.5,18.6,3.9,22.5
Jae Crowder,UTA,27,80,2090,1.1,2.7,1.2,0,7,5.5,12.5
Jayson Tatum,BOS,20,80,2443,0.7,2.6,1.3,0,5.3,4.7,10
Robert Covington,PHI,27,80,2531,0.6,6,2,0,6.5,5.5,12
Bryn Forbes,SAS,24,80,1517,0.3,1.3,1.4,0,4.7,4,8.6
Buddy Hield,SAC,24,80,2024,0.1,3.6,2.2,0,7.3,5.2,12.5
Marco Belinelli,PHI,32,80,1947,0.4,2.7,1.4,0,3.8,5.2,9
Tobias Harris,LAC,25,80,2668,1.8,2.2,1.6,0,8.5,5.5,14
Bojan Bogdanovic,IND,29,80,2465,0.2,1.7,1.1,0,5.8,5.1,10.9
Jamal Crawford,MIN,38,80,1653,0.1,2.1,1.3,0,1.5,2.2,3.7
Kemba Walker,CHA,28,80,2736,0.3,2.6,1.8,0.4,6,5.2,11.2
Jeremy Lamb,CHA,26,80,1967,0.2,3,1.7,0,4.7,5.9,10.6
DeMar DeRozan,TOR,28,80,2712,0.2,2.5,1.6,0,3.1,2.3,5.4
Nick Young,GSW,33,80,1393,1.1,2.2,1.5,0.1,4.9,4.5,9.4
Russell Westbrook,OKC,29,80,2914,0.2,4.4,2.8,0.1,2.5,2.2,4.7
JR Smith,CLE,32,80,2244,0.9,2.6,1.4,0.1,3.7,4.8,8.5
Terry Rozier,BOS,24,80,2068,0.5,2.8,1.8,0.1,3.5,4,7.5
Spencer Dinwiddie,BKN,25,80,2306,0.8,2.5,1.7,0,5.8,3.5,9.3
Gorgui Dieng,MIN,28,79,1333,4.9,3.8,2.1,0.5,14,5.1,19.1
Anthony Tolliver,DET,33,79,1757,3.2,1.5,1.5,0.5,8.2,5.2,13.4
Paul George,OKC,28,79,2891,0.4,5.1,2.4,0.1,5.4,5.1,10.5
Lou Williams,LAC,31,79,2582,0.4,3,1.7,0.1,3.3,4,7.4
Jusuf Nurkic,POR,23,79,2088,6.8,3,1.6,0,17.8,3.4,21.2
Frank Kaminsky,CHA,25,79,1835,3.4,1.1,1.2,0.1,9.7,5.3,15
Evan Turner,POR,29,79,2034,0.4,1.8,1.4,0,5.6,4.5,10.1
Donovan Mitchell,UTA,21,79,2638,0.2,3.2,1.4,0,5.3,4.2,9.4
