PLAYER,TEAM,AGE,GP,MIN,SCREEN_ASSISTS,DEFLECTIONS_PER_48,LOOSE_BALLS_RECOVERED,CHARGES_DRAWN,CONTESTED_2PT_SHOTS,CONTESTED_3PT_SHOTS,CONTESTED_SHOTS
Dwight Powell,DAL,26,79,1660,4.8,3.8,2.1,0.2,12.5,7.2,19.7
Troy Daniels,PHX,26,79,1622,0.5,2.1,1.2,0.1,5.1,4.5,9.6
Carmelo Anthony,OKC,34,78,2501,1.2,2,1.1,0,5.7,5,10.7
Ed Davis,POR,29,78,1471,9.1,2,1.5,0,15.4,2.2,17.6
Andre Drummond,DET,24,78,2625,6.7,4.5,1.7,0,13.1,2.8,15.9
Jeff Green,CLE,31,78,1828,1.9,2,1.2,0.2,9.2,6.1,15.3
Kyle Lowry,TOR,32,78,2510,0.9,3.4,1.9,0.7,4.1,3.7,7.8
Joe Harris,BKN,26,78,1975,0.3,1.5,1.5,0,8,4.3,12.3
Bogdan Bogdanovic,SAC,25,78,2175,0.5,3.7,1.4,0,5.5,4.6,10.1
Frank Ntilikina,NYK,19,78,1706,0.3,3.5,1.5,0,6.7,3.9,10.6
Dario Saric,PHI,24,78,2310,1.6,2.1,1.4,0,9.7,5.9,15.6
Marvin Williams,CHA,32,78,2006,2.3,3.2,1.1,0,8.8,4.3,13.1
Ian Mahinmi,WAS,31,77,1145,6.7,3.6,1.6,0.1,14.8,3.9,18.7
Harrison Barnes,DAL,26,77,2622,1.2,1.5,1.8,0,7,5.1,12
Kyle Kuzma,LAL,22,77,2401,1.1,1.5,1,0.1,9.2,4.9,14.2
Dirk Nowitzki,DAL,40,77,1893,4,1.9,0.7,0,10.8,3.1,13.9
Jodie Meeks,WAS,30,77,1119,0.4,2,1.5,0,4.2,4.5,8.6
Josh Jackson,PHX,21,77,1959,0.3,2.9,1.9,0.1,5.6,4.4,10
Wayne Ellington,MIA,30,77,2041,1.1,2,1.5,0,3.9,4.9,8.8
Derrick Favors,UTA,26,77,2153,4.7,2.2,1.3,0,14,4.4,18.4
Denzel Valentine,CHI,24,77,2095,0.2,2.9,2,0,5.3,6.2,11.5
Otto Porter Jr.,WAS,25,77,2432,0.9,4.4,1.8,0,4.8,3.5,8.4
Jonas Valanciunas,TOR,26,77,1727,4.8,1.7,1.4,0.1,21.2,2.4,23.6
Ricky Rubio,UTA,27,77,2254,0.3,4.9,2.4,0.2,4.7,3.6,8.3
Kyle O'Quinn,NYK,28,77,1387,4.4,2.7,1.8,0,17.1,3.8,21
DeAndre Jordan,LAC,29,77,2414,6.1,1.6,1.2,0,9.4,2.5,12
Pau Gasol,SAS,37,77,1812,4.8,0.8,1.1,0.1,18.1,2.4,20.5
Davis Bertans,SAS,25,77,1086,1.5,2.1,0.9,0,13.2,5.4,18.6
Mike Scott,WAS,29,76,1406,2.4,1,1.4,0,7.9,5.1,12.9
Serge Ibaka,TOR,28,76,2093,2.4,1.4,1,0,11.1,4.6,15.7
Fred VanVleet,TOR,24,76,1520,0.6,4,2.3,0.2,4.9,4,8.9
Kelly Olynyk,MIA,27,76,1779,5.5,3.8,1.7,0.4,11.7,4.3,15.9
Courtney Lee,NYK,32,76,2310,0.4,3.1,1.3,0,3.8,4.4,8.1
John Henson,MIL,27,76,1969,4.9,2.7,0.8,0,14.5,3.2,17.7
Steven Adams,OKC,24,76,2487,7.1,3.3,2,0,14.1,5.6,19.7
T.J. McConnell,PHI,26,76,1707,0.4,4.9,2.3,0,4.5,3.3,7.9
Montrezl Harrell,LAC,24,76,1286,4.3,2.5,1.6,0.4,14.7,6.7,21.4
Giannis Antetokounmpo,MIL,23,75,2756,1.9,3.3,2.3,0,8.6,4.8,13.4
Alex Abrines,OKC,24,75,1134,0.2,2.8,1.6,0.1,6.5,6.1,12.6
Victor Oladipo,IND,26,75,2552,0.2,5.3,2.3,0.2,5.7,6.7,12.4
Tony Snell,MIL,26,75,2053,0.4,2.2,1.3,0,5.7,4.3,10
Goran Dragic,MIA,32,75,2378,0.6,2.2,2,0.1,5.7,2.6,8.4
Mario Hezonja,ORL,23,75,1657,0.9,4,1.5,0.1,8.9,5.2,14.1
LaMarcus Aldridge,SAS,32,75,2509,4.6,2.1,1.5,0,14.4,3.7,18.1
D.J. Augustin,ORL,30,75,1760,0.6,1.9,1.6,0.2,2.8,3,5.8
Anthony Davis,NOP,25,75,2727,5.1,3.2,2,0.2,13,5.9,18.9
Nikola Jokic,DEN,23,75,2443,6.3,3.6,1.9,0.2,14,4.5,18.5
Allen Crabbe,BKN,26,75,2197,0.4,2.4,1.4,0,5.7,3.3,9
Michael Beasley,NYK,29,74,1653,2.4,2.9,1.5,0,7.1,4.8,11.9
Jonas Jerebko,UTA,31,74,1134,1.6,1.8,1,0.3,8.6,3.9,12.5
Domantas Sabonis,IND,22,74,1810,7.4,2,1.4,0.1,12.6,3.7,16.3
Clint Capela,HOU,24,74,2034,5.2,1.8,2,0.2,18.1,4.5,22.6
John Collins,ATL,20,74,1785,6.2,2,1.8,0,15.4,4.4,19.8
Kyle Anderson,SAS,24,74,1978,0.8,4.5,1.8,0.1,7.1,3.6,10.7
Brook Lopez,LAL,30,74,1735,4.3,2.1,1,0,20.7,5.1,25.8
Wesley Johnson,LAC,30,74,1475,0.2,4.8,1.2,0,8.5,5,13.5
Thon Maker,MIL,21,74,1238,4.7,2.6,1.8,0,17.8,4.4,22.2
Mason Plumlee,DEN,28,74,1439,5.1,4.2,1.8,0.2,14.2,3.7,17.8
Eric Bledsoe,MIL,28,74,2322,0.7,5.1,2.2,0.1,6.1,4.6,10.7
Jerian Grant,CHI,25,74,1686,0.3,3,1.3,0.1,5,5.9,10.9
OG Anunoby,TOR,20,74,1481,0.3,3.1,1.4,0.1,7.2,5.4,12.5
Kentavious Caldwell-Pope,LAL,25,74,2458,0.1,3.4,2,0.1,3.5,2.7,6.1
Ian Clark,NOP,27,74,1454,0.6,1.7,1.4,0,5,4.1,9
Amir Johnson,PHI,31,74,1170,7.5,3,2.1,0.2,14.3,2.5,16.7
Michael Kidd-Gilchrist,CHA,24,74,1850,0.4,2.1,1.7,0.1,8.5,5.8,14.3
Shabazz Napier,POR,26,74,1536,0.3,4.7,1.8,0.1,4.4,4,8.5
Wilson Chandler,DEN,31,74,2346,0.3,1.5,1.7,0,5.7,4.6,10.3
Jarell Martin,MEM,24,73,1661,1.4,2.3,1.2,0.2,9.7,5.2,14.9
Trey Lyles,DEN,22,73,1391,2.3,1.6,1.3,0.1,10.6,5.5,16.1
Willie Cauley-Stein,SAC,24,73,2044,5.4,3.2,1.7,0.2,10.6,5.3,15.9
James Johnson,MIA,31,73,1943,3.5,3.5,1.7,0,8.5,5.2,13.7
Luke Kennard,DET,22,73,1463,0.2,2.1,1.3,0,4.8,4.9,9.6
Bobby Portis,CHI,23,73,1643,4.1,2.7,1.4,0,7.3,4.1,11.5
Kyle Korver,CLE,37,73,1574,1.8,1.6,1.2,0.1,6.6,5.2,11.8
Lance Thomas,NYK,30,73,1353,1.3,2.3,1,0.2,4.7,4.6,9.3
Dante Cunningham,BKN,31,73,1562,2.2,2.3,1.4,0,10.4,3.7,14
Damian Lillard,POR,27,73,2670,0.2,2.4,2.2,0.1,3.7,2.5,6.2
Semi Ojeleye,BOS,23,73,1150,0.7,1.7,1,0.3,8,5.4,13.4
David West,GSW,37,73,999,5.1,4.5,1.4,0,17,5.5,22.5
Klay Thompson,GSW,28,73,2504,0.6,1.6,1.5,0,5.6,3.6,9.2
Sindarius Thornwell,LAC,23,73,1141,0.3,3.3,1.9,0.2,7.5,5.9,13.4
Tomas Satoransky,WAS,26,73,1643,0.3,3,2,0.1,5.7,4.5,10.2
Marc Gasol,MEM,33,73,2408,5,2.5,1.4,0.2,11.8,2.5,14.3
Markieff Morris,WAS,28,73,1968,2.7,2.4,1.6,0.1,8,3.9,11.9
De'Aaron Fox,SAC,20,73,2026,0.3,2.6,2,0.1,4.7,6.3,11
DeMarre Carroll,BKN,31,73,2180,1,2.7,2.1,0.1,7.9,3.9,11.8
Maxi Kleber,DAL,26,72,1194,3.9,2.3,1.2,0.1,14.2,5.4,19.6
Sam Dekker,LAC,24,72,873,1.1,2.3,2,0,9,4.2,13.1
Corey Brewer,OKC,32,72,1209,0.4,5,2.6,0.4,6.4,6.5,12.9
Justin Holiday,CHI,29,72,2265,0.4,3.4,1.4,0,6.7,5.4,12.1
Tyler Johnson,MIA,26,72,2052,0.5,2.6,1.5,0.1,7.9,4.8,12.8
James Ennis III,DET,27,72,1604,0.4,2.8,1.6,0,5.4,5.4,10.9
James Harden,HOU,28,72,2551,0.5,3.9,1.7,0,6,4.2,10.2
Jarrett Allen,BKN,20,72,1441,5.2,1.9,1.7,0,23.2,3.2,26.3
Al Horford,BOS,32,72,2277,4.1,2,1.2,0,13.3,5.3,18.6
Marquese Chriss,PHX,20,72,1527,3.8,2.1,1.5,0,14.2,5.4,19.6
Kosta Koufos,SAC,29,71,1391,6.8,3,1.2,0,14.6,3.1,17.7
Shaun Livingston,GSW,32,71,1129,1.2,2.4,1.5,0,6.7,4,10.8
Enes Kanter,NYK,26,71,1830,5.3,1.8,1.3,0,13.1,3,16.1
Tyler Ulis,PHX,22,71,1658,0.5,4.1,1.9,0.1,4.2,3.4,7.6
Devin Harris,DEN,35,71,1332,0.2,3.4,2,0.4,3.5,3.8,7.3
Caris LeVert,BKN,23,71,1864,0.4,4.2,1.9,0.2,6.2,5,11.2
Danny Green,SAS,31,70,1791,0.5,3.8,1.3,0.1,10.3,5.4,15.8
David Nwaba,CHI,25,70,1646,0.3,3,2,0,6.4,5.5,11.9
JJ Redick,PHI,34,70,2116,1.2,1.3,1.1,0.1,4.3,3.4,7.7
Draymond Green,GSW,28,70,2287,2.6,4.6,1.3,0.1,11.7,5.8,17.5
Quincy Acy,BKN,27,70,1359,3.8,3.5,1,0.7,11.1,4,15.1
Norman Powell,TOR,25,70,1062,0.4,3.5,1.3,0,4.3,3.8,8
Jeff Teague,MIN,30,70,2311,0.6,3.9,1.8,0.1,3.8,4.2,8
Jaylen Brown,BOS,21,70,2152,0.4,3.1,1.8,0.1,5.2,5.3,10.5
CJ Miles,TOR,31,70,1337,0.5,2.7,1.3,0.2,3.9,4.3,8.2
Stanley Johnson,DET,22,69,1894,0.2,3.8,1.8,0,5,4.1,9
Dennis Smith Jr.,DAL,20,69,2036,0.8,3.5,2.2,0.1,5.4,6.1,11.5
Alex Len,PHX,25,69,1395,9,1.8,1.2,0,19.3,2.7,22
Bam Adebayo,MIA,20,69,1368,7,2.6,1.6,0,11.6,4.5,16.1
Jonathon Simmons,ORL,28,69,2029,0.2,2.8,1.5,0.1,4.2,3.9,8.1
J.J. Barea,DAL,34,69,1597,0.2,1.4,1.6,0.1,2.7,4,6.7
Darren Collison,IND,30,69,2018,0.3,3.8,1.9,0,3,4.6,7.7
Ersan Ilyasova,PHI,31,69,1730,3.5,3.2,1.7,0.9,8.8,4.2,12.9
Al-Farouq Aminu,POR,27,69,2072,2.4,3.6,2,0,9,4.8,13.8
Royce O'Neale,UTA,25,69,1150,0.2,2.8,1.6,0,5.9,4.2,10.1
Zaza Pachulia,GSW,34,69,972,9.3,4.7,1.7,0,14.3,4.9,19.2
Eric Gordon,HOU,29,69,2154,0.4,2.1,1.4,0,3.7,3.7,7.3
Josh Huestis,OKC,26,69,982,0.5,1.4,1.2,0,10.4,5.2,15.6
Delon Wright,TOR,26,69,1433,0.4,4.6,2.1,0.2,6.5,3.7,10.2
Shelvin Mack,ORL,28,69,1365,0.4,3.9,1.9,0.1,5.2,5.7,10.9
Kevin Durant,GSW,29,68,2325,0.8,2,1.4,0.1,8.8,4.7,13.6
Trevor Booker,IND,30,68,1158,5,2.1,1.8,0.1,8.3,5.3,13.6
Lauri Markkanen,CHI,21,68,2020,1.8,1.8,1.2,0,10.2,4.1,14.3
Justise Winslow,MIA,22,68,1680,1.4,2.9,2.3,0,8,5.6,13.6
Justin Jackson,SAC,23,68,1506,0.3,1.2,1.2,0,5.5,4.2,9.7
Rondae Hollis-Jefferson,BKN,23,68,1921,2.8,3.1,1.6,0,10.8,3.7,14.6
Trevor Ariza,HOU,33,67,2269,0.5,4.1,1.5,0,3.7,3.5,7.2
Eric Moreland,DET,26,67,805,7.7,3.5,1.5,0.8,16.5,3.3,19.7
Dwyane Wade,MIA,36,67,1536,0.5,4,1.8,0,5.7,4.9,10.6
Isaiah Taylor,ATL,23,67,1167,0,2.2,1.9,0.1,4.8,5,9.8
Gary Harris,DEN,23,67,2305,0.2,4.2,1.9,0.1,3.5,4.1,7.6
George Hill,CLE,32,67,1812,1,3.2,1.8,0.1,4.9,5.4,10.3
Dennis Schroder,ATL,24,67,2078,0.7,2.6,2.1,0.4,4.2,5.3,9.4
Nemanja Bjelica,MIN,30,67,1371,0.8,3.2,1.3,0.1,9.7,5.9,15.6
Ryan Anderson,HOU,30,66,1725,1.9,1.1,1.2,0.2,8.8,3.8,12.6
Tyler Zeller,MIL,28,66,1108,5.8,1.1,1.1,0.3,19.6,4.1,23.7
Mario Chalmers,MEM,32,66,1421,0.4,4.4,2,0.4,2.9,3,5.9
Zach Collins,POR,20,66,1045,4.1,0.9,0.9,0,14,5.2,19.2
Larry Nance Jr.,CLE,25,66,1421,4.4,5.3,2.2,0.1,11.7,4.2,15.8
Kevon Looney,GSW,22,66,910,3.4,2.5,2.4,0.1,16.1,6.8,22.9
TJ Warren,PHX,24,65,2142,0.2,2.8,1.9,0,4.9,4.4,9.3
JaVale McGee,GSW,30,65,615,5.9,3.6,1.2,0,20.1,5.4,25.4
Garrett Temple,SAC,32,65,1615,0.3,3.6,1.7,0,5,6.2,11.2
Rajon Rondo,NOP,32,65,1705,1,3.7,2.2,0.1,2.5,3.5,6
Manu Ginobili,SAS,40,65,1299,0.5,4.7,1.3,0.6,3.3,2.9,6.2
Kent Bazemore,ATL,28,65,1789,0.7,5,2.1,0,6.2,4,10.2
Myles Turner,IND,22,65,1836,6.8,2.7,1.4,0.1,13.2,3.8,17
Emmanuel Mudiay,NYK,22,64,1244,0.4,2.8,1.6,0,3.7,4.7,8.5
Robin Lopez,CHI,30,64,1690,7.5,0.5,1,0,16.8,3.3,20.1
Nicolas Batum,CHA,29,64,1981,0.4,2.4,1.6,0,5.8,4.4,10.3
Alec Burks,UTA,26,64,1059,0.1,2.4,1.6,0,4.7,3.9,8.6
Brandon Paul,SAS,27,64,576,0.4,3.7,1.4,0.9,4.9,4.8,9.8
Andre Iguodala,GSW,34,64,1622,1.3,2.7,2.2,0,5.1,4.3,9.4
Wesley Matthews,DAL,31,63,2119,0.3,2.8,1.9,0.1,3.8,4.3,8.1
Treveon Graham,CHA,24,63,1050,0.6,2.3,2.4,0.3,5.2,4.8,10
Ekpe Udoh,UTA,31,63,810,8.9,4.2,1.7,0,19.7,4.3,24
Elfrid Payton,PHX,24,63,1809,0.8,3.8,2.6,0,5.5,4.7,10.1
Malik Monk,CHA,20,63,854,0.4,2.3,1.1,0.1,4,3.3,7.3
Josh Hart,LAL,23,63,1461,0.2,2.6,1.4,0.1,10.2,6,16.2
Joel Embiid,PHI,24,63,1912,4.8,1.7,2.1,0,15.2,3.1,18.3
Daniel Theis,BOS,26,63,936,5.5,2.8,1.8,0,16.6,4.3,20.8
Wes Iwundu,ORL,23,62,1020,0.2,2.3,1.4,0.1,5.3,5,10.3
Malik Beasley,DEN,21,62,583,0.1,1.9,2.1,0.2,5.5,3.5,9
Reggie Bullock,DET,27,62,1732,0.4,2.1,1.5,0.1,4.7,4.8,9.5
Deyonta Davis,MEM,21,62,943,6.8,2.3,1,0,14.4,3.2,17.6
Dewayne Dedmon,ATL,28,62,1542,5.4,2.5,1.9,0.1,11.2,5.3,16.5
Jarrett Jack,NYK,34,62,1548,0.5,2,2,0.1,3.3,5,8.2
Luc Mbah a Moute,HOU,31,61,1564,0.9,3.4,1.5,0.1,9.2,4.8,14
Terrance Ferguson,OKC,20,61,763,0.1,2.6,1.6,0,7.1,4.7,11.8
Austin Rivers,LAC,25,61,2048,0.2,2.9,1.6,0.1,4.2,2.7,6.9
Cedi Osman,CLE,23,61,673,0.6,3.7,1.7,0.1,7,4.9,11.9
Rodney Hood,CLE,25,60,1616,0.4,1.9,1.2,0.1,5.3,3.9,9.2
Salah Mejri,DAL,32,60,719,8.9,2.4,2.1,0.7,19.8,4.2,24
Kyrie Irving,BOS,26,60,1931,0.7,2.9,1.8,0.1,4.5,3.3,7.8
Skal Labissiere,SAC,22,60,1240,2.8,1.5,1.8,0.1,11.5,6.6,18.2
Kevin Love,CLE,29,59,1651,2.3,2.2,1.7,0.3,8.4,3.1,11.5
Zach Randolph,SAC,36,59,1508,2.8,2.2,1.3,0,7.1,4.5,11.5
Brandon Ingram,LAL,20,59,1975,0.3,2.5,1.4,0,6.5,6.1,12.6
Jimmy Butler,MIN,28,59,2164,0.5,4.6,2.5,0.2,4.1,4.1,8.2
Maurice Harkless,POR,25,59,1264,0.4,3.4,1.4,0,7.9,4.2,12.1
Tim Frazier,WAS,27,59,838,0.5,3.6,2.1,0.5,4.2,5.4,9.6
Vince Carter,SAC,41,58,1026,1.4,2.9,1.8,0.1,5.4,5.3,10.8
Blake Griffin,DET,29,58,1959,4.1,2,1.4,0.3,8.2,5.5,13.7
Aaron Gordon,ORL,22,58,1909,1.3,2.1,1.8,0.1,6.8,2.6,9.4
Chris Paul,HOU,33,58,1847,0.7,4.5,2.3,0.1,3.5,2.9,6.4
Langston Galloway,DET,26,58,863,0.2,3.1,2,0.1,4.6,4.9,9.5
DeAndre Liggins,NOP,30,58,724,0.1,4.3,2.3,0.5,5.2,3.8,9
Jose Calderon,CLE,36,57,914,1.2,3,2.2,0.3,5,5.1,10.2
Jordan Bell,GSW,23,57,809,5,4,1.7,0,15.5,7.4,22.9
Tim Hardaway Jr.,NYK,26,57,1885,0.3,2.1,1.7,0.3,4.3,5.2,9.5
Patrick McCaw,GSW,22,57,961,0.6,3.6,1.7,0.1,5.5,3.5,9
Rudy Gay,SAS,31,57,1231,1,3.6,2.1,0.1,8.7,5.9,14.6
Evan Fournier,ORL,25,57,1837,0.6,3.2,1.2,0,4.5,3.4,8
Nikola Vucevic,ORL,27,57,1683,6,3,1,0,13.2,2.8,16
Rudy Gobert,UTA,26,56,1816,9.1,2.1,1.1,0,18.9,3.4,22.3
Tyler Dorsey,ATL,22,56,974,0.1,2,1.7,0,4.8,4.6,9.4
Ben McLemore,MEM,25,56,1091,0.2,3.3,1.8,0.1,3.9,4.5,8.4
Andrew Harrison,MEM,23,56,1326,0.4,3.4,1.9,0.4,4.6,5.5,10.1
Tony Parker,SAS,36,55,1071,0.1,1.6,1.5,0,2.8,3.5,6.3
Nikola Mirotic,NOP,27,55,1494,1.5,3,2.2,0.1,10.2,5.9,16.1
Cristiano Felicio,CHI,25,55,977,6.7,1.6,1.4,0,11.1,4.1,15.1
Joe Johnson,HOU,37,55,1205,0.9,1.5,1.5,0,5.3,6,11.3
Joffrey Lauvergne,SAS,26,55,534,7.1,1,1.6,0,11.2,2.2,13.4
JaMychal Green,MEM,28,55,1542,2.2,2.1,1.6,0.1,5.6,4.9,10.5
Miles Plumlee,ATL,29,55,918,8.5,2.1,1.5,0.1,17.4,3.2,20.6
Tyler Ennis,LAL,23,54,683,0.1,2.7,2.2,0.1,6.5,4.4,10.9
Sterling Brown,MIL,23,54,776,0.2,3.2,2.2,0,4.8,5.5,10.3
Devin Booker,PHX,21,54,1865,0.6,1.9,1.7,0.1,4.1,4.5,8.6
Malcolm Delaney,ATL,29,54,1014,0.5,3.4,1,0.6,2.6,4,6.6
Marcus Morris,BOS,28,54,1442,1.7,1.6,1.6,0.1,6.2,4.2,10.4
Hassan Whiteside,MIA,29,54,1364,5.9,2.2,1.8,0,16.3,1.9,18.2
Noah Vonleh,CHI,22,54,876,2.7,1.7,2,0.1,10.5,4.5,15
Shane Larkin,BOS,25,54,775,0,3.5,2.1,0.4,4.3,4.4,8.7
Paul Zipser,CHI,24,54,824,0.8,2.3,1.3,0,9.9,6.1,16
Marcus Smart,BOS,24,54,1614,0.6,4.6,1.1,0.4,5.1,5.3,10.4
Joe Young,IND,26,53,558,0,2.5,2.3,0.2,3.5,4.6,8.2
Mike Muscala,ATL,26,53,1060,3.5,2.2,0.9,0,14.9,6.2,21.1
Tristan Thompson,CLE,27,53,1072,8,1.2,2.2,0,14.4,5.7,20.1
Arron Afflalo,ORL,32,53,682,0.4,0.6,0.8,0,5.6,5,10.6
Omri Casspi,GSW,30,53,742,0.8,2.2,0.8,0,8.7,3.5,12.2
Channing Frye,LAL,35,53,695,4.7,1.7,0.9,0.1,15.5,5,20.5
TJ Leaf,IND,21,53,459,1.7,1,1.2,0,9.8,5.9,15.7
Dwayne Bacon,CHA,22,53,713,0.2,1.2,1.1,0,5.8,6,11.8
Marreese Speights,ORL,30,52,675,3.3,1.1,1,1.4,12,3.9,15.9
Tyreke Evans,MEM,28,52,1607,0.1,2.9,2,0,4,5,9.1
Lonzo Ball,LAL,20,52,1780,0.5,4,1.8,0,6.4,4.4,10.8
Kris Dunn,CHI,24,52,1525,0.3,5.2,2.2,0,6.3,6.3,12.6
Nene,HOU,35,52,758,6.4,4.6,1.6,0.1,11.4,6.2,17.6
Timothe Luwawu-Cabarrot,PHI,23,52,807,0.3,2,1.4,0,7,5.5,12.4
Cheick Diallo,NOP,21,52,581,5.7,1.6,1.5,0,14.3,4,18.3
Frank Mason,SAC,24,52,984,0.2,2.3,2.1,0,2.7,4.9,7.6
