ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Camby, Marcus DEN",56,54,33.2,19.5,102.3,94.9,0.499,0.466,24,1.7,8.4,33.3,21,10.20%,2.20%,7.50%,11.40%
"2 Diop, DeSagana DAL",81,45,18.6,6.9,115.8,99.7,0.512,0.49,46.8,1.3,11.8,17.9,14.9,2.20%,1.60%,7.40%,16.20%
"3 Kirilenko, Andrei UTA",69,63,37.7,20.5,108.3,101.2,0.556,0.485,67.8,16,7.4,18.4,12.9,20.50%,2.10%,7.00%,17.60%
"4 Dalembert, Samuel PHI",66,52,26.7,13.8,103.7,102.4,0.568,0.531,35.8,0.3,10.6,25.4,18,2.20%,1.00%,6.90%,20.00%
"5 Smith, Josh ATL",80,73,31.8,19,102.7,107.9,0.5,0.447,37.7,14.2,8.1,17.3,12.5,12.30%,1.30%,6.20%,15.20%
"6 Foyle, Adonal GS",77,72,23.7,10,100.4,103.3,0.524,0.507,22.3,0,8.5,17.6,13,2.80%,1.20%,5.10%,19.50%
"7 Brand, Elton LAC",79,79,39.2,27.7,116.1,100.1,0.58,0.527,39.6,0.2,9.3,19.9,14.8,13.10%,1.40%,4.90%,9.30%
"8 O'Neal, Jermaine IND",51,47,35.3,28.9,102.4,98.9,0.53,0.474,45.7,1.2,6.7,23.2,15.2,14.90%,0.80%,4.70%,13.50%
"9 Wallace, Gerald CHA",55,52,34.5,19.3,111.6,100,0.578,0.55,52,8.5,7.1,18.9,12.6,8.80%,3.70%,4.70%,12.00%
"10 Wallace, Ben DET",82,82,35.3,11.2,112.4,95.2,0.501,0.51,63.7,0.9,12.2,25.9,19,8.20%,2.80%,4.60%,12.90%
"11 Ilgauskas, Zydrunas CLE",78,78,29.3,24.6,114.3,103.5,0.576,0.506,42.7,0.6,12.6,18.1,15.3,7.40%,0.90%,4.60%,12.80%
"12 O'Neal, Shaquille MIA",59,58,30.6,30,107.9,101.6,0.586,0.6,58.9,0,11.7,23.1,17.6,12.40%,0.70%,4.40%,14.30%
"13 Haywood, Brendan WSH",79,70,23.8,14.9,108.7,106.5,0.542,0.514,51.9,0,12,17,14.5,3.90%,0.80%,4.30%,15.50%
"14 Dampier, Erick DAL",82,36,23.6,13.4,108.4,102.5,0.531,0.493,62,0,17.3,22.4,19.9,4.00%,0.80%,4.20%,20.70%
"15 Duncan, Tim SA",80,80,34.8,27.7,106.1,94.4,0.523,0.485,45,0.4,10.1,26.9,18.7,16.50%,1.40%,4.20%,12.20%
"16 Nesterovic, Rasho SA",80,51,18.9,12.6,105.1,99.1,0.521,0.515,9,0.6,9.1,14.8,12.1,3.40%,0.80%,4.20%,13.20%
"17 Ming, Yao HOU",57,57,34.2,29.9,112.5,99.8,0.592,0.519,43.9,0.1,9.1,25.6,17.5,9.80%,0.80%,3.90%,12.00%
"18 Gasol, Pau MEM",80,80,39.2,26.4,110.5,100.5,0.555,0.504,51.7,1,7.5,20,13.8,23.70%,0.80%,3.90%,13.80%
"19 Chandler, Tyson CHI",79,50,26.8,10.4,107.5,99.5,0.567,0.565,68.2,0.4,14.4,24.2,19.3,5.60%,1.00%,3.80%,25.10%
"20 Mihm, Chris LAL",59,56,26.1,18.7,110.5,105.4,0.552,0.501,43.8,0,10.5,18,14.2,6.60%,0.50%,3.60%,13.20%
"21 Wallace, Rasheed DET",80,80,34.8,21.1,109.9,100.3,0.527,0.503,17.2,40.7,3.8,19.8,11.7,11.20%,1.60%,3.40%,6.90%
"22 Battier, Shane MEM",81,81,35,13.7,116.7,101.7,0.574,0.54,33.5,26.6,7.1,11.2,9.2,8.20%,1.80%,3.20%,11.20%
"23 Kaman, Chris LAC",78,78,32.8,17.9,104.1,100.9,0.57,0.523,35.7,0.3,8.9,24.4,17,5.00%,0.90%,3.20%,17.70%
"24 Howard, Dwight ORL",82,81,36.8,21.3,108.1,102.7,0.565,0.531,67.9,0.2,12.1,29.2,20.9,7.20%,1.20%,3.00%,15.90%
"25 Marion, Shawn PHX",81,81,40.3,22.3,118.1,99.7,0.591,0.56,21.8,21.2,8.7,23.6,16.3,6.80%,2.50%,2.90%,7.70%
"26 Garnett, Kevin MIN",76,76,38.9,25.5,117.2,98.3,0.589,0.529,41.1,2.5,8.9,29.7,19.6,20.20%,1.90%,2.70%,11.30%
"27 LaFrentz, Raef BOS",82,63,24.8,14.7,110.4,106.5,0.546,0.533,13.6,51.8,4.9,19.1,12.2,9.00%,0.70%,2.70%,10.00%
"28 Magloire, Jamaal MIL",82,82,30.1,17.2,94.5,105.2,0.494,0.467,54.1,0,10.4,27.4,18.8,3.60%,0.60%,2.60%,17.90%
"29 Granger, Danny IND",78,17,22.6,16.4,109.7,100.8,0.54,0.494,31,19.5,8.8,16,12.5,8.80%,1.80%,2.60%,12.80%
"30 Martin, Kenyon DEN",56,49,27.6,21.6,106.8,104,0.533,0.499,28.3,3.7,7.1,19.4,13.3,8.80%,1.40%,2.50%,9.60%
"31 Battie, Tony ORL",82,82,27,14.9,106.1,106.7,0.531,0.507,24.3,1.1,8.3,16.9,12.7,3.70%,1.10%,2.50%,12.60%
"32 Curry, Eddy NY",72,69,25.9,24,106.2,110.5,0.604,0.563,81.4,0,9.3,18.9,14.1,1.90%,0.80%,2.50%,18.10%
"33 Frye, Channing NY",65,14,24.2,24.1,109.5,110.1,0.541,0.479,35.8,1.4,10.5,18.4,14.4,6.60%,1.00%,2.40%,11.60%
"34 Bogut, Andrew MIL",82,77,28.6,15.9,110.9,106.3,0.555,0.533,32,0.5,9.4,19.8,14.5,13.40%,1.10%,2.30%,15.30%
"35 Bosh, Chris TOR",70,70,39.3,25.2,118.4,111.4,0.585,0.505,53.4,1.2,8.7,20.6,14.4,11.80%,1.00%,2.30%,10.50%
"36 Wright, Lorenzen MEM",78,58,21.7,15.1,102.5,100.3,0.496,0.478,28.8,0.5,10.3,18,14.2,4.90%,1.70%,2.20%,12.80%
"37 Elson, Francisco DEN",72,54,21.9,10.8,105.4,104,0.556,0.533,26.1,1.8,7.4,17.6,12.5,4.40%,1.70%,2.10%,17.00%
"38 Villanueva, Charlie TOR",81,36,29.1,21.7,107.3,111.2,0.521,0.5,17,22.8,9,18.4,13.5,6.50%,1.30%,2.10%,8.90%
"39 West, David NO",74,74,34.1,23,111.8,106.2,0.554,0.513,22.8,1.1,7.7,18.4,12.9,7.20%,1.30%,2.10%,8.40%
"40 Krstic, Nenad NJ",80,80,30.9,21.6,104,103.2,0.541,0.508,30.1,0.5,8.5,15.9,12.2,6.80%,0.70%,2.10%,11.80%
"41 Diaw, Boris PHX",81,70,35.5,17.9,114.9,106,0.564,0.531,27.9,3.5,6.3,15.1,10.8,24.90%,1.00%,2.10%,16.50%
"42 Okur, Mehmet UTA",82,82,35.9,23.5,113.3,106.4,0.554,0.496,40.2,20.7,8.6,22.2,15.4,12.80%,0.70%,2.10%,10.90%
"43 Nowitzki, Dirk DAL",81,81,38.1,30,123.1,103.4,0.589,0.515,38.2,17.3,4.6,23.4,14.2,14.70%,1.00%,2.10%,7.90%
"44 McDyess, Antonio DET",82,0,21.1,18.9,107.1,101.6,0.52,0.509,21.8,0.4,10.6,19.4,15,8.80%,1.50%,2.00%,11.00%
"45 Jeffries, Jared WSH",77,77,25.3,13.4,105.8,107.6,0.5,0.47,40.5,12,9.5,13.2,11.3,11.60%,1.50%,2.00%,16.80%
"46 Butler, Rasual NO",79,20,23.7,18.6,99.8,109,0.501,0.479,18,38.2,3.2,11.8,7.4,3.70%,0.90%,2.00%,8.70%
"47 Jones, James PHX",75,24,23.6,16.9,111.5,106.7,0.551,0.513,20.8,49.1,2.8,12.8,7.9,4.50%,1.10%,1.90%,5.20%
"48 McGrady, Tracy HOU",47,47,37.1,35,101.5,101.9,0.494,0.442,33.6,23.1,3.1,17.2,10.3,28.80%,1.80%,1.90%,9.40%
"49 Nocioni, Andres CHI",82,43,27.3,21.3,109.7,102.2,0.567,0.517,29.1,28.6,4.6,21,12.8,9.00%,0.90%,1.80%,11.30%
"50 Brown, Kwame LAL",72,49,27.5,13.6,107.5,106.7,0.545,0.526,60.6,0.3,10.8,17.3,14.1,5.60%,0.70%,1.80%,16.90%
"Robinson, Clifford NJ",80,13,23.3,15.4,98.8,102.9,0.502,0.485,15.4,34.1,3.4,13.5,8.4,8.20%,1.30%,1.70%,10.20%
"Brown, P.J. NO",75,73,31.7,14.7,107.3,106.9,0.515,0.461,28.8,0,8.9,18.8,13.7,6.30%,1.00%,1.70%,12.00%
"Gooden, Drew CLE",79,79,27.5,18.6,112.3,103.7,0.552,0.513,39.6,0.5,12.8,23.5,18.1,4.40%,1.30%,1.70%,12.20%
"Collins, Jason NJ",71,70,26.7,9,90,102.2,0.425,0.403,32.8,4.6,5.7,15.6,10.6,5.70%,1.30%,1.70%,16.90%
"George, Devean LAL",71,5,21.7,15.3,102.7,104.3,0.484,0.459,20.2,37.6,6.3,14.6,10.5,6.90%,2.30%,1.70%,10.40%
"Webber, Chris PHI",75,75,38.6,27.7,100.1,105.2,0.482,0.441,24.5,5.4,7.4,22.6,15,16.40%,1.80%,1.60%,10.40%
"Cook, Brian LAL",81,46,19,18.3,115.9,106.5,0.578,0.546,19.8,16.4,6.8,14.2,10.5,8.30%,1.30%,1.60%,9.90%
"Livingston, Shaun LAC",61,14,25,15,94.4,104.8,0.46,0.428,22.1,2.3,3.3,10.4,7,27.20%,1.60%,1.60%,22.50%
"Abdur-Rahim, Shareef SAC",72,30,27.2,20.1,114.5,105.4,0.588,0.529,44,3.5,6.4,14.8,10.6,13.20%,1.30%,1.60%,12.50%
"Miller, Brad SAC",79,79,37,18.9,113.5,104.5,0.576,0.514,38.5,10,4.9,19.5,12.3,21.50%,1.10%,1.60%,14.90%
"Wade, Dwyane MIA",75,75,38.6,32.5,115.4,102.7,0.577,0.499,56.8,5.4,4.5,12.6,8.7,33.00%,2.60%,1.50%,13.20%
"Odom, Lamar LAL",80,80,40.3,18.1,112,105,0.558,0.524,33.8,23.2,6.6,20.3,13.5,22.40%,1.20%,1.50%,16.70%
"Marshall, Donyell CLE",81,0,25.6,18.2,104.1,103.7,0.517,0.49,18.3,58.9,5.9,22.3,14,4.80%,1.50%,1.50%,11.00%
"Deng, Luol CHI",78,56,33.4,20.4,106.4,102.7,0.517,0.474,28.9,8.2,5.6,17.1,11.4,9.70%,1.40%,1.50%,8.90%
"James, LeBron CLE",79,79,42.5,33.6,115.4,104.2,0.568,0.515,44.7,20.8,2.6,17.1,9.8,32.80%,2.00%,1.50%,10.70%
"Carter, Vince NJ",79,79,36.8,32.3,106.5,102.3,0.536,0.471,39.6,24.2,5.4,13.4,9.3,24.40%,1.70%,1.50%,10.70%
"West, Delonte BOS",71,71,34,16.4,112.2,107.5,0.574,0.548,14.8,31.9,2.9,11.4,7.3,22.50%,1.80%,1.50%,15.40%
"Bonner, Matt TOR",78,6,21.9,14.4,122.1,112.1,0.582,0.557,16.3,52,5.9,14.8,10.2,5.20%,1.50%,1.40%,6.00%
"Lewis, Rashard SEA",78,77,36.9,23.1,119.1,114.6,0.585,0.529,37.2,32.1,4.6,11.9,8.2,10.70%,1.90%,1.30%,9.50%
"Childress, Josh ATL",74,10,30.4,14,121.3,110.8,0.626,0.583,39.9,12.9,7,13.9,10.3,9.40%,2.00%,1.30%,14.60%
"Collins, Jarron UTA",79,41,21.9,11.7,116.6,108.3,0.551,0.461,78.2,0,9.3,14.1,11.7,9.10%,1.10%,1.30%,13.90%
"Thomas, Kenny SAC",82,55,28,16.6,106.9,103.1,0.539,0.505,33.8,0.2,10.3,21.2,15.8,12.00%,1.60%,1.20%,16.30%
"Foster, Jeff IND",63,37,25.1,11.3,120.4,99.7,0.581,0.552,63.6,1.6,16.9,24.8,20.9,5.10%,1.40%,1.20%,16.70%
"Pachulia, Zaza ATL",78,78,31.4,19.2,106.1,109.9,0.53,0.451,59.3,0.3,12.6,17.6,15,8.50%,1.90%,1.20%,17.30%
"Brezec, Primoz CHA",79,79,27.4,20,111.2,110.3,0.552,0.517,28.3,0.3,9.1,14.8,11.8,3.70%,0.50%,1.10%,8.70%
"Wells, Bonzi SAC",52,41,32.4,22.4,100.6,101.5,0.507,0.471,31,7.3,10,17.8,13.9,14.80%,2.90%,1.10%,15.30%
"Anthony, Carmelo DEN",80,80,36.8,32,110.3,107.5,0.563,0.493,45.1,9.7,4.9,10.7,7.8,14.30%,1.50%,1.10%,10.40%
"Jackson, Stephen IND",81,81,35.9,24,99,103.7,0.512,0.462,29.7,29.5,2,10.1,6.2,14.20%,1.90%,1.10%,13.50%
"Walker, Antoine MIA",82,19,26.8,23.2,101.5,105.3,0.524,0.512,14.4,42.7,5.8,16.3,11.3,12.80%,1.10%,1.00%,13.60%
"Howard, Josh DAL",59,58,32.5,22.9,114.6,104.6,0.536,0.489,35.9,8.5,7.9,15.3,11.7,10.40%,1.90%,1.00%,8.40%
"Ginobili, Manu SA",65,56,27.9,25,116.5,97.9,0.593,0.524,53.8,32.4,2.8,12,7.5,22.20%,3.00%,1.00%,12.80%
"Prince, Tayshaun DET",82,82,35.3,19.6,109.9,106.3,0.524,0.487,23.8,18.3,4.2,10,7.1,10.80%,1.20%,1.00%,7.60%
"Richardson, Jason GS",75,75,38.4,27.6,107.5,106.6,0.538,0.509,28.5,33.2,4,13.2,8.5,15.60%,1.70%,1.00%,9.40%
"Miller, Mike MEM",74,9,30.6,21.3,111.3,101.9,0.595,0.557,27.6,44.6,2.3,18.8,10.6,16.50%,1.30%,1.00%,14.10%
"Williams, Marvin ATL",79,7,24.7,16.9,108.5,111.7,0.523,0.455,47.6,10,7.3,16.5,11.8,5.20%,1.30%,0.90%,11.40%
"Dunleavy, Mike GS",81,68,31.8,18.1,104.4,107.5,0.503,0.451,30.9,31.9,3.3,14.2,8.6,15.00%,1.20%,0.90%,11.50%
"Mobley, Cuttino LAC",79,74,37.7,19.8,103.2,105.2,0.519,0.467,27.1,24.3,2,10.9,6.6,13.10%,1.60%,0.90%,11.40%
"Jones, Eddie MEM",75,75,32.5,18.1,109.1,100.5,0.542,0.497,29.8,51.8,1.8,12,6.9,12.70%,3.00%,0.90%,10.20%
"Hassell, Trenton MIN",77,67,32.6,15.4,100.6,109.4,0.512,0.47,28.6,3.7,4,6.2,5.2,13.20%,0.90%,0.90%,15.20%
"Buckner, Greg DEN",73,27,24.1,12.6,111.1,105.1,0.556,0.537,13.2,58.3,2.1,11.7,6.9,10.80%,2.50%,0.90%,10.50%
"Pierce, Paul BOS",79,79,39,31.2,112.2,106.2,0.582,0.509,55.5,21.5,3.1,17.5,10.5,23.40%,1.80%,0.80%,13.00%
"Jones, Jumaine CHA",76,42,27.5,18.3,103,107.6,0.506,0.483,16.4,45.5,5.5,16.1,10.4,5.00%,1.70%,0.80%,8.60%
"Johnson, Anthony IND",75,53,26.4,18.3,107.1,105.1,0.52,0.485,23.4,25.7,1.9,7.7,4.9,28.60%,1.70%,0.80%,14.70%
"Posey, James MIA",67,63,28.6,11.6,111.5,104.5,0.572,0.551,15.4,73.4,2.1,16.9,9.8,6.80%,1.50%,0.80%,12.10%
"Ross, Quinton LAC",67,45,22.6,11.8,96.3,105.3,0.465,0.422,24.4,2.3,3,9.7,6.5,7.80%,1.80%,0.80%,12.10%
"Jones, Fred IND",68,2,27,18.7,99.9,104.8,0.517,0.473,28.6,33.5,1.2,9.3,5.3,14.50%,1.60%,0.80%,14.50%
"Kidd, Jason NJ",80,80,37.2,19.1,109.7,99.1,0.526,0.481,27,43.6,3.3,19.8,11.4,39.00%,2.70%,0.80%,15.90%
"Bowen, Bruce SA",82,82,33.6,11.1,107.2,101.2,0.54,0.53,15.7,45.7,1.5,11.9,6.9,6.80%,1.60%,0.80%,10.50%
"Murphy, Troy GS",74,74,34,19.2,109.8,104.8,0.529,0.468,38.1,21.6,8.4,24.9,16.5,6.70%,1.00%,0.80%,9.90%
"Korver, Kyle PHI",82,43,31.3,16.2,111.3,110.4,0.577,0.551,15.6,57.6,1.2,11.1,6.2,10.20%,1.30%,0.80%,10.80%
"Jaric, Marko MIN",75,49,28,17,96.2,104.4,0.468,0.435,24.4,23.5,3.5,9.6,6.7,22.50%,2.80%,0.80%,16.80%
"Terry, Jason DAL",80,80,35,22.2,118,108,0.575,0.547,19.1,37.9,1.4,5.4,3.4,19.60%,2.00%,0.70%,10.20%
"Johnson, Joe ATL",82,82,40.7,24.6,108.7,113.6,0.537,0.499,23.7,25.8,3.4,8.8,6,29.10%,1.60%,0.70%,14.80%
"Bryant, Kobe LAL",80,80,41,38.8,113.7,105.4,0.559,0.491,37.7,23.8,2.6,12.7,7.6,24.20%,2.40%,0.70%,9.00%
"Brown, Devin UTA",81,14,21.1,19.5,99.7,109.7,0.493,0.43,40.2,22.4,5.1,9.6,7.3,10.70%,1.40%,0.70%,13.80%
"Mason, Desmond NO",70,55,30,20.8,91.2,109.1,0.46,0.399,43.8,0.9,3.5,13.6,8.4,5.40%,1.10%,0.70%,12.10%
"Simmons, Bobby MIL",75,74,33.8,18.3,109.9,108.3,0.559,0.518,24.8,30.9,4.2,11.5,7.8,11.20%,1.80%,0.70%,12.10%
"Graham, Joey TOR",80,24,19.8,16.5,103.9,113.1,0.564,0.513,32.1,21,4.2,15.1,9.4,6.00%,1.20%,0.60%,16.30%
"Ridnour, Luke SEA",79,77,33.2,18.1,111.7,114.6,0.506,0.445,28.4,18.6,2.1,8.8,5.4,32.30%,2.50%,0.60%,15.30%
"Turkoglu, Hedo ORL",78,59,33.5,20.6,115.8,108.9,0.578,0.519,33.8,32.3,3.4,12.1,7.9,14.30%,1.50%,0.60%,11.40%
