ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Duncan, Tim SA",80,80,34.1,27.9,111.5,94.4,0.579,0.547,50.2,0.8,9.8,27,18.8,18.90%,1.30%,5.10%,13.90%
"2 Wallace, Ben CHI",77,77,35,10.6,105.9,94.8,0.456,0.454,63,1.2,12.9,21.7,17.4,9.90%,2.10%,4.60%,15.70%
"3 Camby, Marcus DEN",70,70,33.8,15.9,108.6,97.1,0.519,0.473,33.5,0.3,7.9,30.5,19.4,14.10%,1.80%,7.00%,13.90%
"4 Ming, Yao HOU",48,48,33.8,33.5,110.8,97.6,0.601,0.516,50.4,0.2,7.2,24.7,16,12.30%,0.60%,4.50%,14.30%
"5 Hayes, Chuck HOU",78,43,22,11.9,119.2,97.8,0.587,0.573,26.6,0,13.8,21.1,17.5,4.40%,2.20%,0.80%,14.60%
"6 Ginobili, Manu SA",75,36,27.5,27.1,116.8,97.9,0.609,0.539,43.6,37.8,3.6,15.1,9.6,22.60%,2.80%,1.00%,13.40%
"7 Varejao, Anderson CLE",81,6,23.9,13.7,113.4,98,0.527,0.476,66.8,2.2,11.2,21.8,16.4,6.00%,2.10%,2.10%,11.40%
"8 Howard, Dwight ORL",82,82,36.9,22.7,107,99.1,0.619,0.603,76.3,0.2,11.8,28.9,20.5,9.50%,1.20%,4.20%,21.40%
"9 Ilgauskas, Zydrunas CLE",78,78,27.3,21.7,106.9,99.3,0.527,0.485,24.2,0.1,12.9,20,16.4,10.20%,1.20%,3.60%,13.80%
"10 McDyess, Antonio DET",82,3,21.1,18.6,112.5,99.7,0.552,0.526,25.7,0,11.3,22.7,17,7.20%,1.90%,2.90%,11.10%
"11 Gooden, Drew CLE",80,80,28,20,106.6,99.8,0.508,0.474,25.4,0.8,13.3,22.3,17.7,6.70%,1.70%,1.00%,11.70%
"12 Deng, Luol CHI",82,82,37.5,22.2,112.2,99.9,0.56,0.518,29.5,0.6,5.5,15.9,10.8,11.80%,1.60%,1.20%,10.00%
"13 Wallace, Rasheed DET",75,72,32.3,19.6,104.6,99.9,0.513,0.485,16.3,35.1,4.4,22.2,13.3,8.90%,1.70%,3.80%,9.40%
"14 James, LeBron CLE",78,78,40.9,31,111.6,100.3,0.552,0.507,43.2,19.1,3,16.6,9.6,29.10%,2.10%,1.30%,11.50%
"15 McGrady, Tracy HOU",71,71,35.8,35,105.7,100.4,0.515,0.474,33,25.7,2.6,14.5,8.6,37.50%,1.90%,1.10%,11.20%
"16 Marion, Shawn PHX",80,80,37.6,19.3,117.6,100.4,0.594,0.561,23.2,23.5,7,22.6,15.2,6.70%,2.60%,2.80%,8.80%
"17 Milicic, Darko ORL",80,16,23.9,18.7,97.9,100.9,0.492,0.454,42,0.2,9.6,18.4,14.1,7.90%,1.20%,5.90%,16.00%
"18 O'Neal, Jermaine IND",69,69,35.6,28.1,99.3,101.1,0.5,0.436,39.2,0.6,7.1,24.4,15.5,13.00%,1.10%,5.60%,13.20%
"19 Garnett, Kevin MIN",76,76,39.4,27.4,109.5,101.4,0.546,0.48,37.1,4.2,7.5,30.8,19.5,19.50%,1.60%,3.20%,11.60%
"20 Hinrich, Kirk CHI",80,80,35.5,21.6,112.6,101.6,0.559,0.514,26.8,31.8,1.3,9.7,5.5,29.20%,1.80%,0.60%,13.90%
"21 Mourning, Alonzo MIA",77,43,20.4,20.8,103,101.6,0.59,0.56,72.5,0,9.7,16.4,13.1,2.00%,0.40%,9.00%,18.70%
"22 Alston, Rafer HOU",82,82,37.1,19.4,102.7,101.7,0.496,0.47,17.4,51.9,1.1,9.5,5.3,24.10%,2.20%,0.30%,13.40%
"23 Dampier, Erick DAL",76,73,25.2,12.8,118.3,101.7,0.642,0.626,57.2,0,14,21.5,17.8,3.50%,0.70%,3.30%,20.40%
"24 Barry, Brent SA",75,28,21.7,15.6,126.2,101.7,0.666,0.626,27.5,67.5,1.3,10.2,5.9,13.30%,1.80%,0.50%,11.30%
"25 Nowitzki, Dirk DAL",78,78,36.2,28.9,122.8,101.8,0.605,0.529,41.1,12.9,5.3,23.8,14.8,17.80%,1.00%,1.70%,9.50%
"26 Howard, Josh DAL",70,69,35.1,25.2,112,102.1,0.548,0.501,27.3,22.2,6.5,16.6,11.7,9.20%,1.80%,1.70%,9.30%
"27 Duhon, Chris CHI",78,30,24.4,14.8,108.3,102.1,0.529,0.499,20.9,50.7,1.4,8.7,5.1,24.40%,1.90%,0.20%,16.60%
"28 Head, Luther HOU",80,10,27.6,18.6,107.2,102.1,0.584,0.564,15,57.3,1.6,11.4,6.6,14.80%,1.80%,0.20%,15.50%
"29 Battier, Shane HOU",82,82,36.4,12.1,118.7,102.2,0.589,0.567,17.3,57,2.6,10.4,6.5,9.20%,1.40%,1.50%,9.30%
"30 Parker, Tony SA",77,77,32.5,27.4,111.9,102.2,0.572,0.527,31.9,3.5,1.7,10,6,31.70%,1.80%,0.20%,13.30%
"31 Foster, Jeff IND",75,43,23.2,9.9,112.9,102.3,0.515,0.471,47.1,0.4,16.4,24.1,20.2,5.00%,1.90%,1.60%,18.30%
"32 Okafor, Emeka CHA",67,65,34.8,19.1,111,102.3,0.554,0.532,39.9,0,12.7,26.2,19.2,6.00%,1.30%,5.70%,11.30%
"33 Howard, Juwan HOU",80,38,26.5,18.9,104.8,102.4,0.517,0.465,28.3,0,7.5,17.9,12.7,10.50%,0.70%,0.30%,13.00%
"34 Smith, Josh ATL",72,72,36.7,24.2,98.9,102.5,0.506,0.458,39,15.3,7.4,21,14.1,16.30%,2.00%,6.10%,16.30%
"35 Pavlovic, Sasha CLE",67,28,22.9,19.1,102.7,102.5,0.553,0.514,25.9,30.2,1.7,10.5,6,11.30%,1.90%,0.90%,15.70%
"36 Stoudemire, Amar'e PHX",82,78,32.8,25.8,115.6,102.6,0.637,0.575,55.5,0.3,10.1,23.2,17,5.00%,1.50%,2.90%,15.00%
"37 Chandler, Tyson NO",73,73,34.6,12.3,117.4,102.6,0.62,0.624,42.9,0.2,14.3,27.3,20.7,4.10%,0.80%,4.10%,18.50%
"38 Wade, Dwyane MIA",51,50,37.9,34.7,112.4,102.7,0.583,0.502,55.6,8.2,3.2,11.2,7.3,40.50%,3.00%,2.50%,15.30%
"39 Bowen, Bruce SA",82,82,30,10.9,100.6,102.8,0.511,0.5,15.6,49.7,1.2,9.4,5.5,7.00%,1.30%,0.70%,11.50%
"40 Hughes, Larry CLE",70,68,37.1,21.7,98.3,102.9,0.48,0.439,32.4,23.3,1.8,10.4,6,16.40%,1.80%,0.80%,12.40%
"41 Kaman, Chris LAC",75,66,29,19,96.6,102.9,0.502,0.451,34.4,0.2,8.9,23.3,16.2,6.10%,1.00%,4.10%,16.40%
"42 Gordon, Ben CHI",82,51,33,29.3,108.2,103.1,0.572,0.513,32.9,28,1.5,9.3,5.4,20.10%,1.20%,0.50%,14.00%
"43 Finley, Michael SA",82,16,22.2,19.6,108.4,103.1,0.524,0.49,14.8,43.1,2.3,12,7.4,9.70%,0.90%,0.60%,6.10%
"44 Dalembert, Samuel PHI",82,82,30.9,16.7,107.6,103.1,0.581,0.541,34,0.3,11.3,23.3,17.4,4.20%,1.00%,4.80%,17.50%
"45 Kidd, Jason NJ",80,80,36.7,19.4,111.1,103.3,0.516,0.475,25.3,39.8,5.5,20.8,13.2,41.40%,2.30%,0.60%,17.40%
"46 Jefferson, Al BOS",69,60,33.6,22.4,108.6,103.3,0.547,0.514,33.4,0.1,12,27.4,19.5,7.20%,1.10%,3.50%,11.80%
"47 Brand, Elton LAC",80,80,38.5,24.3,114,103.4,0.581,0.533,38.1,0.1,10.5,18.3,14.5,14.70%,1.30%,4.50%,12.50%
"48 Harris, Devin DAL",80,61,26,19.1,112.5,103.5,0.574,0.504,44,8.4,2.7,8.5,5.7,22.90%,2.50%,0.80%,17.10%
"49 Kirilenko, Andrei UTA",70,70,29.3,14.4,106.2,103.5,0.558,0.49,57.2,17.9,5.2,14.3,9.8,14.50%,1.90%,5.80%,20.50%
"50 Rondo, Rajon BOS",78,25,23.5,16.5,97.3,103.5,0.472,0.424,40.9,6.4,4.7,14.6,9.5,26.30%,3.60%,0.30%,20.50%
"Hilario, Nene DEN",64,42,26.8,19.2,112.7,103.6,0.611,0.57,54.8,0.2,10,19.4,14.7,7.10%,1.80%,2.50%,16.50%
"Biedrins, Andris GS",82,63,29,13.8,114.6,103.7,0.598,0.599,28.7,0,11.3,24,17.5,5.40%,1.40%,4.30%,15.40%
"Snow, Eric CLE",82,45,23.5,11.4,99,103.8,0.458,0.417,34.9,1.2,2.1,9.5,5.7,25.20%,1.50%,0.60%,22.90%
"Posey, James MIA",71,19,27,13.1,115.7,103.8,0.579,0.543,22.7,60,4.2,17.5,11,7.70%,2.00%,0.90%,10.40%
"Boozer, Carlos UTA",74,74,34.6,26.5,114,104,0.588,0.561,32.2,0,11.2,29.9,20.6,16.60%,1.40%,0.70%,12.80%
"Wallace, Gerald CHA",72,71,36.7,22.5,109.9,104,0.568,0.523,47,12.6,6.2,17.4,11.6,12.50%,2.80%,2.00%,12.20%
"Bosh, Chris TOR",69,69,38.5,26.7,112.4,104.1,0.577,0.502,53.9,3.2,8.1,24.8,16.4,11.70%,0.80%,2.60%,11.70%
"Nesterovic, Rasho TOR",80,73,21,13.8,111.5,104.2,0.558,0.546,11.9,0.2,8,17.4,12.6,7.00%,1.10%,3.90%,11.20%
