ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Howard, Dwight ORL",82,82,34.7,23.9,113.4,95.3,0.63,0.612,97.8,0.8,12,31.3,22,8.70%,1.40%,6.00%,18.70%
"2 Bogut, Andrew MIL",69,69,32.3,23.3,107.4,98.1,0.54,0.52,26,0.2,10.1,26.4,17.9,10.30%,0.90%,6.20%,11.40%
"3 Wallace, Gerald CHA",76,76,41,20.3,113.2,99.8,0.586,0.511,57.7,14.8,5.9,23.2,14.7,9.00%,2.00%,2.20%,13.10%
"4 Odom, Lamar LAL",82,38,31.5,17,109,100.4,0.533,0.502,27.3,24.6,8,26.5,17.3,15.60%,1.50%,1.70%,15.30%
"5 Wallace, Rasheed BOS",79,13,22.5,20.2,100,100.5,0.504,0.472,19.2,44.6,3,19,11.2,7.30%,2.40%,3.10%,8.20%
"6 Duncan, Tim SA",78,77,31.3,26,115.7,100.9,0.56,0.519,34.6,1,10.8,26.8,18.9,17.80%,1.00%,3.50%,10.10%
"7 Garnett, Kevin BOS",69,69,29.9,22.1,112.4,101,0.569,0.521,28.6,0.6,4.8,24.8,15.1,15.70%,1.70%,2.20%,10.40%
"8 Noah, Joakim CHI",64,54,30.1,17.1,111.6,101.1,0.557,0.504,42.1,0,12.9,27.6,20.3,10.80%,0.90%,4.00%,16.00%
"9 Smith, Josh ATL",81,81,35.4,22.2,109.4,101.4,0.536,0.505,42.2,0.7,9,19.8,14.3,19.00%,2.40%,4.50%,14.30%
"10 Perkins, Kendrick BOS",78,78,27.6,17.6,105.2,101.5,0.613,0.602,53.6,0.6,9.1,24.4,16.9,6.00%,0.60%,4.80%,20.40%
"11 James, LeBron CLE",76,76,39,33.5,120.9,101.7,0.604,0.545,50.6,25.3,3,18.5,11.1,41.80%,2.20%,2.00%,12.30%
"12 Varejao, Anderson CLE",76,7,28.5,13.1,123.2,101.7,0.598,0.573,37.5,1.1,10.9,20.4,15.9,6.10%,1.70%,2.40%,11.00%
"13 Gasol, Pau LAL",65,65,37,21.4,120.3,101.8,0.593,0.536,42.9,0.6,11.4,22.7,17.1,15.00%,0.80%,3.50%,12.50%
"14 Ilyasova, Ersan MIL",81,31,23.4,20.8,109.7,101.8,0.526,0.499,21.7,33.1,9,22.6,15.5,7.50%,1.50%,1.00%,8.20%
