ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 McGee, JaVale WSH",79,75,27.8,16.3,111.3,106.3,0.566,0.55,38.1,0.5,11.2,22.2,16.5,2.80%,1.00%,6.70%,12.60%
"2 Ibaka, Serge OKC",82,44,27,15.7,119.5,103.7,0.579,0.543,29.8,0.2,11.7,20.8,16.4,1.60%,0.70%,6.50%,9.20%
"3 Milicic, Darko MIN",69,69,24.4,19.7,91.3,107.4,0.482,0.469,19.9,0,8.5,15.4,11.8,9.90%,1.60%,6.30%,19.40%
"4 Bogut, Andrew MIL",65,65,35.3,19.6,99.6,97.3,0.496,0.495,29.2,0.5,9.8,27.1,18.3,10.40%,1.10%,5.80%,13.00%
"5 Jordan, DeAndre LAC",80,66,25.6,11.7,115.7,105.5,0.648,0.686,63.6,0.3,11.9,20.9,16.5,3.20%,1.00%,5.40%,18.80%
"6 Bynum, Andrew LAL",54,47,27.8,17.6,121.4,100.3,0.606,0.574,50.6,0,13.3,24.7,19.2,7.70%,0.70%,5.40%,12.80%
"7 Camby, Marcus POR",59,51,26.1,11.7,104.7,99.8,0.426,0.398,23.8,0.3,13.8,35.2,24.1,11.70%,1.40%,5.00%,16.00%
"8 Howard, Dwight ORL",78,78,37.6,27.2,112.6,94.1,0.616,0.593,87.7,0.7,12.6,30.6,21.8,6.80%,1.90%,4.90%,16.20%
"9 Duncan, Tim SA",76,76,28.4,22.9,110.9,100.4,0.537,0.5,30.7,0.5,9.3,26.8,18.3,15.70%,1.20%,4.80%,11.40%
"10 Okafor, Emeka NO",72,72,31.8,15.8,110.7,102.1,0.584,0.573,49.2,0.2,12.2,24.3,18.2,3.00%,0.90%,4.60%,15.70%
"11 Gibson, Taj CHI",80,19,21.8,16.8,106.4,97.6,0.502,0.467,29.5,1.6,11.2,19.4,15.4,5.30%,1.20%,4.60%,11.10%
"12 Hibbert, Roy IND",81,80,27.7,23.6,99.6,103.6,0.507,0.461,30.9,0.4,9.1,21,15.1,12.80%,0.70%,4.60%,15.50%
"13 Dalembert, Samuel SAC",80,46,24.2,17.1,100.5,105,0.509,0.473,26.1,0.4,12.1,26.9,19.3,5.30%,0.90%,4.30%,17.30%
"14 Gasol, Marc MEM",81,81,31.9,16.9,113.3,103.4,0.58,0.529,42.5,1,7.1,19.4,13.1,11.60%,1.50%,4.30%,15.10%
"15 Jefferson, Al UTA",82,82,35.9,24.2,111,108.2,0.528,0.496,21.9,0,9.6,23.2,16.3,9.20%,0.80%,4.20%,6.80%
"16 Stoudemire, Amar'e NY",78,78,36.8,30.9,109.1,108.4,0.565,0.505,40.3,1.6,7.8,17.6,12.7,13.20%,1.20%,3.80%,12.50%
"17 Johnson, Amir TOR",72,54,25.7,15.3,123.7,110.5,0.608,0.568,32.3,0.2,11.8,17.8,14.7,6.80%,1.50%,3.60%,10.90%
"18 Noah, Joakim CHI",48,48,32.8,16.8,116.9,96.7,0.579,0.525,46.8,0.2,13.9,22.8,18.5,10.70%,1.60%,3.50%,15.70%
"19 Smith, Josh ATL",77,77,34.4,24.7,103.6,101.9,0.54,0.502,30.4,14.8,6.2,23.7,15,17.10%,2.00%,3.50%,14.30%
