ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Garnett, Kevin BOS",60,60,31.1,24.9,105.6,94.2,0.55,0.505,24.3,1.2,4.4,25.8,15.6,17.90%,1.60%,2.50%,11.10%
"2 Boozer, Carlos CHI",66,66,29.5,23.8,108.4,95.1,0.549,0.532,16.3,0.1,6.7,25.3,16.1,11.80%,1.70%,0.90%,11.30%
"3 Noah, Joakim CHI",64,64,30.4,15.8,120,95.6,0.561,0.508,42,0.2,14.1,21.8,18,12.70%,1.10%,3.40%,13.70%
"4 Howard, Dwight ORL",54,54,38.3,26.1,106,95.6,0.569,0.573,78.8,1,11,33.1,21.9,9.80%,2.10%,4.40%,15.20%
"5 Smith, Josh ATL",66,66,35.3,28.4,100.8,95.9,0.499,0.47,29.2,9.9,6.9,24.8,15.9,20.60%,2.10%,3.80%,11.70%
"6 Brand, Elton PHI",60,60,28.9,18.9,108.4,96.2,0.521,0.494,20,0.2,9.2,18.3,13.7,9.20%,1.80%,4.20%,9.30%
"7 Gibson, Taj CHI",63,0,20.4,18.6,108.8,96.3,0.522,0.495,33.4,0,12,16.8,14.4,5.90%,1.10%,4.50%,11.50%
"8 James, LeBron MIA",62,62,37.5,32,117.9,97.3,0.605,0.554,42.9,12.7,5,19.7,12.6,33.60%,2.60%,1.70%,13.30%
"9 Iguodala, Andre PHI",62,62,35.6,17.7,108.4,97.7,0.537,0.514,31,30.5,2.8,16.4,9.6,23.70%,2.60%,1.00%,13.80%
"10 Ibaka, Serge OKC",66,66,27.2,15.7,113.1,98.3,0.556,0.536,24.1,0.6,13.2,18.2,15.9,2.50%,1.00%,9.80%,12.70%
"11 Pierce, Paul BOS",61,61,34,28.1,105.5,98.6,0.567,0.499,38.7,30.7,2.2,15.2,9,24.30%,1.80%,1.00%,14.20%
"12 Duncan, Tim SA",58,58,28.2,26.2,107.9,98.6,0.531,0.492,34,0.5,7.9,28.2,18.3,13.50%,1.20%,3.90%,10.30%
"13 Turner, Evan PHI",65,20,26.4,20.3,93.3,98.6,0.478,0.455,18.3,8.3,1.7,22.8,12.2,16.90%,1.20%,0.90%,14.10%
"14 Wade, Dwyane MIA",49,49,33.2,31.3,111.9,98.7,0.559,0.506,35.5,6.7,5.6,11.6,8.7,27.30%,2.70%,3.10%,11.80%
"15 Chandler, Tyson NY",62,62,33.2,13,129.6,98.8,0.708,0.679,88.7,0.6,11.8,22.7,17.2,4.30%,1.40%,3.40%,17.10%
"16 Brewer, Ronnie CHI",66,43,24.8,15.3,102.7,98.8,0.465,0.448,22.5,15.5,5,10.6,7.9,12.70%,2.40%,0.90%,10.80%
"17 Haslem, Udonis MIA",64,10,24.8,13.5,101.7,98.8,0.479,0.423,28.6,0,9.1,25.6,17.7,4.00%,1.20%,1.20%,13.00%
"18 Rondo, Rajon BOS",53,53,36.9,20.7,101.4,98.9,0.483,0.456,31.6,7.3,3.9,11.2,7.7,52.50%,2.60%,0.10%,22.80%
"19 Bass, Brandon BOS",59,39,31.7,19.8,103.3,99.1,0.524,0.479,25.8,0,6.3,16.3,11.5,5.10%,1.00%,2.20%,8.50%
"20 Gasol, Marc MEM",65,65,36.5,19.1,111,99.2,0.541,0.483,42.8,1.6,5.8,23.1,14.3,14.10%,1.40%,4.10%,12.10%
