ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Duncan, Tim SA",66,66,33.4,28.9,112,93.1,0.54,0.498,43.7,0.9,10.7,28.2,19.4,16.10%,1.10%,5.70%,9.30%
"2 Wallace, Ben DET",74,74,36.1,15.2,104.5,93.9,0.459,0.454,46.7,1.4,12.9,26.5,19.8,7.60%,2.20%,5.00%,9.50%
"3 Chandler, Tyson CHI",80,10,27.4,14,111.7,93.9,0.565,0.494,80.2,0.5,13.4,26.1,19.8,4.80%,1.60%,4.80%,17.20%
"4 Camby, Marcus DEN",66,66,30.5,17.2,103.4,96.1,0.505,0.465,28.8,0.7,7.5,30.1,18.9,12.00%,1.60%,7.40%,13.20%
"5 Nesterovic, Rasho SA",70,70,25.5,13.5,100.7,97.3,0.463,0.46,7,0,12,18,15,6.30%,0.90%,4.70%,14.10%
"6 Ginobili, Manu SA",74,74,29.6,24.3,117.2,97.5,0.609,0.533,56.7,33.1,4,13.6,8.8,23.00%,2.90%,0.90%,15.00%
"7 Ming, Yao HOU",80,80,30.6,26.8,113.1,98.6,0.614,0.552,51,0,10.2,21.4,15.9,5.00%,0.80%,5.10%,14.10%
"8 Garnett, Kevin MIN",82,82,38.1,27.1,116.6,98.7,0.567,0.504,40.4,1.8,9.5,30.2,20.3,27.10%,2.10%,2.60%,12.20%
"9 Wallace, Rasheed DET",79,79,34,22.3,103.4,98.9,0.499,0.475,18.4,22.2,7.7,20.3,14,9.80%,1.30%,3.20%,10.00%
"10 O'Neal, Shaquille MIA",73,73,34.1,30.5,111.5,99.5,0.583,0.601,69.9,0,12.4,22.8,17.8,15.70%,0.80%,5.00%,12.40%
"11 McDyess, Antonio DET",77,8,23.3,20.3,109,99.7,0.542,0.513,32.1,0.2,11.6,19.7,15.7,7.30%,1.40%,2.20%,12.00%
"12 Nocioni, Andres CHI",81,38,23.4,19.7,93.7,100.1,0.484,0.422,36.9,16.1,4.1,18.6,11.4,10.90%,1.00%,1.30%,16.20%
"13 Nowitzki, Dirk DAL",78,78,38.7,28.7,118.1,100.3,0.578,0.49,49,15.8,3.6,24,14,14.30%,1.70%,2.90%,9.10%
"14 Dalembert, Samuel PHI",72,60,24.8,16.3,101.9,100.4,0.543,0.524,31,0,11.6,22.6,17.1,3.30%,1.30%,5.30%,17.40%
"15 Deng, Luol CHI",61,45,27.3,22.4,98.2,100.5,0.496,0.458,25.1,18.1,6.2,15.4,10.8,14.80%,1.50%,1.20%,14.10%
"16 McGrady, Tracy HOU",78,78,40.8,31.2,108.6,100.5,0.526,0.473,33.6,26.2,2.7,14.8,8.9,28.60%,2.30%,1.30%,9.50%
"17 Kidd, Jason NJ",66,65,36.9,21.3,106.6,100.6,0.506,0.473,22.5,41.9,4.6,19.8,12.1,40.60%,2.70%,0.30%,15.10%
"18 Hinrich, Kirk CHI",77,77,36.4,22.3,104.2,100.7,0.495,0.461,19.3,36.4,1.3,10.8,6.1,31.50%,2.30%,0.60%,12.60%
"19 Wright, Lorenzen MEM",80,77,28.6,17.9,103,100.9,0.501,0.469,29,0.4,9.3,22.8,16.1,6.70%,1.40%,2.40%,11.50%
"20 Marion, Shawn PHX",81,81,38.8,21.3,116.2,101,0.556,0.52,21.3,26.5,8.4,22,15.5,7.50%,2.60%,2.50%,8.10%
"21 Parker, Tony SA",80,80,34.2,25.1,106,101.1,0.528,0.501,28.9,14,2,10.7,6.4,33.20%,1.90%,0.10%,14.60%
"22 O'Neal, Jermaine IND",44,41,34.8,36.2,101.6,101.2,0.52,0.453,45.8,0.7,6.7,23.3,15.1,12.80%,0.90%,4.40%,11.30%
"23 Davis, Antonio CHI",72,62,25.6,14.1,102.9,101.2,0.516,0.461,36.3,0,9.3,16.6,13,7.10%,0.80%,1.70%,16.50%
