ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Davis, Anthony NO",67,66,35.2,25,118.9,103.9,0.582,0.52,43.8,0.9,10,23.3,16.6,8.00%,2.00%,6.70%,8.30%
"2 Ibaka, Serge OKC",81,81,32.9,19.7,114.9,101.3,0.576,0.548,20.3,6.1,10,19.6,15,5.20%,0.70%,6.70%,10.30%
"3 Hibbert, Roy IND",81,81,29.7,19.3,99.7,98,0.499,0.44,35.7,0.7,9.9,15,12.5,6.20%,0.60%,5.70%,14.50%
"4 Jordan, DeAndre LAC",82,82,35,12.3,120.7,98.2,0.63,0.676,72.6,0,13.3,29.3,21.6,3.70%,1.40%,5.40%,15.30%
"5 Bogut, Andrew GS",67,67,26.4,12.4,114.9,96.2,0.61,0.627,17.1,0,11.4,29.7,20.7,9.30%,1.30%,5.20%,19.40%
"6 Henson, John MIL",70,23,26.5,20.1,105.5,108,0.543,0.538,27.7,0.2,10.2,20.8,15.3,10.90%,1.20%,5.10%,13.70%
"7 Dalembert, Samuel DAL",80,68,20.2,14.8,116.6,104.4,0.605,0.568,36.3,0.3,14.4,24.2,19.4,3.40%,1.30%,4.80%,17.10%
"8 Duncan, Tim SA",74,74,29.2,25.1,106.5,97.6,0.535,0.49,34.9,0.6,8.6,28.3,18.8,16.00%,1.00%,4.60%,13.20%
"9 Mozgov, Timofey DEN",82,30,21.6,18.7,111,105.9,0.584,0.527,47.7,4.4,10.4,21.9,16.1,5.50%,0.70%,4.20%,15.60%
"10 Drummond, Andre DET",81,81,32.3,16.6,121.1,104,0.599,0.623,42.7,0.3,17.5,27.7,22.3,2.20%,1.90%,4.00%,10.70%
"11 Howard, Dwight HOU",71,71,33.7,23.8,109.4,100.9,0.6,0.593,79.8,0.9,11.4,27.9,20.1,9.30%,1.20%,4.00%,17.50%
"12 Favors, Derrick UTA",73,73,30.2,20.7,108.4,106.5,0.556,0.522,38,0.1,10.1,23.7,16.7,7.30%,1.80%,3.80%,12.90%
"13 Gortat, Marcin WSH",81,80,32.8,18.1,112,102.5,0.568,0.542,27.3,0.1,8.7,25.1,16.7,8.40%,0.80%,3.80%,11.80%
"14 Lopez, Robin POR",82,82,31.8,13.9,128.1,106.9,0.605,0.551,37.6,0.2,13.6,15.3,14.5,4.20%,0.50%,3.70%,10.10%
"15 Gibson, Taj CHI",82,8,28.7,22.8,102.4,99.5,0.524,0.479,31.4,0.8,9.8,17.1,13.5,7.30%,0.90%,3.70%,12.80%
"16 Jones, Terrence HOU",76,71,27.3,18.2,118.8,104.2,0.577,0.564,27.4,14.2,9.2,18.5,14.1,7.00%,1.30%,3.50%,8.20%
"17 Gasol, Pau LAL",60,60,31.4,26.3,102.3,107.6,0.522,0.482,28.7,1.6,7,25.9,16.4,18.70%,0.70%,3.50%,12.40%
"18 Plumlee, Miles PHX",80,79,24.6,16.1,104.3,103.4,0.529,0.517,23.9,0,11.3,24.4,17.9,3.30%,1.30%,3.50%,15.40%
"19 Chandler, Tyson NY",55,55,30.2,12.8,120.1,105.8,0.615,0.593,48.1,0.3,10.9,26.9,18.7,5.50%,1.10%,3.40%,15.40%
"20 Noah, Joakim CHI",80,80,35.3,18.5,110.9,95.5,0.531,0.475,41.9,0.3,11.6,24.5,18.2,26.40%,1.90%,3.30%,17.00%
"21 Smith, Josh DET",77,76,35.5,24.4,94.7,107.4,0.463,0.448,24.4,21.5,3.9,17.6,10.4,15.00%,1.90%,3.20%,12.70%
"22 Cousins, DeMarcus SAC",71,71,32.4,32.5,107.2,101.3,0.555,0.496,50,0.6,10.6,30.5,20.4,17.80%,2.40%,3.20%,14.70%
"23 Gasol, Marc MEM",59,59,33.4,21.6,108,102.1,0.526,0.474,33.9,1.5,5,20.5,12.7,17.70%,1.60%,3.20%,12.00%
"24 Johnson, Amir TOR",77,72,28.8,16.3,112.3,103.4,0.592,0.578,23.4,10.8,9,17.6,13.3,8.70%,1.30%,3.20%,15.40%
"25 Hill, Jordan LAL",72,32,20.8,19.6,115,107.7,0.579,0.549,34.7,0.2,13.8,24.3,19,5.90%,0.90%,3.10%,11.10%
"26 Green, Draymond GS",82,12,21.9,14.8,102,97.5,0.498,0.467,26.8,35.9,5.3,19.3,12.4,11.90%,2.80%,3.00%,15.10%
"27 Cunningham, Dante MIN",81,7,20.2,15.1,104.1,104.9,0.474,0.464,13.2,1,7.3,14.9,11,7.70%,1.90%,2.70%,7.20%
"28 Bosh, Chris MIA",79,79,32,22.5,112.3,104,0.597,0.555,28.5,22.9,5.1,20.3,13,5.80%,1.70%,2.70%,10.40%
"29 Green, Danny SA",68,59,24.3,16.6,107.2,101.2,0.58,0.562,12.5,63,1.8,13.4,7.8,8.90%,2.00%,2.70%,12.50%
"30 Antetokounmpo, Giannis MIL",77,23,24.6,14.9,98.6,110,0.518,0.463,48.3,28.2,4.6,16.3,10.2,12.10%,1.60%,2.60%,19.40%
"31 Valanciunas, Jonas TOR",81,81,28.2,18.3,111.8,103.5,0.579,0.531,38.5,0.1,11.5,25.1,18.2,4.20%,0.50%,2.50%,14.70%
"32 Hilario, Nene WSH",53,37,29.4,23.8,101.8,102.5,0.53,0.504,44.8,0.8,4.7,17.3,10.9,16.30%,2.10%,2.50%,14.10%
"33 Millsap, Paul ATL",74,73,33.5,25.5,105.1,101.7,0.545,0.498,37.3,20.2,7.2,21.9,14.6,16.20%,2.60%,2.50%,13.20%
"34 Johnson, Wesley LAL",79,62,28.4,15.1,100.2,109.6,0.522,0.502,11.8,41.6,3.3,13.3,8.3,8.20%,1.90%,2.50%,11.60%
"35 Jefferson, Al CHA",73,73,35,29.2,105.2,99.7,0.532,0.51,20.1,1.1,6.9,28.3,17.5,12.80%,1.40%,2.40%,7.60%
"36 Bass, Brandon BOS",82,73,27.6,18.1,110.9,108,0.549,0.487,33,0.8,7.8,15.9,11.8,6.40%,0.80%,2.40%,10.90%
"37 Booker, Trevor WSH",72,45,21.6,14.3,114.2,104.2,0.563,0.551,18.9,0.5,10.9,17.5,14.1,6.30%,1.40%,2.40%,11.70%
"38 Faried, Kenneth DEN",80,77,27.2,21.2,112.5,105.5,0.573,0.545,37.9,0.4,11.8,22.2,16.9,7.50%,1.60%,2.30%,12.40%
"39 West, David IND",80,80,30.9,21.7,107.7,98.3,0.533,0.49,26.7,1.6,5.7,18.3,12.3,16.10%,1.30%,2.30%,11.20%
"40 Thompson, Jason SAC",82,61,24.5,14.3,103.3,107.8,0.523,0.506,29.2,0,8.5,21.3,14.8,4.10%,0.80%,2.30%,14.50%
"41 Frye, Channing PHX",82,82,28.2,17.2,110.8,106.5,0.555,0.535,12.2,55.5,3.6,16.6,10.1,6.40%,1.30%,2.10%,9.80%
"42 Kidd-Gilchrist, Michael CHA",62,62,24.2,15.1,104.3,102.9,0.516,0.475,52.1,2.5,8.2,16.2,12.2,5.40%,1.50%,2.10%,12.10%
"43 Vucevic, Nikola ORL",57,57,31.8,21.7,105.5,103.2,0.536,0.507,19.7,0,11.5,27.6,19.5,10.20%,1.70%,2.00%,12.90%
"44 Hickson, J.J. DEN",69,52,26.9,20.7,103.4,105.7,0.521,0.508,44.3,1.2,11.9,24.8,18.3,8.40%,1.20%,2.00%,14.10%
"45 Harkless, Maurice ORL",80,41,24.4,14.7,101.8,105.9,0.542,0.525,29.6,31.9,4,11.4,7.7,6.40%,2.50%,2.00%,13.60%
"46 Blatche, Andray BKN",73,7,22.2,25.4,104.5,104.4,0.532,0.487,32.8,8,8.9,19.9,14.4,12.80%,2.40%,2.00%,12.50%
"47 Aldridge, LaMarcus POR",69,69,36.2,29.6,107.5,103.6,0.507,0.459,25.3,1.1,7.2,25.5,16.5,13.00%,1.30%,1.90%,7.20%
"48 Leonard, Kawhi SA",66,65,29.1,18.3,116.4,98.2,0.602,0.576,19.5,28.2,4.6,18.9,12.1,10.40%,3.00%,1.90%,10.30%
"49 Sullinger, Jared BOS",74,44,27.6,23.9,104.5,106.9,0.497,0.458,22.6,23.1,13,20.6,16.7,10.10%,0.90%,1.80%,10.70%
"50 Varejao, Anderson CLE",65,29,27.7,14.5,113.8,102.6,0.527,0.495,29.4,1.5,11.4,28.2,19.6,12.20%,2.00%,1.80%,12.20%
"Morris, Markieff PHX",81,0,26.6,23.1,111.5,105.7,0.564,0.507,38.7,12.8,7.3,18,12.6,10.90%,1.60%,1.80%,12.90%
"Aminu, Al-Farouq NO",80,65,25.6,14.2,105.3,107.8,0.516,0.487,27.7,9.7,7.2,21.2,14.1,8.40%,2.10%,1.60%,13.70%
"McRoberts, Josh CHA",78,78,30.3,13.3,114.9,104.4,0.548,0.529,15,51.4,4,13.8,8.9,21.90%,1.30%,1.50%,12.10%
"Kanter, Enes UTA",80,37,26.7,23.1,102.4,111.4,0.523,0.491,23.9,0.1,11.6,20.9,16.1,6.40%,0.70%,1.50%,13.30%
"Durant, Kevin OKC",81,81,38.5,32.9,122.6,103.3,0.635,0.56,47.7,29.1,2.2,18.6,10.8,26.70%,1.70%,1.50%,12.20%
"Anthony, Carmelo NY",77,77,38.7,32.3,112.5,108,0.561,0.503,32.9,25.3,5.6,19.4,12.3,15.80%,1.70%,1.50%,9.50%
"Carter, Vince DAL",81,0,24.4,23.1,109.3,109.5,0.539,0.497,24.2,45.7,4,12.6,8.3,16.50%,1.60%,1.50%,10.70%
"Williams, Marvin UTA",66,50,25.4,16.6,110,110.1,0.54,0.519,13.9,44.5,5.5,17.9,11.5,7.70%,1.70%,1.50%,8.70%
"Wade, Dwyane MIA",54,53,32.9,27.7,109.7,105.7,0.588,0.551,33.9,4.2,4.4,12.3,8.5,25.50%,2.30%,1.40%,15.50%
