ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Leonard, Kawhi SA",64,64,31.8,23,112.8,95.1,0.567,0.52,30.7,23.4,4.8,20.6,12.9,12.90%,3.70%,1.80%,9.40%
"2 Bogut, Andrew GS",67,65,23.6,13.2,110.3,95.7,0.565,0.563,11.8,0,9.9,26.5,18.5,15.40%,1.20%,5.30%,22.10%
"3 Duncan, Tim SA",77,77,28.9,22.3,113.2,96.4,0.56,0.513,38,0.9,8.8,26.7,17.9,16.70%,1.40%,5.10%,12.10%
"4 Green, Draymond GS",79,79,31.5,17.2,109.6,96.8,0.54,0.516,26.1,43,5.1,22.4,14,16.10%,2.40%,2.90%,13.50%
"5 Allen, Tony MEM",63,41,26.2,16.6,102.6,97.7,0.528,0.505,27.7,6.4,7.2,12.2,9.7,8.20%,4.10%,1.50%,14.40%
"6 Gobert, Rudy UTA",82,37,26.3,13.9,122.1,97.8,0.627,0.604,63.9,0.5,14.3,27.2,20.7,8.20%,1.60%,7.00%,16.90%
"7 Jordan, DeAndre LAC",82,82,34.4,13.6,126.1,98.3,0.638,0.711,88.2,0.7,16.2,32.4,24.5,3.20%,1.50%,5.40%,12.80%
"8 Noel, Nerlens PHI",75,71,30.8,17,96.2,98.4,0.493,0.462,35.2,0,8.3,21,14.3,9.80%,2.90%,5.00%,16.20%
"9 Gasol, Marc MEM",81,81,33.2,24.6,110.7,99.3,0.558,0.496,41,1.6,4.9,21.8,13.4,19.60%,1.40%,4.00%,12.20%
"10 Randolph, Zach MEM",71,71,32.5,24.3,107.3,99.4,0.538,0.491,32,2.1,11.2,25.8,18.5,11.40%,1.60%,0.50%,12.80%
"10 Millsap, Paul ATL",73,73,32.7,23.8,108.9,99.4,0.565,0.518,36.2,23.2,6.9,20,13.6,15.40%,2.80%,2.40%,13.30%
"12 Davis, Anthony NO",68,68,36.1,27.7,122.3,99.6,0.591,0.536,38.4,1,8,24.1,16.1,11.40%,2.10%,6.20%,6.30%
"13 Drummond, Andre DET",82,82,30.5,22,106.9,99.7,0.504,0.514,38,0.2,18.3,30.1,24,3.90%,1.50%,4.80%,9.70%
"14 Gasol, Pau CHI",78,78,34.4,24.7,112.3,100,0.55,0.5,31.7,2.3,9.2,27.6,18.6,14.40%,0.50%,4.00%,10.70%
"14 Gortat, Marcin WSH",82,82,29.9,17.6,114.4,100,0.587,0.566,22.6,0.4,8.5,24.1,16.5,6.50%,1.00%,3.60%,10.50%
"16 Kidd-Gilchrist, Michael CHA",55,52,28.9,18.2,106.3,100.1,0.519,0.465,44.4,0,7.4,21.9,14.4,8.20%,1.00%,1.90%,9.90%
"17 Green, Danny SA",81,80,28.5,17.5,113.9,100.2,0.596,0.566,17.2,61.9,2.7,13.9,8.4,10.30%,2.20%,2.80%,10.50%
"18 Cousins, DeMarcus SAC",59,59,34.1,34,104.1,100.3,0.545,0.468,50.8,0.8,10.8,30.6,21.1,20.60%,2.20%,4.00%,16.30%
"19 Pachulia, Zaza MIL",73,45,23.7,19,103.1,100.4,0.506,0.454,30.2,0.6,13.1,19.9,16.5,16.30%,2.30%,1.00%,18.20%
"19 Mirotic, Nikola CHI",82,3,20.2,22.7,110.8,100.4,0.556,0.485,45.5,50.2,4.3,21.8,13.3,9.70%,1.70%,2.40%,10.60%
"21 Hibbert, Roy IND",76,76,25.3,21.3,101.4,100.5,0.501,0.446,28.7,0.3,9,21.9,15.5,7.40%,0.50%,5.10%,11.80%
