ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"Knight, Brevin LAC",74,39,22.6,12.2,102.2,108,0.453,0.404,20.8,1.8,1,8.8,4.9,31.10%,3.10%,0.50%,16.00%
"Stevenson, DeShawn WSH",82,82,31.3,17.4,110.8,113,0.529,0.487,25.3,52.9,1.6,9.3,5.4,15.50%,1.40%,0.50%,10.50%
"Barbosa, Leandro PHX",82,12,29.5,22.8,111.4,110.6,0.575,0.543,20.9,41.3,2,8.2,5.4,13.50%,1.50%,0.50%,9.50%
"Miller, Mike MEM",70,70,35.3,19.8,112.4,112.5,0.625,0.596,25.7,43.6,2.3,19,10.6,16.00%,0.70%,0.50%,16.60%
"Rondo, Rajon BOS",77,77,29.9,18.9,107.2,98.4,0.515,0.496,24.5,2.7,4.3,11.9,8.3,28.20%,3.00%,0.50%,15.70%
"Delfino, Carlos TOR",82,0,23.5,19,106.8,106.1,0.527,0.492,24.7,49.7,4,18.1,11,11.30%,1.90%,0.50%,9.70%
"Telfair, Sebastian MIN",60,51,32.2,16.6,99.9,114,0.462,0.43,18.9,20.5,0.9,7.4,4,27.70%,1.60%,0.50%,15.60%
"Roy, Brandon POR",74,74,37.7,24.9,112.8,109.8,0.531,0.485,31.9,18.4,3.4,11.2,7.3,28.20%,1.50%,0.40%,9.30%
"Crawford, Jamal NY",80,80,39.9,24.6,108.8,115,0.528,0.473,27.4,35.5,1.3,6.3,3.7,22.00%,1.30%,0.40%,11.00%
"Young, Thaddeus PHI",74,22,21,17.4,115,105.7,0.57,0.545,21,3.9,9.1,14.8,11.9,6.20%,2.50%,0.40%,10.70%
"Johnson, Joe ATL",82,82,40.8,25.6,109.4,112,0.535,0.489,25.3,29.7,2.9,9.9,6.4,25.50%,1.30%,0.40%,11.80%
"Redd, Michael MIL",72,71,37.5,27.3,112,115.3,0.559,0.495,39.4,28.9,3.5,10.2,6.7,16.40%,1.30%,0.40%,11.00%
"Davis, Ricky MIA",82,47,36.1,20,99.6,111.6,0.534,0.502,20.3,34.3,2.2,12.2,7.1,16.40%,1.60%,0.40%,15.30%
"Udrih, Beno SAC",65,51,32,19.8,105,112.6,0.54,0.501,20.8,19.4,2,10.2,6.2,22.20%,1.40%,0.40%,16.10%
"Watson, Earl SEA",78,73,29.1,18.8,105.1,111.9,0.517,0.487,19.4,17.7,2.1,8.7,5.4,36.60%,1.50%,0.30%,17.80%
"Finley, Michael SA",82,61,26.9,18.5,104.5,105.3,0.519,0.501,10.5,46.9,1.5,12,6.8,8.60%,0.70%,0.30%,6.60%
"Evans, Reggie PHI",81,61,23.2,13.6,96.8,102.8,0.463,0.441,74.3,0.3,14,24.7,19.3,5.00%,2.40%,0.30%,19.00%
"Bogans, Keith ORL",82,35,26.8,14.4,113,107.4,0.559,0.536,18.7,69.6,2.3,11.3,7,7.10%,1.40%,0.30%,7.70%
"Williams, Mo MIL",66,66,36.5,22.1,111.3,114.4,0.566,0.528,21.1,25.1,1.7,9.8,5.6,30.00%,1.70%,0.30%,15.30%
