PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Matt Santangelo,PG,-%,-,-,6' 0'',,7' 10'',177,6' 3''
Alex Scales,SG-PG,-%,-,-,6' 2.25'',,8' 1.5'',184.5,6' 9''
Karim Shabazz,C,-%,-,-,6' 11.5'',,9' 3.5'',224,7' 3''
Nick Sheppard,PF-C,-%,-,-,6' 9.5'',,8' 11.5'',273,6' 11''
Jabari Smith,PF-C,-%,-,-,6' 9.75'',,9' 1.5'',240.5,7' 2.5''
Mike Smith,SF,-%,-,-,6' 6.5'',,8' 7'',198,6' 8.5''
Jarrett Stephens,PF,-%,-,-,6' 5.25'',,8' 7'',258,6' 9.25''
Bootsy Thornton,SG,-%,-,-,6' 3.5'',,8' 5.5'',194.5,6' 6.5''
Jaquay Walls,PG,-%,-,-,6' 1.25'',,8' 0.5'',165.5,6' 2.5''
Jameel Watkins,PF-C,-%,-,-,6' 9.5'',,9' 2'',244.5,7' 6''
