PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Malik Allen,PF-C,-%,-,-,6' 8.25'',,9' 1'',271,7' 2.5''
Harold Arceneaux,SG-SF,-%,-,-,6' 4.5'',,8' 7'',219,6' 8.5''
Lamont Barnes,PF-C,-%,-,-,6' 8.5'',,9' 0'',235.5,7' 3.5''
Mario Bland,PF,-%,-,-,6' 5.5'',,8' 7'',287,7' 0''
Primoz Brezec,C,-%,-,-,7' 0.75'',,9' 2'',243,7' 2''
Ernest Brown,C,-%,-,-,6' 10'',,9' 1.5'',222.5,7' 1.25''
Speedy Claxton,PG,-%,-,-,5' 10.5'',,7' 10.5'',166,6' 0''
Eric Coley,SG-SF,-%,-,-,6' 4'',,8' 6'',205,6' 11''
Ed Cota,PG,-%,-,-,6' 0.25'',,8' 0.5'',189,6' 4''
Schea Cotton,SF,-%,-,-,6' 4.25'',,8' 4'',219.5,6' 7''
Jamal Crawford,PG-SG,-%,-,-,6' 4.5'',,8' 6.5'',175,6' 10''
Caswell Cyrus,PF,-%,-,-,6' 7.75'',,8' 11.5'',220.5,7' 2''
Khalid El-Amin,PG,-%,-,-,5' 9'',,7' 9'',200,6' 1.5''
Vassil Evtimov,PF,-%,-,-,6' 9.75'',,8' 10.5'',262,6' 10.5''
Antonis Fotsis,SF,-%,-,-,6' 9.25'',,8' 10'',219,6' 8.5''
Eddie Gill,PG,-%,-,-,5' 11.75'',,7' 9'',176,6' 4''
Ceedric Goodwyn,SF-PF,-%,-,-,6' 6'',,8' 8.5'',238,6' 10''
Marcus Goree,SF-PF,-%,-,-,6' 7.5'',,8' 9.5'',239,7' 0.5''
A.J. Granger,SF,-%,-,-,6' 7.5'',,8' 7'',227,6' 9.5''
A.J. Guyton,PG-SG,-%,-,-,6' 0.75'',,8' 1.5'',175,6' 3.75''
Ron Hale,SG-SF,-%,-,-,6' 7.5'',,8' 8.5'',202,6' 11''
Jason Hart,PG,-%,-,-,6' 1.75'',,8' 1.5'',181,6' 6''
Donnell Harvey,PF,-%,-,-,6' 7.25'',,8' 9.5'',220,7' 0.5''
Johnny Hemsley,SG-SF,-%,-,-,6' 2.75'',,8' 4.5'',200,6' 8''
Michael Hermon,SG-PG,-%,-,-,6' 2.75'',,8' 2.5'',195,6' 6.25''
Cory Hightower,SG-SF,-%,-,-,6' 5.5'',,8' 5.5'',183,6' 11''
Shaheen Holloway,PG,-%,-,-,5' 9.5'',,7' 7'',174,5' 10''
Eddie House,SG-PG,-%,-,-,5' 11.75'',,7' 11'',176.5,6' 3.5''
Jimmie Hunter,SG-PG,-%,-,-,6' 3'',,8' 4'',170,6' 8''
Jacob Jaacks,PF,-%,-,-,6' 9.25'',,8' 9.5'',238,6' 11''
Marko Jaric,SG-SF,-%,-,-,6' 6.5'',,8' 8'',210,6' 9''
Nate Johnson,SF,-%,-,-,6' 6.5'',,8' 8'',211.5,6' 8.5''
Kenyon Jones,PF-C,-%,-,-,6' 9'',,9' 0'',282,7' 1''
Mark Karcher,SG,-%,-,-,6' 4'',,8' 6.5'',218,6' 8''
Brandon Kurtz,PF-C,-%,-,-,6' 9.5'',,8' 10.5'',257,6' 11.25''
Dan Langhi,SF,-%,-,-,6' 9'',,8' 8'',197.5,6' 8''
Justin Love,PG-SG,-%,-,-,6' 1.5'',,8' 1.5'',205.5,6' 4.5''
Mark Madsen,PF,-%,-,-,6' 8'',,8' 8.5'',236.5,7' 0.5''
Dan McClintock,C-PF,-%,-,-,6' 11'',,8' 11'',250,7' 1.5''
Pete Mickeal,SG-SF,-%,-,-,6' 5'',,8' 7.5'',222,6' 9.5''
Brian Montonati,PF,-%,-,-,6' 8.75'',,8' 10'',215,6' 10.5''
Gabe Muoneke,PF-SF,-%,-,-,6' 6.25'',,8' 9'',244,7' 0.5''
Ndongo N'diaye,C,-%,-,-,6' 11.5'',,9' 4.5'',208,7' 3.5''
Eduardo Najera,PF-SF,-%,-,-,6' 6.5'',,8' 8.5'',234.5,6' 11.5''
Matthew Nielsen,PF,-%,-,-,6' 9'',,8' 10'',223,6' 10.5''
Chris Porter,SF-PF,-%,-,-,6' 5.5'',,8' 7.5'',214,6' 9.5''
Lavor Postell,SG,-%,-,-,6' 4.5'',,8' 5.5'',205,6' 8.5''
Igor Rakocevic,PG,-%,-,-,6' 2.5'',,8' 4'',184,6' 5.25''
Reed Rawlings,SG-SF,-%,-,-,6' 6.25'',,8' 8'',218,6' 9.25''
Michael Redd,SG-SF,-%,-,-,6' 4.75'',,8' 6'',214,6' 9''
Damon Reed,PF-C,-%,-,-,6' 8.5'',,8' 8.5'',228,6' 9.5''
Aubrey Reese,PG,-%,-,-,5' 10.75'',,7' 10.5'',189,6' 5.5''
Terrance Roberson,SF,-%,-,-,6' 5.5'',,8' 7.5'',209,6' 8''
Julius Doc Robinson,PG,-%,-,-,6' 0'',,7' 11.5'',184,6' 3.75''
Pepe Sanchez,PG,-%,-,-,6' 3'',,8' 0'',194,6' 3.5''
