PLAYER,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT_NO_SHOES,HEIGHT_SHOES,STANDING_REACH,WEIGHT,WINGSPAN
Ryan Kelly,PF,14.75%,9,10,6' 9.75'',6' 11.75'',9' 2'',228,6' 11.5''
Seth Curry,SG,9.60%,8,8.25,6' 1'',6' 3'',8' 1.5'',179.2,6' 4''
Shabazz Muhammad,SF-SG,9.00%,9,10,6' 4.75'',6' 6.25'',8' 8.5'',221.8,6' 11''
Shane Larkin,PG,3.80%,7.5,8.75,5' 10.25'',5' 11.5'',7' 5.5'',170.8,5' 10.75''
Solomon Hill,SF,7.60%,9,10.5,6' 5.5'',6' 7'',8' 7'',226,6' 9''
Steven Adams,C,6.65%,9.5,11,6' 10.75'',7' 0'',9' 1.5'',254.5,7' 4.5''
Tim Hardaway Jr.,SG,6.05%,8,9.25,6' 4.5'',6' 6.25'',8' 5'',199.4,6' 7''
Tony Mitchell,PF-SF,5.55%,9,10,6' 7.5'',6' 8.75'',8' 10.5'',236.4,7' 2.5''
Tony Snell,SF-SG,4.85%,9,9.5,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5''
Trevor Mbakwe,PF,5.90%,9.5,11.5,6' 6.75'',6' 8'',8' 10.5'',235.8,7' 4''
Trey Burke,PG,6.90%,8.25,8.75,5' 11.75'',6' 1.25'',8' 1.5'',187,6' 5.5''
Vander Blue,SG,4.60%,8.5,9.5,6' 3.5'',6' 5.25'',8' 4.5'',197.4,6' 6''
Victor Oladipo,SG,6.55%,8.75,9.25,6' 3.25'',6' 4.25'',8' 4.5'',213.2,6' 9.25''
Will Clyburn,SF-SG,6.85%,9.25,10.25,6' 5.75'',6' 7'',8' 9'',210.4,7' 0.25''
