PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Norman Richardson,SG,6.00%,-,-,6' 3.5'',,8' 3'',180,6' 4.5''
Jeryl Sasser,PG-SG,6.70%,-,-,6' 5.5'',,8' 7.5'',194,6' 10.5''
Kenny Satterfield,PG,6.70%,-,-,6' 1'',,8' 2'',176,6' 4.5''
Brian Scalabrine,PF-SF,13.60%,-,-,6' 8.75'',,8' 9.5'',241,6' 9.75''
Lee Scruggs,PF-SF,10.50%,-,-,6' 10.25'',,9' 2.5'',209,7' 5.75''
Bobby Simmons,SF,6.70%,-,-,6' 6.25'',,8' 9'',235,7' 0.25''
Will Solomon,PG-SG,4.00%,-,-,5' 11.75'',,8' 3.5'',172,6' 9.5''
Greg Stevenson,SF,7.30%,-,-,6' 3.75'',,8' 6'',215,7' 0.5''
Damone Thornton,PF,8.00%,-,-,6' 6.75'',,8' 7.75'',235,7' 1.75''
Jamaal Tinsley,PG,13.60%,-,-,6' 0.75'',,8' 1.5'',199,6' 7.5''
Tory Walker,SF,6.70%,-,-,6' 6.75'',,8' 8.5'',187,6' 11.25''
Souleymane Wane,C,11.20%,-,-,6' 8.5'',,9' 1'',235,7' 5''
Earl Watson,PG,4.00%,-,-,6' 0'',,8' 1'',184,6' 6.75''
Rodney White,SF,9.30%,-,-,6' 7.5'',,8' 8.5'',243,6' 11.5''
Loren Woods,C-PF,9.30%,-,-,7' 0.75'',,9' 5'',246,7' 5.5''
Brent Wright,PF-SF,12.40%,-,-,6' 7.75'',,8' 9.5'',236,7' 1.5''
Michael Wright,PF,9.30%,-,-,6' 7'',,8' 10.5'',247,6' 11.5''
