PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Adam Allenspach,C,12.40%,-,-,6' 11.5'',,8' 11'',259,7' 0.5''
Gilbert Arenas,SG,5.30%,-,-,6' 2.25'',,8' 3.5'',199,6' 9.5''
Brandon Armstrong,SG,9.30%,-,-,6' 3.5'',,8' 3.5'',188,6' 9.5''
Shane Battier,SF-PF,9.30%,-,-,6' 8.25'',,8' 9'',229,6' 10.5''
Cookie Belcher,SG-PG,5.30%,-,-,6' 3'',,8' 3'',206,6' 8.5''
Charlie Bell,PG,6.70%,-,-,6' 2.5'',,8' 1.5'',200,6' 7.5''
Ruben Boumtje-Boumtje,C,6.00%,-,-,6' 11.5'',,9' 3'',245,7' 4''
Calvin Bowman,PF,8.60%,-,-,6' 8.75'',,8' 8'',214,6' 11.5''
Michael Bradley,PF,9.30%,-,-,6' 9.5'',,8' 11'',227,7' 1.5''
Jamison Brewer,PG,6.70%,-,-,6' 2.5'',,8' 6.5'',178,6' 8.75''
Damone Brown,SF,6.70%,-,-,6' 8.25'',,8' 8.5'',202,6' 11.75''
Kwame Brown,PF-C,8.90%,-,-,6' 10'',,9' 0'',243,7' 1''
SirValiant Brown,PG,6.70%,-,-,5' 11'',,7' 8.5'',176,6' 4''
Ryan Carroll,SF-SG,8.00%,-,-,6' 4'',,8' 3'',202,6' 8.25''
Tyson Chandler,SF-PF,6.70%,-,-,6' 11.5'',,9' 2'',224,7' 3''
Eric Chenowith,C,12.90%,-,-,7' 1'',,9' 3'',264,7' 4''
Sam Clancy,PF,8.00%,-,-,6' 6.25'',,8' 11'',242,7' 2.75''
Gyasi Cline-Heard,PF,8.00%,-,-,6' 6.25'',,8' 7'',231,6' 11.5''
Jarron Collins,C-PF,15.20%,-,-,6' 9.25'',,8' 8'',252,7' 3''
Jason Collins,PF-C,12.90%,-,-,6' 10.25'',,9' 2'',251,7' 4.5''
Omar Cook,PG,5.50%,-,-,5' 11.5'',,7' 8'',189,6' 5.5''
Eddy Curry,C,16.50%,-,-,6' 10.5'',,9' 3'',301,7' 6.5''
Tate Decker,SF,13.60%,-,-,6' 9.25'',,8' 11'',218,6' 11.75''
DeSagana Diop,C,21.00%,-,-,6' 10'',,9' 5'',314,7' 6.5''
Robb Dryden,C,8.00%,-,-,7' 1'',,9' 2.25'',241,7' 2.5''
Anthony Evans,PF,12.90%,-,-,6' 6'',,8' 5.5'',267,6' 11.5''
Maurice Evans,SG,4.00%,-,-,6' 4.25'',,8' 5'',221,6' 8''
Benjamin Eze,C-PF,3.90%,-,-,6' 8.75'',,9' 1'',232,7' 6''
Kimani Ffriend,C-PF,11.70%,-,-,6' 9.5'',,9' 0.5'',228,6' 10.75''
Alton Ford,PF,8.00%,-,-,6' 8.25'',,8' 6.5'',271,6' 10.5''
Joseph Forte,SG,-%,-,-,6' 3.5'',,8' 4.5'',193,6' 6.5''
Jason Gardner,PG,8.00%,-,-,5' 9.75'',,7' 8.5'',188,6' 1.25''
Jerry Green,PG-SG,5.50%,-,-,6' 1.5'',,8' 3'',179,6' 6.25''
Kenny Gregory,SF,6.70%,-,-,6' 3.5'',,8' 5'',200,6' 11.25''
Eddie Griffin,PF-SF,4.00%,-,-,6' 9.25'',,9' 2'',222,7' 3''
Trenton Hassell,SG-SF,5.30%,-,-,6' 4.25'',,8' 3.5'',205,6' 8''
Kirk Haston,PF-SF,10.50%,-,-,6' 8'',,8' 10'',242,7' 0.25''
Charles Hathaway,C,-%,-,-,6' 8'',,8' 11.5'',274,7' 2''
Brendan Haywood,C,12.90%,-,-,6' 11.75'',,9' 5.5'',266,7' 6.5''
Michael Hicks,SG,7.30%,-,-,6' 4'',,8' 4.5'',197,6' 9.25''
Steven Hunter,C-PF,5.30%,-,-,6' 10.25'',,9' 0'',224,7' 4''
Andre Hutson,PF,11.70%,-,-,6' 8.25'',,8' 9.5'',244,6' 11.75''
Nate James,SF,6.00%,-,-,6' 4.75'',,8' 7'',196,6' 10.75''
Richard Jefferson,SF,6.70%,-,-,6' 7.25'',,8' 7'',223,7' 0''
Horace Jenkins,PG,6.00%,-,-,5' 11.75'',,8' 1'',171,6' 5.25''
Darrell Johns,C,19.10%,-,-,6' 11.25'',,9' 3.5'',278,7' 5''
Joe Johnson,SF-SG,6.70%,-,-,6' 6.75'',,8' 9'',226,6' 9''
Ken Johnson,C,9.90%,-,-,6' 10.75'',,9' 1.5'',227,7' 4''
Darren Kelly,SG-PG,6.70%,-,-,6' 2'',,8' 4'',178,6' 6.75''
Sean Lampley,SF,8.00%,-,-,6' 5.5'',,8' 5'',213,6' 9.25''
Zach Marbury,PG-SG,6.70%,-,-,6' 1.25'',,8' 0.5'',183,6' 3.5''
Mike Mardesich,C-PF,13.60%,-,-,6' 10.25'',,9' 0.5'',247,7' 0.5''
DeMarcus Minor,SG,6.70%,-,-,6' 3.25'',,8' 3.5'',207,6' 8.25''
Jamario Moon,SF,5.30%,-,-,6' 6.5'',,8' 7'',185,6' 11.5''
Troy Murphy,PF,11.70%,-,-,6' 9.75'',,8' 9.5'',230,6' 11''
Troy Ostler,PF-SF,8.00%,-,-,6' 8.75'',,8' 10.5'',200,7' 1.5''
Lazaros Papadopoulos,C-PF,11.70%,-,-,6' 10.25'',,9' 2.5'',227,7' 2.5''
Rashad Phillips,PG,12.40%,-,-,5' 9'',,7' 8'',166,6' 1.5''
Demetrius Porter,PG,12.40%,-,-,5' 10.75'',,7' 10'',178,6' 2.75''
Martin Rancik,PF-SF,8.00%,-,-,6' 8.75'',,8' 6.5'',230,6' 8''
Jason Richardson,SF-SG,5.30%,-,-,6' 4.75'',,8' 6.5'',213,6' 11.5''
