PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
AJ English,PG,12.27,3.27,3.28,29.5,35.5,-
Ben Bentil,PF,11.16,3.1,3.3,29,33,-
Brice Johnson,PF,11.88,2.94,3.2,33.5,38,-
Buddy Hield,SG,-,-,-,-,-,-
Caleb Swanigan,PF,12.8,-,-,26,29,-
Caris LeVert,SG,-,-,-,-,-,-
Cat Barber,PG,-,-,-,-,-,-
Cheick Diallo,PF,11.24,3.3,3.26,31,35,-
Chinanu Onuaku,C,11.65,3,3.5,27.5,33.5,-
Damian Jones,C,11.35,3.12,3.2,36,37,-
Daniel Hamilton,SG-SF,11.48,3.2,3.4,26,29,-
DeAndre Bembry,SG-SF,10.9,2.87,3.17,32,38,-
Dedric Lawson,PF,12.48,3.39,3.65,22.5,28,-
Demetrius Jackson,PG,10.81,2.87,3.25,37.5,43.5,-
Denzel Valentine,SG-SF,10.51,3.22,3.46,27,32,-
Deyonta Davis,PF,-,-,-,-,-,-
Diamond Stone,C,12.02,3.22,3.5,27,29.5,-
Dorian Finney-Smith,SF,11.01,3.04,3.27,32.5,35.5,-
Elgin Cook,SF,-,-,-,-,-,-
Gary Payton II,PG,11.57,3.17,3.23,31.5,38.5,-
Georges Niang,PF,11.64,3.17,3.49,25,31,-
Henry Ellenson,PF,-,-,-,-,-,-
Isaiah Cousins,PG,10.79,2.97,3.24,30.5,37,-
Isaiah Miles,PF,11.76,3.25,3.39,24,31.5,-
Isaiah Whitehead,PG-SG,11.65,3.21,3.34,27.5,35.5,-
Jake Layman,SF,11.35,2.82,3.24,33,39.5,-
Jakob Poeltl,C,-,-,-,-,-,-
Jaron Blossomgame,SF,11.53,3.26,3.2,35,41,-
Jarrod Uthoff,PF,11.52,3.03,3.5,29,34.5,-
Jaylen Brown,SG-SF,-,-,-,-,-,-
Joel Bolomboy,PF,10.26,2.86,3.17,37.5,40.5,-
Josh Hart,SG,11.15,3.15,3.2,29.5,38.5,-
Justin Jackson,SF,11.32,2.96,3.26,29.5,34.5,-
Kay Felder,PG,11.52,2.9,3.15,35.5,44,-
Kris Dunn,PG,-,-,-,-,-,-
Kyle Wiltjer,PF,11.35,3.04,3.48,28.5,35.5,-
Malachi Richardson,SG-SF,10.56,3.25,3.33,33,38,-
Malcolm Brogdon,SG,10.77,2.64,3.31,30.5,35.5,-
Malik Beasley,SG,-,0,-,-,-,-
Malik Newman,SG,10.88,3.11,3.28,30,35.5,-
Marcus Lee,PF-C,11.68,3.19,3.25,28.5,35.5,-
Marcus Paige,PG,10.82,2.69,3.15,33.5,39.5,-
Marquese Chriss,PF,11.93,3.05,3.26,32.5,38.5,-
Melo Trimble,PG,10.57,2.77,3.2,26.5,35.5,-
Michael Gbinije,SG,11,3.19,3.12,33.5,37.5,-
Nigel Hayes,SF-PF,12.11,2.9,3.2,25.5,28.5,-
Pascal Siakam,PF,11.25,3.09,3.41,30.5,36.5,-
Patrick McCaw,PG-SG,11.01,2.97,3.3,30,38,-
Perry Ellis,PF,10.73,3.03,3.13,32,38,-
Robert Carter Jr,PF,11.97,3.15,3.65,24.5,30.5,-
Ron Baker,SG,10.77,2.96,3.45,30,35.5,-
Sheldon McClellan,SG,10.45,3.04,3.26,35,41.5,-
Skal Labissiere,PF-C,-,-,-,-,-,-
Stephen Zimmerman,C,12.08,3.16,3.43,26,31,-
Taurean Prince,SF,10.96,2.8,3.24,34,36,-
Thon Maker,PF,11.15,3.09,3.33,32,36.5,-
Troy Williams,SF,10.72,3.08,3.35,30,36,-
Tyler Ulis,PG,10.8,2.88,3.2,32.5,38,-
Wade Baldwin IV,PG,10.45,3.01,3.19,32.5,38,-
Wayne Selden,SG,-,-,-,-,-,-
Zhou Qi,PF-C,11.27,2.9,3.46,31.5,32,-
