PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Nene,PF,-%,-,-,6' 9.25'',,9' 1'',253,7' 4.5''
Robert Archibald,PF-C,-%,-,-,6' 10'',,9' 1.5'',250,6' 11.75''
Maurice Baker,PG,-%,-,-,5' 11.75'',,8' 0'',178,6' 4''
Matt Barnes,SF,-%,-,-,6' 6.75'',,8' 0.5'',226,6' 9''
Lubos Barton,SF-SG,-%,-,-,6' 6.5'',,8' 11'',221,7' 0''
Lonny Baxter,PF-C,-%,-,-,6' 6.25'',,8' 11.5'',264,7' 1.5''
Lee Benson,SF-PF,-%,-,-,6' 8.25'',,9' 1'',217,7' 1.75''
Carlos Boozer,PF,-%,-,-,6' 7.75'',,9' 0.5'',258,7' 2.25''
Curtis Borchardt,C,-%,-,-,6' 10.75'',,9' 4'',238,7' 2.5''
J.R. Bremer,SG-PG,-%,-,-,6' 1.25'',,8' 0'',188,6' 2.25''
Brian Brown,PG-SG,-%,-,-,6' 2.5'',,8' 3'',194,6' 7''
Sylvere Bryan,PF,-%,-,-,6' 9'',,9' 1.5'',226,7' 4.5''
Chris Burgess,C,-%,-,-,6' 10'',,9' 1'',246,6' 11.5''
Caron Butler,SF-SG,-%,-,-,6' 5.25'',,8' 7.5'',222,6' 11.5''
Rasual Butler,SF,-%,-,-,6' 6.75'',,8' 9.5'',198,7' 0''
Mire Chatman,PG-SG,-%,-,-,6' 0'',,8' 2'',174,6' 6''
Chris Christoffersen,C,-%,-,-,7' 0.75'',,9' 1'',291,7' 3.5''
Lenny Cooke,SG-SF,-%,-,-,6' 5.5'',,8' 11'',214,7' 1''
Craig Dawson,SG-SF,-%,-,-,6' 3.5'',,8' 6'',200,6' 6.25''
Mike Dunleavy,SF,-%,-,-,6' 8'',,8' 10'',230,6' 9''
Teddy Dupay,PG,-%,-,-,5' 9.5'',,7' 6.5'',178,5' 10.75''
Corsley Edwards,PF,-%,-,-,6' 7.25'',,8' 10.5'',285,6' 10.75''
Andy Ellis,PF,-%,-,-,6' 9.25'',,8' 6'',220,6' 10.25''
Melvin Ely,PF,-%,-,-,6' 9'',,9' 3'',240,7' 4''
Reggie Evans,PF,-%,-,-,6' 7.5'',,8' 11.5'',250,7' 2.5''
Peter Fehse,PF-C,-%,-,-,6' 10'',,9' 1'',220,7' 0.5''
Drew Gooden,PF,-%,-,-,6' 8.75'',,8' 10.5'',227,7' 0.5''
David Graves,SG,-%,-,-,6' 4.5'',,8' 5'',212,6' 7''
Lynn Greer,PG,-%,-,-,6' 0.25'',,7' 10.5'',170,6' 1''
Rod Grizzard,SF-SG,-%,-,-,6' 6'',,8' 11'',193,7' 0''
Anthony Grundy,PG-SG,-%,-,-,6' 0.75'',,8' 3'',167,6' 7.75''
Marcus Haislip,PF,-%,-,-,6' 8.5'',,8' 11'',221,7' 0''
Damon Hancock,SG-PG,-%,-,-,6' 2.75'',,8' 3.5'',203,6' 6''
Greg Harrington,PG,-%,-,-,6' 1'',,8' 1'',183,6' 3.75''
Udonis Haslem,PF,-%,-,-,6' 7.75'',,8' 11'',250,6' 11''
