PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Cordell Henry,PG,-%,-,-,5' 8'',,7' 8'',155,6' 1''
Randy Holcomb,SF-PF,-%,-,-,6' 7'',,8' 9'',225,7' 1''
Ryan Humphrey,PF-SF,-%,-,-,6' 6'',,8' 8.5'',223,7' 0''
Jared Jeffries,PF,-%,-,-,6' 10'',,9' 1'',230,7' 0.5''
Jason Jennings,C,-%,-,-,6' 11.25'',,9' 3'',249,7' 7''
Fred Jones,SG,-%,-,-,6' 2.25'',,8' 4'',218,7' 0''
Lonnie Jones,C-PF,-%,-,-,6' 10.25'',,9' 4'',230,7' 2.25''
Mario Kasun,C,-%,-,-,6' 11.75'',,9' 1'',260,6' 11.5''
Sean Kennedy,PG,-%,-,-,6' 0.75'',,8' 0'',182,6' 2.5''
Kris Lang,C-PF,-%,-,-,6' 9.25'',,9' 1'',242,6' 11.75''
Muhammed Lasege,C-PF,-%,-,-,6' 8.75'',,9' 0.5'',228,7' 2''
Steve Logan,PG,-%,-,-,5' 10'',,7' 8.5'',207,5' 11.75''
Kevin Lyde,C-PF,-%,-,-,6' 8.75'',,9' 1.5'',278,7' 2''
Tito Maddox,PG,-%,-,-,6' 3'',,8' 3'',200,6' 5''
Kei Madison,SF,-%,-,-,6' 7.75'',,8' 11'',216,7' 0.5''
Chris Massie,PF,-%,-,-,6' 6.25'',,8' 11'',248,7' 0''
Immanuel McElroy,SG,-%,-,-,6' 2.25'',,8' 4'',191,6' 6.5''
Aaron McGhee,PF-SF,-%,-,-,6' 7'',,8' 9.5'',255,6' 10''
Elvin Mims,SF-SG,-%,-,-,6' 4.25'',,8' 9.5'',211,7' 1.5''
Byron Mouton,SG-SF,-%,-,-,6' 4.5'',,8' 6'',213,6' 10.25''
Ronald Murray,SG,-%,-,-,6' 3'',,8' 4.5'',197,6' 7.5''
Uche Okafor,PF-C,-%,-,-,6' 9'',,9' 4'',229,7' 5.5''
Chris Owens,PF-SF,-%,-,-,6' 7'',,8' 8'',237,6' 11.5''
Jannero Pargo,PG,-%,-,-,6' 0.25'',,8' 0'',168,6' 2.5''
Smush Parker,PG-SG,-%,-,-,6' 2.5'',,8' 11.5'',179,6' 10''
Luke Recker,SG-SF,-%,-,-,6' 4.75'',,8' 5'',198,6' 7''
Rolan Roberts,PF,-%,-,-,6' 5.75'',,8' 9.5'',241,7' 1''
Travis Robinson,SF,-%,-,-,6' 5.25'',,8' 8.5'',211,6' 10.5''
Kareem Rush,SG-SF,-%,-,-,6' 4.75'',,8' 7.5'',199,6' 9.75''
Brooks Sales,PF-C,-%,-,-,6' 9'',,9' 0'',232,6' 10''
John Salmons,SF-SG,-%,-,-,6' 5.5'',,8' 8'',207,6' 10.25''
Predrag Savovic,SG,-%,-,-,6' 4.75'',,8' 6'',212,6' 7''
Julian Sensley,PF-SF,-%,-,-,6' 7'',,8' 9.5'',228,6' 11.5''
Israel Sheinfeld,PF-C,-%,-,-,6' 8.25'',,8' 10.5'',239,6' 9.75''
Preston Shumpert,SF,-%,-,-,6' 6'',,8' 7.5'',197,6' 8.5''
Tamar Slay,SF,-%,-,-,6' 6.75'',,8' 8'',203,6' 11.5''
Darius Songaila,PF,-%,-,-,6' 8'',,9' 0.5'',240,7' 1''
Amar'e Stoudemire,PF,-%,-,-,6' 8.5'',,9' 0.5'',233,7' 1.75''
Marcus Taylor,PG,-%,-,-,6' 1'',,8' 2.5'',181,6' 4.5''
Jobey Thomas,SG,-%,-,-,6' 2.75'',,8' 3.5'',183,6' 5.75''
Dajuan Wagner,PG-SG,-%,-,-,6' 0.75'',,8' 3'',193,6' 2''
Chris Wilcox,PF-C,-%,-,-,6' 8.25'',,8' 11.5'',218,7' 1''
Frank Williams,PG,-%,-,-,6' 1.5'',,8' 4.5'',212,6' 8''
George Williams,PF-SF,-%,-,-,6' 5.75'',,8' 7'',214,7' 0.5''
Jay Williams,PG,-%,-,-,6' 0.25'',,8' 1'',197,6' 3.5''
Qyntel Woods,SF-SG,-%,-,-,6' 7'',,8' 9'',213,6' 10''
Vincent Yarbrough,SF,-%,-,-,6' 5.5'',,8' 8.5'',202,7' 0.5''
