ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Holyfield, Michael SHSU",35,34,17.9,23.2,114.4,76.6,0.626,0.602,69.6,0.6,19.8,29.9,23.3,3.40%,1.20%,14.70%,18.60%
"2 Towns, Karl-Anthony UK",39,39,21.1,23.7,125,77.5,0.637,0.57,52.3,3.1,14.2,22.3,17,11.60%,1.40%,11.50%,14.40%
"3 Cauley-Stein, Willie UK",39,38,25.9,17.8,118.2,79.4,0.597,0.572,54.2,0,11.1,17.3,13.3,7.40%,3.00%,7.10%,14.10%
"4 Johnson, Dakari UK",39,0,16.3,21.8,112.4,82,0.565,0.506,92.3,0,13.4,19.1,15.1,8.90%,1.40%,6.10%,16.10%
"5 Atkins, Darion UVA",33,27,23.9,20.7,105.2,83.1,0.519,0.511,22.6,0.5,12.1,18.7,14.2,6.60%,2.40%,5.80%,13.20%
"6 Spencer, Skylar SDSU",36,36,23.3,9.8,108,83.8,0.535,0.532,73.4,0,9.9,16.6,11.9,2.70%,1.50%,12.50%,16.70%
"7 Martin, Hassan URI",33,33,28.8,19.1,115.8,83.8,0.617,0.598,56.6,2,9.3,21.7,14.1,2.70%,1.50%,11.60%,12.60%
"8 Parks, Jordan NCCU",33,33,31.6,23.5,123.8,84.2,0.683,0.67,39.3,5,11.5,20.5,15,5.10%,2.20%,3.70%,13.90%
"9 Tobey, Mike UVA",34,11,17.1,23.5,114.9,85,0.558,0.514,34.8,0.6,14.8,21.6,16.8,4.80%,1.10%,4.80%,11.10%
"10 Ochefu, Daniel NOVA",36,34,24,19.5,120.7,85.1,0.67,0.644,51.5,0,14,28.1,19.2,13.20%,2.20%,6.30%,21.00%
"11 Miller, Shonn CORN",30,30,31.3,30.2,104.9,85.3,0.547,0.47,43.7,26.9,3.5,27.8,14.5,9.70%,2.60%,7.30%,10.30%
"12 Payton II, Gary OREST",31,30,36.3,21.9,109.5,85.7,0.552,0.525,29.3,27.5,7,18.4,11.6,22.30%,5.50%,4.60%,13.50%
"13 Lyles, Trey UK",36,21,23,20.8,113.7,85.7,0.549,0.496,42.5,12.1,9.9,16.1,12.1,9.20%,1.50%,2.10%,12.60%
"14 Turner, Myles TEXAS",34,7,22.2,25,109.7,85.9,0.563,0.488,43.6,24.1,7.2,24.9,15.2,6.20%,0.90%,12.30%,13.30%
"15 Wills, Dre UVM",34,34,27.3,19.6,108.2,85.9,0.602,0.579,56.7,6.7,5.4,15.8,10.1,19.00%,4.30%,3.90%,19.90%
"16 Jawara, Karamo NCCU",33,33,33.6,14.5,104.8,86.1,0.542,0.5,35.8,31.8,4.1,18.6,10.9,12.80%,2.00%,2.70%,19.10%
"17 Gill, Anthony UVA",34,30,25.3,24.1,126.1,86.2,0.625,0.582,67.2,0.4,15.5,16.3,14.6,8.00%,2.30%,2.40%,11.00%
"18 Kennedy, Markus SMU",24,0,23,27.6,113.6,86.7,0.584,0.548,55.3,1.5,13.3,19.2,15.2,11.90%,3.80%,5.00%,13.10%
"19 Holmes, Dante NCCU",33,33,28.3,23.9,100.6,86.7,0.505,0.487,27.5,45.7,5,14.8,9.4,17.30%,3.10%,0.10%,15.10%
"20 Warney, Jameel STNBRK",35,34,33,26,116.5,87.1,0.553,0.538,34.3,0,14.1,26.1,18.4,16.20%,1.40%,8.80%,10.20%
"21 Onuaku, Chinanu LOU",35,26,17.8,10.8,98.6,87.1,0.603,0.616,41.1,0,12.3,16.3,13.6,5.70%,2.60%,7.30%,33.80%
"22 Johnson, Stanley ARIZ",38,37,28.4,26.6,109.3,87.2,0.558,0.501,45.6,29.7,8.9,19.1,13,11.60%,3.20%,1.60%,14.90%
"23 Gatlin, Demarcus SHSU",35,28,23.4,23,116.9,87.3,0.565,0.506,61.8,21.6,8.3,14.9,10.9,18.80%,2.50%,2.90%,12.30%
"24 Hollis-Jefferson, Rondae ARIZ",38,25,28.7,20.3,117,87.4,0.585,0.513,74.5,10.5,9,20.1,13.6,10.10%,2.50%,3.40%,13.90%
"25 Wright, Delon UTAH",35,35,33.3,22.7,128,87.5,0.629,0.549,56.5,22.5,4,13.7,8.5,33.00%,4.10%,3.20%,14.40%
"26 Harrison, Aaron UK",39,38,25.8,23.6,111.4,87.7,0.519,0.474,27.3,50.5,1.9,9.2,5.3,11.10%,2.70%,0.60%,7.80%
"27 Poeltl, Jakob UTAH",34,34,23.3,21,114.6,87.8,0.641,0.681,66,0.5,16,20,16.6,6.60%,1.00%,8.60%,18.50%
"28 McConnell, T.J. ARIZ",38,38,30.5,19,117.9,87.8,0.574,0.538,22.4,24.9,2.8,12.5,7.2,39.00%,4.40%,0.30%,18.50%
"29 Clark, Gary CIN",34,34,27.8,16.8,116.2,87.9,0.548,0.524,34.3,2.4,13.4,18.9,14.9,13.90%,2.50%,5.50%,13.60%
"30 Ellis, Octavius CIN",34,34,28.7,20.6,109.1,88.1,0.605,0.557,61.6,0.5,12.8,18.3,14.4,10.60%,1.90%,7.90%,21.40%
"31 Fouse, Jordan UWGB",33,33,32.1,14.4,108.3,88.1,0.531,0.522,35.5,21.2,8.2,17.5,11.6,21.50%,3.70%,3.90%,19.30%
"32 Washburn, Chris TCU",33,33,23.9,17.3,105.4,88.2,0.505,0.484,50.3,1.6,8.2,19.2,12.6,11.40%,3.60%,5.90%,12.80%
"33 Fernandez, Vashil VALPO",34,32,24.7,15.1,112.9,88.2,0.567,0.564,57,0,11.4,16.6,12.7,2.60%,1.10%,14.30%,13.40%
"34 Ingram, Jeremiah NCCU",33,1,15.7,18.7,102.1,88.3,0.603,0.553,116.5,10.6,10.9,11.5,10.2,6.20%,2.50%,2.60%,25.90%
"35 Webb III, James BSU",32,27,27.7,19.5,127.3,88.5,0.656,0.647,23.4,46.4,9.4,27.6,17.2,4.80%,2.70%,2.80%,10.20%
"36 Harrison, Andrew UK",39,39,25.5,21.3,112.4,88.6,0.54,0.446,59.6,35.2,1.7,8.1,4.7,26.00%,2.60%,0.90%,16.00%
"37 Peters, Jabari SHSU",35,35,29.1,18.3,108.4,88.6,0.558,0.512,42.3,60,4.4,13.2,8.2,16.20%,2.80%,1.20%,17.20%
"38 Woods, Kameron BUTLER",34,34,31.3,13.8,116.8,88.6,0.563,0.506,70,0,11.1,27.5,17.3,7.30%,2.40%,3.50%,14.80%
"39 Swannegan, Brandon TULSA",34,10,16.7,14.8,100,88.8,0.502,0.458,77.1,0,12.8,14.3,12.3,1.50%,2.10%,10.50%,17.90%
"40 Mockevicius, Egidijus EVNSVL",34,34,27.9,21.6,121,88.8,0.647,0.579,53.4,0,10.8,32.7,20.3,3.90%,1.40%,8.70%,12.70%
"41 Gathers, Rico BAYLOR",34,34,29.9,21.4,117.7,88.8,0.516,0.459,69.9,0,18.9,25.6,20.7,3.40%,2.60%,4.00%,8.40%
"42 Cochran, Karl WOFF",35,35,31.1,28.7,103.1,88.9,0.509,0.494,15.8,57.3,3.3,20.3,10.9,20.70%,3.70%,3.80%,10.20%
"43 Moundou-Missi, Steve HARV",30,29,29.9,20.7,99.5,88.9,0.507,0.466,29.9,4,8,22.2,13.9,7.40%,1.90%,5.70%,14.20%
"44 Anderson, Justin UVA",26,23,27.8,23.2,121.3,88.9,0.617,0.572,37.1,47.1,3.1,14.4,8.3,14.00%,1.60%,2.50%,10.80%
"45 Drame, Ousmane QUINN",30,13,29.1,27.2,108.5,89,0.534,0.457,46.1,0.9,13,27,18.4,8.90%,1.50%,10.00%,14.20%
"46 O'Day, Ethan UVM",34,32,25.9,25.1,112.1,89,0.605,0.579,34.4,0,7.8,13.9,10.2,8.50%,2.00%,8.90%,12.60%
"47 Bond, Jaylen TEMPLE",35,29,26.8,18,101,89,0.459,0.464,23.2,17.9,12.9,18.8,14.5,7.80%,3.20%,3.00%,10.50%
"48 Hunter, Vince UTEP",33,30,28.5,30.3,103.7,89.1,0.563,0.532,59.8,2.9,11.6,25.9,17.8,14.30%,2.70%,3.80%,17.40%
"49 Ransom, Kaheem SHSU",35,35,28.7,19.5,112.3,89.2,0.526,0.462,34.8,66.9,3.8,13.1,7.9,28.20%,2.60%,0.40%,15.60%
"50 Harrison, Shaquille TULSA",34,34,31.4,26.1,101.1,89.3,0.51,0.467,47.1,15.2,4.2,14,8.3,29.20%,3.90%,2.30%,15.60%
"Ferguson, Eric GEOSOU",25,4,20.4,23.5,97.4,89.4,0.524,0.516,42.2,33.5,9.7,19.3,13.2,4.50%,1.70%,3.50%,17.00%
"Ross, Richard ODU",35,26,25.2,18.4,107.8,89.5,0.59,0.595,22.5,0,9.6,17.3,12.2,10.70%,1.90%,8.40%,18.10%
"Buchanan, T.J. URI",33,1,22.5,15.5,106.8,89.6,0.563,0.492,81.1,7.1,5.3,11.9,7.8,22.40%,3.30%,1.00%,22.10%
"O'Brien, J.J. SDSU",36,36,32.9,19.3,107.9,89.7,0.511,0.483,29.1,10.9,7.8,11.2,8.6,17.50%,2.90%,0.70%,13.00%
"Mathiang, Mangok LOU",34,9,18.7,10.5,98.3,89.7,0.424,0.388,67.5,0,13.9,13.9,13.2,4.50%,1.90%,7.90%,20.00%
"Williams, Alan UCSB",26,26,32.6,30.7,109.5,89.7,0.531,0.458,48.1,0.9,12.3,31.6,20.2,12.90%,2.40%,6.50%,10.80%
"Ulis, Tyler UK",37,0,23.8,13.5,120.4,89.7,0.556,0.506,31.5,46.7,2.3,6.3,4.1,27.20%,2.70%,0.20%,16.80%
"Tuttle, Seth UNI",35,35,30.4,28.7,121.3,89.7,0.687,0.635,64.4,14.5,6.6,23.1,14.3,28.60%,2.20%,2.50%,20.30%
"Hewitt, Jelani GEOSOU",31,31,35.1,28.3,109.3,89.7,0.535,0.456,46.5,62.7,3.1,10.2,6,23.30%,4.40%,1.10%,13.50%
"Shepard, Winston SDSU",36,36,26.5,28.7,95.1,89.8,0.488,0.432,46.6,16.8,7.9,16.2,10.8,17.30%,1.50%,1.20%,17.70%
"Green, Javonte RADFRD",34,34,26.2,29.4,116.9,89.8,0.6,0.546,65,2.6,12.9,26.8,18.2,11.00%,4.50%,3.30%,13.60%
"Mullings, Daniel NMSU",22,18,29,25.3,109.2,89.9,0.544,0.466,68.8,18.8,8.4,12.8,9.8,20.20%,4.80%,1.40%,16.90%
"Mickey, Jordan LSU",31,31,34.9,24.9,98.7,89.9,0.539,0.505,38.8,2.4,10.5,19.6,14.2,7.60%,1.60%,9.70%,18.50%
"Sam, Jarred SOUTHN",33,23,20.8,13.3,112.5,89.9,0.591,0.546,78.7,1.9,10.2,18.3,12.8,3.30%,3.00%,3.80%,17.10%
"Harrell, Montrezl LOU",35,35,35.1,22.2,116.5,90,0.597,0.578,50.8,9.8,10,19.1,13.8,9.20%,1.70%,3.70%,13.00%
"Rozier, Terry LOU",36,35,35,27.8,106.9,90.1,0.514,0.457,33.8,30.1,3.8,13.9,8.4,19.70%,3.50%,0.50%,11.70%
"Zack, Steve LSALLE",33,33,31.2,18.6,98.1,90.2,0.487,0.448,30.6,2.3,10.3,24.3,15.9,13.50%,1.50%,6.00%,17.20%
"Nance Jr., Larry WYO",31,31,34.9,28.3,108.6,90.2,0.588,0.533,40.3,11.7,6,21.1,12.7,20.00%,2.40%,4.30%,14.20%
"Lynch, Reggie ILLST",33,30,22.2,24,107.9,90.3,0.559,0.509,52.6,0,14.6,14.5,13.2,2.50%,2.00%,15.00%,15.90%
"Brogdon, Malcolm UVA",34,34,32.5,25.9,110.7,90.4,0.551,0.481,35.3,34.2,1.9,12.7,6.9,16.50%,1.50%,1.60%,11.80%
"Gant, Emani TEXST",30,30,30.6,26.5,97.3,90.4,0.52,0.477,46.6,0.3,9.6,18.1,12.3,14.60%,2.60%,2.30%,17.30%
"Cooke Jr., Derek WYO",35,35,26.3,16.9,116.6,90.4,0.702,0.724,57.1,0.6,8.2,21,13.6,9.00%,2.30%,4.20%,19.60%
"Grady, Anton CLEVST",34,34,29.7,29.1,104.6,90.5,0.529,0.494,39.6,2.6,9.8,23.8,15.3,14.20%,3.30%,6.00%,13.70%
"Williams, Amir OSU",33,29,19.5,15.4,120.9,90.6,0.675,0.661,80,0,10.1,17.6,12.9,3.00%,2.10%,9.30%,17.90%
"Dawson, Branden MSU",35,32,30.1,23.4,105.3,90.6,0.538,0.535,30.6,0,11.9,23.5,16.4,12.20%,2.60%,6.30%,14.80%
