ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Dorsey, Joey MEM",37,37,25.2,16.4,112.4,81,0.593,0.614,77.2,0.5,18.6,21.7,18.5,2.50%,3.20%,9.00%,19.30%
"2 Mays, James CLEM",36,34,28.1,25.6,99.5,82.3,0.51,0.488,44.4,8.6,10.8,16.4,12.3,17.60%,3.70%,18.70%,19.00%
"3 Wright, Julian KAN",38,37,27.6,22.8,107.9,82.9,0.572,0.553,34.4,3.8,11,20,14.6,14.50%,3.00%,5.30%,18.60%
"4 Quaintance, Haminn KENT",29,16,21.8,21.4,106.5,83.4,0.579,0.549,41.6,1.7,10.3,19.8,13.6,19.50%,4.90%,9.40%,20.90%
"5 Booker, Trevor CLEM",36,36,26,19.5,112.2,83.5,0.615,0.602,34.5,0,13.4,15.9,13.3,7.60%,1.80%,46.30%,18.90%
"6 Perry, Sam CLEM",36,28,15.5,16.1,89.6,84.6,0.465,0.449,44.1,10.2,8,12.4,9.3,10.20%,2.80%,14.90%,23.40%
"7 McGuire, Dominic FRESNST",32,32,32.9,24.9,95.3,84.7,0.534,0.502,55.7,20.6,7.2,21.9,13.8,22.00%,1.50%,10.10%,22.70%
"8 Arthur, Darrell KAN",38,7,19,26,109,85,0.564,0.538,34.4,1.7,12.9,14.3,12.6,4.70%,2.70%,8.80%,13.60%
"9 Noah, Joakim FLA",40,40,25.9,23.6,117.5,85,0.641,0.607,69.6,0.3,13.3,24.6,18.1,16.30%,2.60%,7.10%,21.10%
"10 Chalmers, Mario KAN",38,37,29.2,20.5,112.2,85.4,0.621,0.582,34.9,45.1,1.2,9.8,5.3,19.40%,5.10%,1.60%,19.60%
"11 Gladness, Mickell AAMU",30,29,29.2,16,87.5,85.6,0.479,0.431,48.7,0.5,5.8,20.2,11.7,3.90%,1.00%,20.40%,18.10%
