ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Mockevicius, Egidijus EVNSVL",34,34,31.8,22.1,122.4,81,0.67,0.637,69.3,0,10.3,39.3,24,1.80%,1.50%,9.00%,12.10%
"2 Onuaku, Chinanu LOU",31,29,24.6,20.5,114,84.3,0.625,0.62,25.3,0.5,13.7,25.8,18.7,12.90%,1.90%,9.60%,20.90%
"3 Fernandez, Vashil VALPO",36,36,25.1,13.2,103.5,84.8,0.518,0.509,42.4,0,12.3,18.9,14.2,3.40%,1.00%,14.20%,18.70%
"4 Grady, Anton WICHST",31,5,17.3,25.5,98.6,86.1,0.547,0.514,53.9,5.1,8.2,22.7,13.5,4.60%,1.50%,4.90%,16.70%
"5 Siakam, Pascal NMSU",34,34,34.5,29.1,118.1,86.1,0.576,0.542,39.6,2.9,13.5,23.7,17.7,12.10%,1.80%,6.60%,10.20%
"6 Morris, Shaquille WICHST",34,29,15.6,21.4,113.8,86.4,0.592,0.566,38.6,0,8.7,17.8,11.6,5.60%,1.30%,8.60%,11.40%
"7 Walkup, Thomas SFA",34,34,29.5,25.5,136.5,86.4,0.667,0.602,56.6,10.6,9.2,18.6,12.6,30.90%,4.10%,1.80%,11.20%
"8 Ochefu, Daniel NOVA",37,34,23.4,20.5,124.2,86.7,0.649,0.627,38.9,0.4,11.3,25.6,17.5,14.60%,2.00%,7.50%,14.90%
"9 Baker, Ron WICHST",35,35,31.6,23,113.5,87.2,0.563,0.509,35.8,48.5,1.9,16.1,7.7,21.70%,2.90%,2.50%,11.00%
"10 Brooks, Doug VCU",36,0,16.1,16.4,97.3,87.2,0.448,0.395,31.8,74.3,2.4,15.3,7.9,13.30%,6.90%,0.90%,13.40%
"11 Spalding, Raymond LOU",30,6,17.5,16.9,111.6,87.6,0.565,0.564,44.8,2.4,11,17.4,13.4,5.40%,3.30%,4.50%,15.30%
"12 VanVleet, Fred WICHST",31,31,29,23.7,112.7,88,0.53,0.461,39.3,37,1.3,11.8,5.7,39.60%,3.70%,0.40%,13.10%
"13 Holyfield, TJ SFA",34,34,19.9,20.1,104.1,88.1,0.599,0.565,33.9,23.1,9.5,15.8,11.5,9.30%,2.10%,8.40%,22.50%
"14 Hammons, A.J. PUR",33,20,24.6,28.5,116.3,88.1,0.63,0.601,37.8,3.3,11.5,24.8,17.1,10.50%,0.70%,10.40%,14.20%
"15 Warney, Jameel STNBRK",33,33,32.9,25.4,131.6,88.4,0.642,0.63,41.2,0,15.3,21.4,16.9,10.60%,1.60%,9.80%,7.90%
"16 Cheatham, Zylan SDSU",38,26,20.8,20.6,107.2,88.4,0.614,0.537,88.1,9.7,9,19.6,13.2,9.90%,1.70%,3.60%,22.80%
"17 Hamilton, Daniel UCONN",36,36,31.9,24.8,102.3,88.5,0.496,0.444,24.3,34.5,3.6,27,14.7,29.20%,2.00%,1.50%,15.70%
"18 McDuffie, Markis WICHST",34,1,18.5,22.3,104.4,88.9,0.53,0.483,37.7,35.8,6.3,14.2,9,8.30%,2.60%,1.50%,12.20%
"19 Costello, Matt MSU",35,35,22.9,21.9,126,89.3,0.606,0.564,38.3,3,15.6,24,18.6,10.80%,1.70%,5.40%,11.00%
"20 Adekoya, Jubril VALPO",37,1,18.5,17,107.7,89.3,0.609,0.561,38.9,19.7,6.7,17,10.8,9.60%,2.60%,1.90%,21.70%
"21 Kelly, Rashard WICHST",35,6,16.1,15.8,102.7,89.5,0.488,0.452,38.9,15.1,9.4,16.8,11.5,8.90%,1.80%,1.40%,14.50%
"22 Brown, Zach WICHST",35,31,19.2,18.1,112.3,89.7,0.592,0.538,58.2,53.8,6.2,11.2,7.7,9.40%,2.50%,2.50%,15.40%
"23 Brantley, Jarrell COLCH",31,31,28.4,25.2,97.4,89.8,0.534,0.484,40,13.4,8.1,22.6,13.6,10.70%,2.80%,2.00%,18.80%
"24 Bolomboy, Joel WEBER",33,33,31.6,25.8,120.5,89.8,0.646,0.602,67.7,16.3,13.1,31.1,21.7,7.60%,1.30%,3.60%,15.10%
"25 Pope, Malik SDSU",38,16,21.3,20.2,99.7,89.9,0.5,0.476,22.6,40.5,4.7,20.9,11.9,7.90%,0.80%,4.00%,12.90%
"26 Charles, Ty SFA",33,31,25.2,20.9,105.9,89.9,0.531,0.486,31.9,28.4,7.8,14.7,10.3,15.80%,3.20%,1.40%,17.00%
"27 Spencer, Skylar SDSU",38,30,24.2,8.2,122.2,89.9,0.581,0.594,53.5,0,11.7,14,11.8,4.20%,1.10%,8.70%,15.00%
"28 Clark, Gary CIN",33,32,30.4,17.2,124,90,0.586,0.545,47.3,10.3,12.7,19.6,14.9,13.90%,2.50%,5.40%,12.50%
"29 Collins, Paris JACKSN",35,26,30.5,26.4,92.7,90,0.455,0.43,23.1,42.6,4.7,17.5,9.7,12.80%,3.70%,2.70%,11.80%
"30 Ellis, Octavius CIN",33,32,25.3,21.3,107,90,0.587,0.547,65,0,12.7,20.4,15.3,9.30%,1.90%,6.60%,20.70%
