ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Akingbala, Akin CLEM",32,13,15.3,19.4,99.4,79.4,0.593,0.593,61,0.8,10.1,19.8,13.5,8.60%,2.30%,27.90%,23.50%
"2 Mays, James CLEM",32,8,16,16.6,89.9,80.1,0.472,0.464,72.1,0.9,11.3,12.6,10.9,4.30%,3.20%,21.10%,20.20%
"3 Ford, Sharrod CLEM",32,32,28.8,26.5,102.9,80.9,0.54,0.512,50.7,0.8,12.8,18.9,14.4,8.70%,1.40%,34.70%,16.00%
"4 Lofton, Nate SELOU",33,33,29.1,24.1,102.3,81.1,0.571,0.546,66.7,0.8,10.6,22,14.9,21.60%,4.00%,6.70%,22.90%
"5 Hamilton, Vernon CLEM",32,19,25.5,17.5,87.1,81.5,0.49,0.452,44.6,22,2.2,9.2,5.1,20.50%,4.10%,0.60%,27.40%
"6 Babalola, Olu CLEM",29,11,19.9,20.3,95.1,81.9,0.473,0.409,44.6,34.9,8.8,12.2,9.5,8.40%,2.80%,6.50%,17.00%
"7 Hamilton, Kevin HC",32,31,34.4,26.5,103.7,83,0.539,0.498,32.4,56.6,2.6,18.1,9.4,18.70%,5.30%,1.30%,15.60%
"8 Moore, Cheyenne CLEM",32,17,19.5,20.5,91,83.3,0.487,0.458,14.2,65.7,4.3,10.3,6.6,15.40%,2.30%,7.50%,21.40%
"9 Varem, Jeff WSU",28,27,30.3,24.7,89.4,83.5,0.537,0.509,50.7,6.3,8.7,23.7,14.6,18.30%,3.60%,3.00%,25.60%
"10 Hammonds, Cliff CLEM",32,31,30.3,17.5,106.8,83.9,0.56,0.542,23.8,60.8,3,10.6,6.1,17.30%,2.20%,2.90%,17.50%
"11 Trotter, Obie AAMU",32,32,33.9,23.8,102.4,84.2,0.546,0.516,30,45.3,3.9,10.4,6.4,32.30%,6.30%,1.00%,18.80%
"12 Granger, Danny UNM",30,30,30,29.7,123.1,84.3,0.644,0.589,58.5,29.8,10,24.7,16.2,17.80%,4.20%,7.50%,14.10%
"13 Robinson, Shawan CLEM",32,17,26.1,21.1,105.2,84.6,0.557,0.528,17.1,59.6,2.6,10,5.6,22.20%,1.90%,1.10%,18.70%
"14 Hicks, Chakowby NORFST",27,27,36,24.5,98.4,84.6,0.52,0.465,40.1,36.9,4.1,14.1,8.3,27.20%,5.70%,2.20%,20.30%
"15 Williams, Shelden DUKE",33,33,33.6,21.8,116,85.3,0.618,0.582,60.4,0,13.1,22.1,16.4,5.90%,2.20%,9.20%,17.00%
"16 Woods, Ricky SELOU",33,31,30.1,30.7,110.9,85.3,0.593,0.559,51.7,1,11.8,17.7,13.5,8.60%,3.60%,3.40%,14.40%
"17 Johnson, Brandon ODU",33,2,16.5,15.5,92.4,85.5,0.448,0.422,34,37.9,4.4,12.8,7.9,31.90%,5.50%,0.60%,28.40%
"18 Dahi, Arnaud ODU",34,28,21.2,25.2,106.8,85.6,0.586,0.558,28.4,22,8.3,20.6,13.4,10.90%,2.30%,7.50%,15.70%
"19 Loughton, Alex ODU",34,34,27.8,26.1,113.3,86.1,0.562,0.516,32.6,9.1,11.9,21.5,15.5,13.50%,2.90%,3.10%,11.80%
"20 Houston, Billy WINTHR",33,11,16.6,15.7,101.2,86.1,0.512,0.473,47.3,0,12.1,14.1,11.8,6.40%,3.00%,12.40%,18.40%
"21 Fobbs, Eddy SHSU",30,28,22,21.4,98,86.2,0.545,0.517,91.5,0,10.2,22.6,15.5,3.80%,0.80%,10.10%,18.20%
"22 Gardner, Kevin BU",29,29,24.8,17.7,103.7,86.2,0.532,0.521,39.6,0.6,10.3,15.7,12.1,6.60%,2.40%,3.60%,15.00%
"23 Thomas, Torey HC",31,22,25.5,20.4,101.4,86.3,0.479,0.415,49.3,24.4,4.2,16,9.1,29.50%,4.50%,0.00%,18.30%
"24 Brower, Etienne BU",29,29,25.2,19.7,105,86.4,0.524,0.488,30,32,7,17.2,11.4,8.60%,1.50%,6.00%,12.60%
"25 James, Shawn NEASTN",25,16,24.8,17.4,127.6,86.7,0.676,0.649,46.2,9.5,11.5,20.4,14.8,5.60%,2.20%,18.90%,13.60%
"26 Hayes, Chuck UK",34,34,29.3,20.1,113.7,86.7,0.559,0.512,39.2,3.9,12.2,18.6,14.3,15.20%,3.70%,4.10%,16.00%
"27 Bogut, Andrew UTAH",35,35,35,29.6,124.5,86.8,0.657,0.63,45.9,5.5,16.1,31,22.1,18.20%,1.90%,6.20%,15.00%
"28 Rondo, Rajon UK",34,34,25.1,18.6,104.8,86.8,0.558,0.535,51.5,16.5,2.8,10.4,6.1,25.80%,6.10%,1.10%,22.00%
"29 Jaaber, Ibrahim PENN",29,29,34.6,18.4,107.5,86.9,0.542,0.491,36.1,40.2,5.5,9.8,6.9,17.00%,5.10%,2.00%,16.10%
"30 Fazekas, Nick NEV",32,32,31.5,30.8,116.5,86.9,0.606,0.539,52.3,22.7,7.3,24.8,15.1,7.50%,1.20%,5.00%,11.40%
"31 Gaffney, Tony BU",29,0,15.6,16.8,83.7,86.9,0.391,0.351,39.2,26.8,6.4,14.3,9.6,13.00%,2.30%,5.30%,18.00%
"32 May, Sean UNC",37,36,26.8,27.5,122,87.2,0.631,0.567,62.7,0.7,16.7,26.3,20,11.70%,2.30%,3.90%,15.50%
