ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Akingbala, Akin CLEM",32,32,27.4,21.1,109.1,79.3,0.589,0.578,63,0.4,11.4,23,15.3,6.10%,1.90%,14.60%,16.70%
"2 Hamilton, Vernon CLEM",31,23,30.2,22.5,97.5,80.4,0.511,0.49,41.1,24.6,3.2,8.9,5.4,19.90%,4.50%,1.30%,18.50%
"3 Perry, Sam CLEM",32,22,19.1,16.7,109.3,80.6,0.549,0.485,78.7,2.9,7.5,10.3,8,9.90%,3.20%,9.70%,15.70%
"4 Rivers, K.C. CLEM",32,12,25,16.1,103.6,81.2,0.502,0.479,11.6,60.9,8.4,13.1,9.7,12.90%,3.00%,2.30%,17.50%
"5 Thomas, Tyrus LSU",32,21,25.9,21.5,118.9,81.7,0.637,0.61,54.8,0.4,12.7,26.2,18,10.40%,2.30%,11.90%,16.00%
"6 Dorsey, Joey MEM",37,35,21.1,14.9,115.4,81.7,0.59,0.631,63.7,0,15.7,21.7,17.2,7.00%,3.10%,8.70%,16.70%
"7 Hammonds, Cliff CLEM",32,32,29.7,18.8,103.9,82.3,0.498,0.485,20.9,58.4,3.8,9.4,5.9,20.90%,3.00%,2.60%,15.00%
"8 Hansen, Erek IOWA",34,34,19.5,18.3,104.8,82.7,0.612,0.581,37.5,0,9.5,13.2,10.6,3.60%,1.70%,14.70%,19.40%
"9 Powell, Julius CLEM",32,11,16.8,19.3,93,82.9,0.482,0.468,15.3,62.4,6.6,11.5,8.1,7.30%,1.90%,5.30%,17.70%
"10 Lee, Charles BUCK",32,32,32.8,24.1,106,83.1,0.571,0.507,52.8,38.5,5.7,17.7,11,19.80%,4.30%,1.20%,19.30%
"11 Thomas, Doug IOWA",34,0,17.4,17,93.3,83.2,0.495,0.47,42.4,0,9.3,19.6,13.7,5.50%,2.20%,5.20%,18.30%
"12 Robinson, Shawan CLEM",32,11,26.4,26.1,99.4,83.6,0.507,0.445,26.5,55.6,2.1,7.7,4.3,20.30%,2.60%,0.40%,17.30%
"13 Millsap, Paul LATECH",33,33,34.1,26.7,116.5,83.9,0.598,0.576,45.1,3.1,18.1,24,19,8.20%,3.30%,6.80%,13.30%
"14 Noah, Joakim FLA",39,38,24.9,25.6,125.9,84.3,0.672,0.627,62.7,0.3,11.5,21.1,15.3,17.50%,2.70%,10.00%,15.60%
"15 Hamilton, Kevin HC",31,30,36.1,29.1,100.4,84.4,0.533,0.456,50.2,45.2,4.4,16.6,9.6,23.30%,5.60%,1.50%,18.70%
"16 Chalmers, Mario KAN",33,21,26,23.3,105.6,84.5,0.589,0.533,41.5,47.1,1.1,7.9,4.3,27.00%,6.00%,0.60%,22.40%
"17 Crawford, Chaz DREXEL",31,11,26.5,15.8,97,84.8,0.507,0.497,50.3,0,15.7,16.1,14.4,7.90%,3.00%,11.50%,23.00%
"18 Wright, Julian KAN",33,15,20.1,22.7,102.6,85,0.57,0.564,28.2,1.4,9.3,15.3,11.4,18.10%,2.70%,6.60%,20.60%
"19 Brunner, Greg IOWA",34,34,32,25.8,103.5,85,0.534,0.471,56.2,11.4,10.8,21.2,15.1,13.30%,1.90%,2.00%,15.70%
"20 Giles, C.J. KAN",33,13,16.9,20.2,100.6,85.1,0.525,0.506,29.7,0,13.4,17.4,14.2,4.00%,1.40%,8.90%,16.70%
"21 Stout, Grant UNI",33,33,32.5,20,117.6,85.3,0.62,0.578,45.2,22.1,10.1,23.6,16,9.20%,1.70%,8.00%,14.60%
"22 O'Bryant, Patrick BRAD",25,21,25.7,25.7,108.6,85.3,0.586,0.552,42.3,0,12.7,23.3,16.8,7.60%,2.00%,12.00%,15.40%
"23 Byrd, William UAPB",29,29,28,22.3,100.6,85.4,0.533,0.502,35.6,9.4,6.2,17.4,10.9,15.50%,2.20%,7.30%,15.40%
"24 Falker, Randal SIU",33,33,28.2,20.6,100,85.6,0.531,0.511,50.6,0,12.1,23.6,15.9,12.40%,1.60%,6.80%,19.20%
"25 Mullins, Bryan SIU",33,30,31.1,14.3,86,85.7,0.481,0.444,39.8,31.1,2,7.8,4.3,22.10%,6.00%,0.30%,29.50%
"26 Badmus, Abe BUCK",32,31,29,16,99,85.8,0.583,0.543,44.7,29.6,4.3,10.9,7.1,28.00%,4.50%,0.40%,32.40%
"27 Horford, Al FLA",39,39,25.9,21.6,117,86,0.624,0.608,49.5,0.7,11.2,22,15.7,15.10%,2.30%,6.90%,17.30%
"28 Kaun, Sasha KAN",33,29,19.3,19.6,116.8,86.1,0.572,0.562,61.6,0,12,17.6,13.7,3.60%,1.60%,5.90%,8.90%
"29 Williams, Justin WYO",30,30,30,21.3,99,86.2,0.543,0.515,70.2,0.4,15.2,24.8,17.9,5.50%,1.20%,18.30%,21.00%
"30 Daniels, Chris TXAMCC",27,16,24,27,112.8,86.2,0.657,0.617,35.3,6.4,9.7,23.8,15.5,8.80%,1.30%,7.20%,18.10%
"31 Brown, Donald BUCK",32,1,21.9,18.9,99.5,86.4,0.554,0.522,44.6,0,8.9,18.5,12.9,11.50%,2.40%,1.70%,21.70%
"32 Zoller, Mark PENN",28,24,29,25.3,100.9,86.4,0.554,0.536,24.9,27,9.6,22.2,14.2,12.30%,3.30%,2.80%,17.70%
"33 Williams, Shelden DUKE",36,36,33.3,25.6,121.2,86.5,0.64,0.58,65.9,1.5,12.4,23.5,17.1,6.80%,2.90%,9.50%,14.40%
"34 Augustine, James ILL",33,33,32.7,20,121.4,86.5,0.648,0.625,54.5,0.7,11.3,22.6,15.6,11.40%,2.70%,2.60%,16.20%
"35 Williams, Shawne MEM",36,34,27.3,24,108.1,86.6,0.54,0.48,38.7,41.1,6.7,16.9,10.9,12.60%,2.80%,5.10%,15.60%
"36 Tofi, John UTEP",23,22,30.2,25.5,110.4,86.9,0.574,0.52,54.5,0.4,12.5,24.2,17.2,13.50%,2.00%,4.70%,15.00%
"37 Ford, Dana ILLST",27,18,26.1,18.5,80.8,87,0.427,0.415,11,41.8,2.4,17,8.9,16.80%,4.30%,3.20%,19.40%
"38 Grandieri, Brian PENN",29,4,20.9,17.3,110.3,87.1,0.514,0.454,50,14.8,7.9,19.9,12.4,17.30%,3.80%,1.30%,13.00%
"39 Tucker, P.J. TEXAS",37,37,34.5,25,111.3,87.2,0.57,0.517,43.5,0.7,9.9,21.1,14.5,17.10%,3.20%,1.10%,18.10%
"40 Fazekas, Nick NEV",33,33,31.8,31.1,125.4,87.2,0.614,0.559,35.9,21.1,11.1,24.4,16.5,16.30%,2.10%,4.60%,9.10%
"41 Witherspoon, Shawn MURRST",31,31,27.4,19,126.4,87.4,0.603,0.588,20.9,36.5,12.1,20.1,14.6,22.80%,3.80%,2.50%,12.80%
"42 Robinson, Russell KAN",33,32,28.5,19.5,105.7,87.4,0.501,0.426,49.4,34.7,5,6.9,5.4,27.50%,4.70%,1.90%,19.30%
"43 Amos, Jonathan TOLEDO",31,0,16.2,19.6,85.6,87.4,0.543,0.5,48.6,16.8,5.8,16.7,10.2,14.10%,5.70%,0.70%,32.00%
"44 Aldridge, LaMarcus TEXAS",37,37,33.7,21,121.2,87.6,0.597,0.569,47,0,13,17.8,14.3,3.30%,2.50%,6.50%,11.30%
"45 Gunter, Jarvis UAPB",28,26,27.3,17.4,93.6,87.7,0.494,0.472,24.9,1,7.4,18.1,11.7,13.00%,1.20%,6.40%,18.60%
"46 Bunch, John MONM",25,0,20.8,24.9,90.2,87.9,0.543,0.528,61.8,0,8.9,19.9,13.3,11.40%,0.90%,16.20%,23.40%
"47 Dozier, Robert MEM",37,3,18.4,16.8,104.8,88,0.498,0.421,49.1,15.8,13.5,17.9,14.4,5.40%,1.70%,6.30%,17.50%
"48 Jaaber, Ibrahim PENN",29,29,36.7,23.2,121.3,88,0.632,0.602,35.6,40.3,3.7,8,5.2,14.20%,5.60%,1.60%,10.50%
"49 Mbah a Moute, Luc Richard UCLA",39,38,29.5,17,115.6,88.1,0.593,0.548,45,15.3,13.7,21.5,16.4,9.30%,2.40%,2.00%,17.90%
"50 Buckman, Brad TEXAS",33,33,27,19.6,110.3,88.1,0.549,0.485,45,31.9,11.6,17.8,13.7,9.50%,2.10%,6.90%,18.10%
"Gray, Aaron PITT",33,33,27.9,27.2,107.7,88.2,0.566,0.526,57.6,0,15.7,27,19.6,14.60%,1.40%,5.90%,17.90%
"Jones, Joseph TXA&M",30,30,29,27.3,113.8,88.3,0.584,0.511,65.6,6.2,9.4,18.7,12.7,12.80%,3.30%,2.30%,12.50%
"Ervin, Josh TXAMCC",28,26,21.9,18.2,111.5,88.3,0.584,0.503,53.7,30.9,3.6,14,8.2,26.70%,3.80%,1.10%,22.70%
