ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Bright, Ryan SHSU",31,31,31.7,24.2,91.1,78.7,0.479,0.462,32.1,29.7,10.4,26.2,17.1,24.70%,3.20%,2.10%,22.10%
"2 Sanders, Larry VCU",32,16,16.6,17.8,100,79,0.507,0.504,54.4,0,11.1,23.9,16.2,1.60%,1.30%,19.30%,13.90%
"3 Dorsey, Joey MEM",38,33,25.2,13,117.7,80.2,0.595,0.647,71.3,0.6,15.1,25.6,18.7,3.50%,2.50%,7.60%,15.70%
"4 Pilgrim, Matt HAMPTN",26,11,19.8,24.1,88.5,83.8,0.499,0.503,45.8,25.9,10.2,18.2,12.7,9.70%,3.60%,6.20%,21.60%
"5 Gardiner, John SHSU",31,31,21.1,18.7,101,84,0.533,0.518,27.2,0,9.3,15.3,11.5,6.60%,1.60%,6.70%,14.40%
"6 Allen, Jeff VT",33,32,28.2,24.7,94.3,84.2,0.525,0.497,38.6,6,8.7,22.3,14.4,7.30%,4.40%,4.80%,19.40%
"7 Gladness, Mickell AAMU",29,28,30.6,18.3,100.4,84.3,0.529,0.452,65.8,0.9,7.4,24,14,6.30%,1.50%,15.10%,17.30%
"8 Dozier, Robert MEM",37,36,26,19.5,105.2,84.4,0.505,0.458,41.2,11.6,10.9,17.1,12.8,7.00%,2.50%,7.00%,14.50%
"9 Daye, Austin GONZ",33,1,18.5,28.7,110.1,84.6,0.602,0.529,41.4,25.8,4.7,23.3,13.3,11.00%,2.00%,10.00%,16.30%
"10 Mitchell, Ashton SHSU",31,23,24.1,18.9,94.1,84.6,0.532,0.489,43.2,40.3,0.9,9,4.7,33.20%,4.10%,1.00%,27.40%
"11 Butch, Brian WIS",36,36,24.6,29,108.3,84.6,0.53,0.492,42.3,22.8,10.8,21.3,15,8.20%,1.50%,3.70%,10.80%
"12 Simpson, Diamon STMARY",32,32,30.8,21.7,111.6,84.8,0.602,0.574,65.7,14.1,9.9,24.4,16,7.10%,2.30%,5.50%,16.80%
"13 Quaintance, Haminn KENT",35,35,27.1,20.1,112.8,85,0.617,0.598,55,0.4,13.7,20.1,15.5,16.80%,4.10%,8.30%,21.10%
"14 Maric, Aleks NEB",33,33,29.3,28.1,116.9,85.2,0.613,0.577,62.3,1.8,17,25.1,19.7,16.90%,2.90%,7.60%,15.70%
"15 Giddens, J.R. UNM",33,33,32.2,27.4,110.4,85.4,0.564,0.547,38.6,18.4,6.6,27,15.4,22.50%,2.70%,4.90%,13.30%
"16 Love, Kevin UCLA",39,38,29.6,26.7,130.2,85.9,0.655,0.595,63.5,20.2,15.4,28.5,20.2,14.10%,1.50%,5.00%,13.10%
"17 Clark, Earl LOU",35,22,28.5,22.7,101.2,86.2,0.537,0.5,41.4,21.5,9,22.5,15,9.70%,2.00%,6.60%,18.10%
"18 King, Shawn ORU",33,33,21.5,23.3,113.1,86.4,0.596,0.562,42.9,0,14.2,20.3,15.8,6.50%,2.20%,9.50%,14.90%
"19 Coleman, Eric UNI",32,18,23.8,31,109.8,86.7,0.599,0.551,78,0.4,10.1,34.5,21.5,24.10%,1.80%,7.00%,17.50%
"20 Rougeau, Rene UNLV",35,27,27.7,18,109.2,86.8,0.541,0.51,26.5,1.9,9.1,16.4,11.6,10.80%,4.70%,4.70%,12.90%
"21 Varnado, Jarvis MSST",34,34,28.5,13.1,116.1,86.8,0.629,0.644,58.8,1.2,9,18.5,12.9,3.50%,1.10%,16.10%,16.10%
"22 Slack, Anthony ILLST",33,33,24.6,21.4,106.3,86.8,0.644,0.66,66.5,0,12.1,22.9,16.2,8.70%,2.50%,7.10%,22.90%
"23 Hughes, Trevon WIS",35,34,30.2,23.1,102.9,87.1,0.522,0.464,51.1,44.6,3.1,9,5.7,17.30%,3.80%,0.40%,16.30%
"24 Flowers, Michael WIS",36,29,31.6,18.1,106.2,87.1,0.561,0.534,25.7,43.1,3.7,10.9,6.8,17.90%,3.40%,0.50%,19.20%
"25 Chalmers, Mario KAN",39,38,30,19.2,126.3,87.2,0.664,0.631,40.9,49.1,1.5,9.7,5.4,24.50%,4.90%,2.30%,16.70%
"26 Coly, Boubacar MORGST",33,32,34.1,16.3,103.7,87.3,0.568,0.52,50.7,0,10.9,26.8,16.9,4.10%,1.60%,7.80%,21.60%
"27 Sullivan, Patrick SELOU",30,29,26.1,22.1,99.8,87.3,0.609,0.587,44.7,0,8.7,18.9,13.1,18.60%,1.40%,7.80%,26.70%
"28 Gaynor, Chris WINTHR",34,34,32.9,16.3,115.4,87.4,0.586,0.572,32.4,60.8,1.5,11.3,5.8,25.80%,5.50%,0.50%,16.40%
"29 Taggart, Shawn MEM",39,9,17.1,16.4,117.8,87.6,0.557,0.528,36.5,15.7,10.8,15.4,12.1,3.90%,1.60%,5.50%,10.00%
"30 Beasley, Michael K-STATE",33,33,31.5,34.9,122.6,87.6,0.619,0.563,48.4,16.5,13.2,30,19.6,9.30%,2.30%,5.40%,12.00%
"31 Bryant, John SCU",31,30,27.8,35,110.4,87.6,0.628,0.583,47.7,0.3,13.5,31.5,21.8,8.00%,1.10%,10.50%,16.20%
"32 Alexander, Josh SFA",31,31,33,24.4,119.8,87.8,0.604,0.567,34.2,63.6,6.9,14.9,10.1,8.00%,2.80%,1.20%,9.80%
"33 Kuso, Abdullahi GONZ",33,14,15.2,19.7,114,87.9,0.62,0.584,63.2,0.8,13.5,17.2,14,2.70%,2.10%,7.90%,17.50%
"34 Ramirez, DeLuis SHSU",31,26,25.7,21,94.8,88,0.53,0.493,41.9,18.1,7.9,11.2,8.9,14.70%,2.40%,0.30%,21.60%
"35 Tavernari, Jonathan BYU",35,29,27.6,26,100.1,88.1,0.522,0.5,10.7,55.7,4.1,16.2,9.6,11.60%,2.90%,1.60%,11.80%
"36 Krabbenhoft, Joe WIS",36,36,31.1,14.5,113.3,88.3,0.567,0.5,53.6,14.4,8.1,16.9,11.7,16.10%,1.50%,0.80%,19.70%
"37 Reid, Arizona 'AZ' HIGHPT",31,31,35.3,33.6,119.5,88.3,0.589,0.562,23.5,15.8,12.3,24.5,17.4,18.30%,3.00%,1.70%,9.40%
"38 Blair, DeJuan PITT",37,36,26,23.4,111.5,88.4,0.567,0.537,47.6,0,16.7,23,17.9,7.30%,4.00%,4.60%,15.80%
"39 Townsend, Tremaine CSUN",29,8,27.9,17.6,109.9,88.4,0.554,0.535,24.2,6.3,9.6,28.6,17.8,5.60%,1.90%,4.90%,12.80%
"40 Vealy, Marchello ORU",27,0,19.6,17,92,88.4,0.456,0.45,34.5,31.1,8.1,19.8,12.8,15.20%,2.90%,3.60%,20.30%
"41 Jackson, Darnell KAN",40,35,24.3,20.1,126.8,88.5,0.66,0.63,54.6,2.2,10.5,20.5,14.6,8.00%,1.90%,2.30%,13.10%
"42 McCullough, Taj WINTHR",34,32,28.3,24.1,102.6,88.5,0.531,0.505,37.9,27.6,7,17.4,11.1,11.70%,3.20%,2.40%,14.30%
"43 Jordan, Jerome TULSA",39,39,26.2,21.3,108.9,88.6,0.606,0.564,54.2,0,13,21.6,16.2,6.90%,0.90%,14.60%,20.30%
"44 Woodhouse, Alex COLG",31,17,23.9,17.1,94.5,88.6,0.528,0.49,51,0,10,20.8,14,12.40%,2.70%,9.70%,25.60%
"45 Collinsworth, Chris BYU",35,6,15.9,15.1,86.3,88.8,0.417,0.402,45.5,29.5,9.9,22.8,15.2,6.00%,0.90%,2.50%,19.20%
"46 Nance, Tavaris SELOU",30,24,29,20,97.4,88.8,0.55,0.519,56.2,7.6,5.6,10.4,7.6,15.20%,4.00%,2.00%,22.50%
"47 Hibbert, Roy GTOWN",34,34,26.3,25.7,121.4,88.8,0.635,0.614,49,1,11.4,17,13.1,16.60%,1.30%,9.80%,13.80%
"48 Kingsley, Matt SFA",32,32,27.3,29,117.8,89,0.611,0.539,67.8,0.3,9.4,16.1,11.7,5.60%,1.30%,3.90%,11.80%
"49 Caracter, Derrick LOU",35,12,16.9,26.9,103.2,89,0.585,0.555,53.7,0.5,14.2,15.7,14,5.90%,2.20%,5.80%,20.20%
"50 Plaisted, Trent BYU",35,35,27.4,30.1,104,89.1,0.559,0.542,69.7,0,9.2,21.1,14.1,13.00%,0.90%,3.50%,14.70%
"Johnson, Damian MINN",34,6,22.6,18.2,104.9,89.1,0.531,0.511,46.8,21.3,10.4,14.9,11.4,11.90%,4.70%,7.60%,16.90%
"Davis, Bryan TXA&M",36,15,22.8,22.5,101.6,89.1,0.565,0.534,59.1,0.9,8.6,15.9,11.3,11.70%,2.70%,4.60%,20.60%
"Lee, Tony RMU",34,34,29.1,26.6,105.6,89.2,0.577,0.543,35.7,23.1,9.8,16.7,12,43.50%,5.40%,0.60%,26.80%
"McDaniel, Shamir SHSU",31,31,33.5,17.1,108.7,89.2,0.561,0.522,33,66.7,3.6,9.6,6.2,17.30%,2.00%,0.90%,15.30%
"Meno, Boris DAVDSN",36,12,20.3,20.4,94.8,89.3,0.517,0.495,20.4,8.1,10.2,20.6,14,3.40%,2.00%,4.70%,19.40%
"Looby, Kurt IOWA",32,12,18.3,12.2,103.6,89.3,0.633,0.667,48,0,11,20.6,14.7,7.40%,1.70%,9.10%,26.10%
"Summers, DaJuan GTOWN",33,33,27.2,24.6,102.5,89.3,0.555,0.517,34.5,51.9,5,17.4,10.7,11.40%,2.40%,2.50%,16.90%
"Robinson, Russell KAN",40,40,27.5,15,111.2,89.3,0.587,0.513,57.1,55.6,2.3,9,5.4,22.50%,4.20%,1.70%,25.10%
"Anderson, Mike VCU",31,29,23.7,19,95.2,89.4,0.527,0.488,51.2,26.2,7.5,14.5,10.2,6.30%,2.10%,4.10%,20.70%
"Smalling, Theo HAMPTN",30,24,25.4,12.1,85.7,89.4,0.445,0.417,83.3,2.9,9.3,16.4,11.5,8.80%,2.00%,3.70%,26.00%
"Gunter, Jarvis UAPB",29,29,26.2,17.2,87.4,89.4,0.491,0.483,25,0,6,27,14.9,12.90%,1.20%,6.50%,22.60%
"Kramer, Chris PUR",33,28,28.8,14.6,100.4,89.5,0.515,0.481,41.5,25.1,1.6,12.3,6.1,20.00%,4.80%,2.30%,19.70%
"Landry, Marcus WIS",36,36,29.4,21.7,106.6,89.5,0.543,0.497,32.6,17.3,7.7,14.4,10.3,10.60%,1.00%,2.90%,15.40%
"Blakely, Marqus UVM",29,29,34,27.8,113.1,89.6,0.574,0.551,75.3,1.7,12.9,23.6,17.1,15.30%,3.40%,8.20%,13.20%
"Samhan, Omar STMARY",32,32,23.5,23.5,112,89.6,0.536,0.515,34.6,1.8,15.5,18.7,15.8,10.50%,1.20%,5.40%,12.10%
"White, Bryan LEHIGH",29,28,29.6,20.4,105.3,89.7,0.531,0.473,47.1,1.3,7.6,25.3,14.6,9.80%,3.20%,3.90%,12.20%
"Jordan, DeAndre TXA&M",35,21,20.1,22,102.5,89.8,0.591,0.617,65,0,11.5,22.1,15.5,4.60%,0.60%,6.40%,19.50%
"Arthur, Darrell KAN",40,39,24.7,26.2,109.8,89.8,0.574,0.546,28.9,3,11.8,17.1,13.4,6.50%,1.20%,6.20%,14.40%
"Lovedale, Andrew DAVDSN",36,25,21.6,15.7,115.5,89.8,0.562,0.541,26.5,0,9.7,19.3,13.2,4.00%,1.90%,4.70%,10.60%
"Weaver, Kyle WSU",35,35,33.1,24.2,107.4,89.8,0.57,0.503,57.7,22.1,4.6,16.4,9.9,28.50%,3.50%,2.60%,20.60%
"Freeman, Michael HAMPTN",28,21,24.4,17.7,98.8,89.8,0.585,0.493,68.3,1.4,8.6,13.2,9.8,6.20%,2.80%,3.10%,25.40%
"Singletary, Chris KENT",31,22,23.3,22.7,112.5,89.8,0.653,0.597,63.4,20.9,5.4,11.1,7.7,15.70%,5.20%,1.40%,21.00%
"Rodriguez, Joey VCU",32,18,24.7,15.3,91.6,89.9,0.477,0.401,40.4,54.1,2.5,10.5,6.1,19.30%,3.80%,0.10%,25.20%
"Ewing Jr., Patrick GTOWN",34,12,21.7,17,110.1,89.9,0.607,0.575,52.1,32.9,9,13.7,10.5,16.00%,2.90%,3.60%,23.90%
"Baynes, Aron WSU",35,34,24,24.2,113.9,89.9,0.633,0.6,64,0.4,11,22.4,15.6,3.20%,1.90%,3.70%,15.50%
"Elegar, Frank DREXEL",31,29,30,24.2,109,89.9,0.61,0.559,82,0,7.9,23.6,14.5,9.50%,2.00%,6.90%,16.10%
"Kaun, Sasha KAN",40,6,17.7,18.5,119.5,90,0.618,0.619,69.3,0,11.4,13.6,11.5,2.90%,1.40%,8.00%,12.20%
"Jackson, Cedric CLEVST",34,34,31.1,27.7,98.8,90.1,0.541,0.484,54.1,33.4,2.8,16.2,8.7,34.80%,5.10%,1.10%,23.10%
"George, Kenny UNCASH",28,1,19.8,27.2,119.4,90.2,0.701,0.696,31.8,0,9.1,29.6,18.6,14.40%,0.30%,17.30%,15.70%
"Rose, Derrick MEM",40,39,29.2,25.9,113.2,90.3,0.567,0.517,47,23.9,5,11.7,7.7,30.40%,2.40%,1.30%,16.90%
"Curry, Stephen DAVDSN",36,36,33.1,34.1,121.7,90.3,0.644,0.607,23,56.3,2.7,13.4,7.3,19.30%,3.60%,1.40%,11.40%
