ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Harris, Joseph COCAR",35,34,30.9,23.1,114.6,81.9,0.553,0.526,39.4,1.8,11.7,21.8,15.6,8.80%,3.60%,3.10%,10.50%
"2 Singleton, Chris FSU",32,32,31.4,21.5,90.5,82.9,0.487,0.474,40.5,41.5,7.9,16.9,11.5,14.10%,4.20%,5.40%,22.30%
"3 Aldrich, Cole KAN",36,36,26.8,19.8,120,83,0.606,0.562,60,0,13.6,25.4,18.5,5.80%,1.60%,13.00%,14.30%
"4 Faried, Kenneth MOREHD",35,32,30.3,27.7,113.1,83.3,0.588,0.565,59.7,1,16.2,36.8,24.1,4.30%,3.20%,8.10%,14.40%
"5 Finley, Zach PRIN",31,5,15.2,20.8,100.6,83.5,0.602,0.594,69.8,0,10.4,18.3,13,12.50%,3.60%,4.30%,25.10%
"6 Cousins, DeMarcus UK",38,37,23.5,30.3,117.2,83.8,0.59,0.56,72.6,1.6,20.1,24.8,20.8,9.20%,2.40%,7.50%,13.80%
"7 Allen, Jeff VT",34,31,26.3,25.8,100.4,84.4,0.525,0.485,39.5,11.7,9.1,22,14.3,10.20%,3.90%,4.80%,16.30%
"8 Zoubek, Brian DUKE",40,16,18.7,14.9,123.9,85.1,0.636,0.638,55.3,0,21.5,24.6,21.1,9.80%,2.20%,4.00%,21.50%
"9 Easley, Tony MURRST",36,35,21.8,20.9,122.1,85.3,0.674,0.648,52.8,0,15.4,16.5,14.5,8.40%,1.80%,12.60%,18.40%
"10 Reed, Willie STL",35,32,27.5,25.2,106.4,85.4,0.577,0.587,58.3,0,10.7,23.1,15.6,7.50%,1.70%,7.60%,13.70%
"11 Johnson, Tim WOFF",35,20,22.9,19.9,91.2,85.4,0.434,0.436,49,0.5,11.4,29.3,18.7,16.20%,2.70%,2.50%,18.60%
"12 Whiteside, Hassan MAR",34,23,26.1,25.7,106.7,85.5,0.557,0.528,58.6,1.6,11.9,23.8,16.9,2.20%,1.20%,18.80%,13.80%
"13 Varnado, Jarvis MSST",36,36,31.7,21.4,114.7,85.8,0.607,0.582,66.5,0,10.6,22.9,15.7,6.20%,1.30%,14.20%,14.80%
"14 Maddox, Kareem PRIN",30,0,17.9,22.5,103.6,86.2,0.54,0.468,53.6,10.7,8.6,17.5,11.9,11.00%,2.30%,5.90%,16.40%
"15 Bacon, Ryan STPTR",29,29,28.7,23.2,95.1,86.3,0.523,0.479,50,0.8,14.9,20.1,15.9,13.10%,2.10%,6.00%,23.70%
"16 Ottley, Trevor MIDTN",32,8,15.8,16.6,88,86.4,0.48,0.418,53.1,0,9.6,23.5,15,4.20%,3.50%,10.40%,24.40%
"17 Beidler, Kelly MTSTMR",31,31,30.3,20.7,99.9,86.7,0.524,0.484,28.9,37.1,5.7,20.3,11.8,11.20%,3.40%,4.40%,16.00%
"18 Millsap, Elijah UAB",34,34,33.1,29.7,98.7,86.7,0.524,0.458,56.5,18.9,9.5,24.5,15.5,13.50%,3.10%,1.10%,18.40%
"19 Allen, Lavoy TEMPLE",35,34,34.5,18.8,116,86.8,0.562,0.544,27.6,7.2,12.3,23.6,16.6,14.90%,1.00%,4.60%,12.90%
"20 Blakely, Marqus UVM",35,35,33.7,26.8,112.4,86.8,0.599,0.543,81.2,4,11.3,19.7,14.3,26.20%,4.30%,5.80%,19.30%
"21 Bazemore, Kent ODU",36,29,26.7,19.9,100.5,86.9,0.512,0.504,44.9,12.1,4.7,13.5,8.3,24.50%,4.50%,2.10%,20.00%
"22 Vucevic, Nikola USC",30,30,32.3,19.2,108.1,87.2,0.558,0.52,34,14.4,12.1,23.2,16.2,8.90%,1.20%,4.50%,16.60%
"23 Plumlee, Miles DUKE",40,24,16.4,16.5,109.1,87.2,0.592,0.564,39.9,0.7,11.2,22.3,15.3,3.50%,1.90%,3.90%,19.80%
"24 Eglseder, Jordan UNI",32,32,21.6,31.4,114.1,87.2,0.569,0.534,30.2,4.1,15.2,27.7,19.6,8.90%,1.40%,5.60%,10.20%
"25 Rodriguez, Alejo IONA",30,19,22.3,19.2,119.7,87.3,0.654,0.677,52.7,0,15.8,23.2,17.8,8.70%,1.80%,5.20%,15.90%
"26 Davis, Bryan TXA&M",34,34,25.5,22.6,103.8,87.5,0.527,0.482,82,0,13.9,22.3,16.5,12.80%,3.10%,7.40%,18.40%
"27 Brenton, Tommy STNBRK",32,32,30.1,13.3,120.9,87.5,0.601,0.553,78.1,17.2,11.2,25.8,16.9,17.30%,3.70%,2.10%,19.50%
"28 Alabi, Solomon FSU",32,32,25.6,22.7,112.8,87.6,0.605,0.534,54.6,0,11.6,15.7,12.6,4.40%,1.50%,10.40%,16.50%
"29 James, Damion TEXAS",34,34,30.3,26.1,117.3,87.7,0.587,0.544,54.9,22.4,11,23.9,16.1,6.10%,3.10%,3.60%,11.70%
"30 Robinson, Mantoris WINTHR",33,32,30.2,16.8,97.2,87.8,0.506,0.409,59.3,36.4,5.1,17.3,10.1,11.00%,3.40%,3.00%,18.90%
"31 Jones, Christopher PVAMU",24,23,34.6,15,101.5,87.8,0.534,0.436,73.6,17.9,4.8,10.2,6.7,30.40%,4.60%,0.70%,26.30%
"32 Warren, London DAYTON",37,34,20.8,15.5,96.1,88,0.554,0.514,85.3,1.8,2.6,15.7,8.7,37.10%,3.60%,1.10%,36.20%
"33 Turner, Evan OSU",31,31,35.8,33,110.2,88.1,0.588,0.54,39.8,12,7.3,23.5,14.5,37.40%,3.00%,2.90%,20.20%
"34 Wright, Chris DAYTON",37,37,28.6,26.1,105,88.1,0.558,0.512,49.6,10.2,10.2,18.2,13.3,9.60%,2.10%,5.90%,16.10%
"35 Emery, Jackson BYU",35,35,28.9,18.6,128.4,88.2,0.653,0.629,27.5,66.1,3.3,13.8,8.1,16.90%,5.20%,1.10%,11.20%
"36 Caracter, Derrick UTEP",27,22,26.7,27.3,105.4,88.2,0.606,0.575,45.6,5.7,12,21.7,15.8,9.00%,2.10%,3.60%,19.70%
"37 Hassell, Frank ODU",36,32,24,21,109.5,88.2,0.57,0.54,38.7,0,13.8,18.4,14.8,8.60%,2.30%,4.50%,17.40%
"38 McLaurin, Sam COCAR",35,34,18.5,10.2,115.5,88.2,0.495,0.473,52.7,0,14.6,14.8,13.5,8.20%,1.00%,9.20%,15.80%
"39 Favors, Derrick GT",36,35,27.5,21.7,110.3,88.3,0.629,0.611,48.8,0.3,12.6,19.9,15.1,7.90%,1.90%,7.90%,20.20%
