ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Davis, Anthony UK",40,40,32,18.7,137.4,80.1,0.665,0.628,60.2,5.9,11.6,23.8,16.8,7.50%,2.60%,13.70%,8.80%
"2 Smith, Taylor SFA",32,3,19.2,24,110.3,81.3,0.641,0.701,57.1,0,13.8,28.2,18.9,4.20%,1.30%,8.80%,14.50%
"3 Gordon, Drew UNM",35,34,30.8,23.6,110.8,81.9,0.591,0.545,39.5,0.6,12.4,28.6,19.3,8.90%,2.20%,3.80%,16.80%
"4 Mitchell, Tony UNT",23,22,29.4,23.7,114.4,82.2,0.655,0.611,55.3,19.7,9.6,29.1,18,11.80%,1.70%,11.00%,20.10%
"5 Weber, Briante VCU",36,4,18.7,16.9,99,82.6,0.511,0.445,44.1,24.8,4.4,14.7,8.5,17.90%,7.10%,1.40%,21.00%
"6 Washington, Leonard WYO",33,32,26,28,108.3,83.3,0.631,0.59,50.5,20.2,8.3,27,16.3,6.90%,3.10%,5.50%,17.50%
"7 Green, Draymond MSU",37,36,33.2,28.1,107.8,83.5,0.548,0.504,36.7,28.4,8.2,28.3,17.4,24.20%,2.70%,3.40%,17.00%
"8 Roberson, Andre CU",36,35,30.2,21.1,111.6,84.5,0.574,0.543,56.8,17.1,12.6,29.6,19.9,8.80%,2.60%,6.80%,15.10%
"9 Louis, Arnold SAVST",33,9,23.6,24.6,99.8,84.6,0.489,0.464,47.9,7.9,15.7,24.3,17.7,8.20%,3.20%,2.30%,14.40%
"10 Robinson, Thomas KAN",39,39,31.8,30,108.6,84.6,0.556,0.512,46.2,2.7,11.1,30.7,20,13.10%,2.00%,2.90%,14.30%
"11 Grady, Anton CLEVST",33,3,21.2,22.7,107.6,84.9,0.566,0.538,42.4,4.8,11.4,26.3,17.2,10.50%,2.60%,8.00%,16.40%
"12 Dieng, Gorgui LOU",40,40,32.8,15.5,106.1,84.9,0.563,0.527,39.1,0.7,11.7,18.5,14.2,6.60%,2.20%,10.40%,19.80%
"13 Moser, Mike UNLV",35,34,31.4,25.2,101.7,85,0.541,0.504,24.4,32.5,9.6,27.8,17.5,14.80%,3.60%,3.40%,18.40%
"14 Smith, Jyles SAVST",33,29,19.5,13.6,91.5,85.1,0.535,0.515,56.4,2,9.4,17.8,12,4.50%,1.80%,10.70%,26.30%
"15 Withey, Jeff KAN",39,39,24.8,17.4,121.8,85.2,0.626,0.536,73.9,0,10.2,18.4,13.5,5.60%,1.60%,15.30%,14.90%
"16 Crowder, Jae MARQ",35,35,32.9,23.4,123.8,85.3,0.605,0.568,37.2,40.6,7,20.5,12.9,13.50%,4.40%,3.10%,8.00%
"17 Smith, Russ LOU",39,7,21.5,34.4,92.2,85.3,0.465,0.405,34.4,32,3.6,9.1,6,21.80%,6.30%,0.10%,15.70%
"18 Sullinger, Jared OSU",37,36,30.4,27.8,120.5,85.4,0.6,0.538,51.9,9.1,12.4,23.9,16.9,8.60%,2.30%,4.00%,11.60%
"19 Kazemi, Arsalan RICE",33,32,29.4,19.9,118.7,85.5,0.641,0.594,80.8,0.4,10.2,29,18.3,15.30%,4.20%,3.50%,17.30%
"20 Casey, Kyle HARV",31,31,24.4,27.2,106.6,86,0.595,0.549,46.7,20.7,6.5,22.3,13.7,8.50%,2.20%,5.10%,16.10%
"21 Powell, Dwight STAN",35,11,17.5,20.5,94.8,86.1,0.517,0.457,48.4,10.6,7.6,23.1,13.9,8.40%,2.70%,3.80%,21.30%
"22 Johnson, Roosevelt SELOU",29,23,25.5,27.5,93.8,86.1,0.542,0.504,47.6,2,10.1,25.5,16.2,9.00%,2.30%,4.00%,20.70%
"23 Henson, John UNC",35,34,29.1,23.1,108.4,86.2,0.51,0.5,32.9,0,9,25.1,16,8.00%,1.10%,9.60%,8.70%
"24 Bateman, Hal SFA",32,0,17,19.4,84.9,86.2,0.477,0.436,56.9,11.9,0.5,11.1,5.2,31.60%,3.90%,0.50%,29.10%
"25 Scott, Jereal SFA",31,31,24,31.2,101.1,86.5,0.535,0.48,50.7,0,9.9,19.1,13.1,8.70%,1.50%,4.30%,14.90%
"26 Berggren, Jared WIS",36,36,27.8,23.2,105.8,86.6,0.552,0.524,22.8,38.8,6.5,15.2,10.1,6.60%,2.20%,6.30%,12.90%
"27 Wright, Keith HARV",31,31,28.1,22.3,106.3,86.9,0.607,0.586,33.3,0,11.1,26.1,17.5,5.50%,1.20%,5.40%,18.80%
"28 Gardner, Darius SFA",32,32,23.3,15.6,90.5,86.9,0.486,0.444,32.6,54.1,0.5,12.5,5.8,27.60%,3.50%,0.30%,27.30%
"29 Scott, Mike UVA",32,32,31.2,30.8,117.4,86.9,0.628,0.571,45,5.2,9.7,24,15.9,10.70%,1.40%,1.80%,12.80%
"30 Jones, Chris UNT",19,19,29.4,28.6,96.8,87.2,0.527,0.477,32,28.8,2.2,15.3,8.2,32.00%,4.80%,0.80%,21.70%
"31 Craft, Aaron OSU",39,39,32.2,15.1,113.3,87.2,0.602,0.55,56.1,27.8,2.1,9.9,5.6,24.60%,4.70%,0.60%,22.70%
"32 King, Jonathan SFA",31,21,21.6,17.3,108.9,87.3,0.583,0.519,70.5,5.4,13.8,14.4,12.7,7.40%,2.70%,1.00%,19.90%
"33 Micheaux, Josh GSU",33,30,28.9,18.1,98.2,87.3,0.518,0.441,60.8,10.8,6,18,11.1,24.10%,3.30%,1.10%,25.20%
"34 Nance Jr., Larry WYO",33,0,17.9,15.2,103.9,87.5,0.544,0.476,40.6,8.5,9.9,19.7,13.7,4.90%,2.80%,4.10%,18.30%
"35 Buckner, Eric GSU",34,33,30.7,17.5,115,87.5,0.611,0.62,61.6,0,10.2,16.1,12.2,2.70%,1.30%,13.50%,13.50%
"36 Evans, Ryan WIS",36,36,30.5,24.2,102.9,87.6,0.503,0.455,34.1,11.1,6.9,20.3,12.7,12.80%,1.60%,3.20%,12.60%
"37 Payne, Adreian MSU",37,36,17.9,19.9,114,87.7,0.61,0.569,51.4,1.2,11,16.8,12.9,3.60%,2.40%,6.90%,15.50%
"38 Daniel, Ed MURRST",33,33,23.6,15.6,113.8,87.8,0.613,0.586,98.4,3.1,11.6,17.1,13.2,7.20%,2.30%,6.70%,20.40%
"39 Mitchell, Akil UVA",32,15,22,12.7,102.5,87.8,0.519,0.505,51.5,0,7.6,17.8,12,7.90%,2.00%,1.70%,17.10%
"40 Mosley, William NWST",32,32,29.5,18.5,115.8,87.8,0.58,0.6,77.1,0.4,12.1,22,15.6,7.90%,2.70%,12.90%,11.10%
"41 Mitchell, Tony ALA",22,21,31.1,25.9,101.3,87.9,0.511,0.494,20,28.5,6.8,19.5,12.4,14.10%,2.10%,5.30%,12.70%
"42 Stutz, Garrett WICHST",32,32,24.6,27.2,112.9,88,0.612,0.559,37.7,11.1,9.7,27.2,17.3,9.40%,0.90%,4.50%,16.20%
"43 Sutton, Dominique NCCU",32,31,33.9,24.2,112.9,88.1,0.623,0.579,76.3,0.6,7.5,18.9,12.2,11.40%,3.90%,1.80%,16.60%
"44 Davies, Brandon BYU",35,35,28.6,27.4,103.9,88.1,0.563,0.517,55.3,0.8,8.9,20.2,13.4,14.50%,2.80%,5.10%,17.50%
"45 Jones, Terrence UK",38,34,29.3,22.3,113.4,88.2,0.554,0.523,44.6,13.8,10.7,16.2,12.6,8.70%,2.70%,5.80%,12.80%
"46 Reves, Jordan UTA",33,33,23.9,18.3,112.5,88.2,0.621,0.548,67.7,0,12.1,23.3,16.4,7.00%,1.50%,8.70%,21.20%
"47 Brown, Rhamel MANH",34,8,19.1,21.2,103.8,88.3,0.606,0.601,46.4,0.5,11,18.8,13.8,6.50%,2.30%,14.90%,20.30%
"48 Zeglinski, Sammy UVA",30,27,32.3,18.3,97.4,88.4,0.518,0.491,16.7,75.1,0.9,12.2,6.3,17.60%,3.20%,0.40%,17.20%
"49 Fitzpatrick, Toarlyn USF",35,11,25.5,19.2,104.2,88.5,0.556,0.535,20.9,44.3,7.4,23.1,14.4,8.30%,1.90%,4.50%,16.30%
"50 Sturdivant, Fred TEXSOU",33,2,23.3,23.6,94.2,88.5,0.518,0.516,66.5,3.6,10,17.1,12.3,6.00%,3.10%,7.10%,17.60%
"Brenton, Tommy STNBRK",32,32,29.6,15.3,117.3,88.5,0.593,0.549,85.1,6.5,12.3,21,14.9,22.80%,3.70%,1.00%,22.90%
"Patterson, DeShawn SELOU",29,21,28.8,17.8,77.1,88.5,0.415,0.386,46.4,19.3,3.3,15.1,8.3,27.70%,4.10%,1.40%,29.30%
