ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Faried, Kenneth MOREHD",35,34,34.7,24.3,120,83.7,0.63,0.623,64.4,0,20,31.4,23.3,7.40%,3.50%,8.80%,16.10%
"2 James, Bernard FSU",34,22,21.1,19.2,111.4,83.8,0.638,0.657,65.7,0,11.8,18.4,14,2.50%,2.40%,13.50%,17.90%
"3 Singleton, Chris FSU",28,25,29.1,24.4,103.8,83.9,0.537,0.495,44.1,33.2,8.2,17,11.7,8.90%,4.00%,5.90%,15.20%
"4 Smith, Jyles SAVST",30,30,25.7,12.6,89.6,84.2,0.502,0.491,52.7,1.8,9.9,23.9,15.2,5.10%,1.80%,10.20%,25.80%
"5 Nickerson, Colin FAIRFL",33,18,23.2,15.6,97.7,84.3,0.545,0.497,45.6,38.3,2,12.6,6.7,19.30%,5.00%,0.10%,23.20%
"6 Jardine, Brady USU",34,7,21.4,19.3,111.3,84.3,0.576,0.544,46.4,1.1,12.2,26,18.4,4.60%,1.60%,5.30%,15.40%
"7 Green, JaMychal ALA",34,33,27.9,30.4,107.8,85,0.571,0.509,52.9,0.3,13.4,17.7,14.1,12.20%,3.20%,8.20%,17.10%
"8 Johnson, Kerron BELM",35,0,18.2,21.9,113.2,85.4,0.653,0.565,99.3,28.6,2.7,6.7,4.3,27.20%,6.40%,0.20%,25.90%
"9 Plumlee, Mason DUKE",37,32,25.6,15.5,106,85.8,0.576,0.593,49.2,1.1,11.2,23.8,16.4,10.50%,2.00%,5.80%,23.60%
"10 Henson, John UNC",37,36,26.7,23.6,99.6,86,0.508,0.501,39,1.6,12.7,25.3,17.8,5.80%,1.20%,11.60%,15.10%
"11 Leonard, Kawhi SDSU",36,36,32.6,27.5,110.6,86,0.517,0.471,30.5,18.1,11.4,26.2,17.5,16.00%,2.80%,1.90%,12.40%
"12 Saunders, Scott BELM",35,0,17.1,27.6,115.9,86.3,0.589,0.511,73.1,0,11.9,24,16.4,3.80%,1.10%,7.70%,12.70%
"13 Glynn, Jordan SFA",29,29,31.6,18.4,122,86.9,0.615,0.537,56,0.9,12,20.3,14.7,8.50%,2.40%,0.80%,14.20%
"14 Blair, Gabe WICHST",36,15,20.1,17.3,119.8,87.2,0.574,0.542,36.7,0,11.6,26.6,17.7,11.50%,2.40%,5.30%,12.40%
"15 Hawkins, Yorel FAIRFL",33,31,27.6,21.4,102.8,87.2,0.493,0.448,27.7,6,7.9,14.5,10.2,11.00%,3.00%,1.00%,11.10%
"16 Agbelese, Danny HAMPTN",33,33,23.3,9.7,110.2,87.2,0.514,0.547,50,0,9.6,18,12.6,3.00%,0.90%,13.50%,10.40%
"17 Olander, Ryan FAIRFL",33,33,30.1,18.4,109.8,87.3,0.568,0.54,46,8.3,10.6,15.1,11.7,8.00%,1.40%,7.40%,14.60%
"18 Voelkel, Brian UVM",32,32,30.7,15.2,109.8,87.3,0.509,0.42,81,17.2,10.9,24.4,16.3,27.00%,3.20%,0.90%,22.40%
"19 Hines, Chris ALA",37,36,28.6,12.9,95.9,87.4,0.511,0.479,41.4,1.2,8.8,15.6,11.1,8.10%,3.20%,5.80%,24.00%
"20 Wesley, Tai USU",34,34,29.2,25,122.9,87.4,0.654,0.607,69.4,2.7,12.6,19.8,15.4,16.90%,1.70%,4.10%,16.50%
"21 Tabb, Demarquelle AAMU",26,7,22.6,21.3,101.3,87.5,0.538,0.5,68.5,0.6,10.8,16.8,12.4,8.10%,2.90%,7.30%,16.10%
"22 Saunders, Damian DUQ",31,31,34,19,110.6,87.6,0.541,0.531,42.8,23,8.8,16.9,11.8,13.90%,3.90%,8.60%,13.00%
"23 Morris, Markieff KAN",38,35,24.4,25.4,120.4,87.8,0.65,0.627,46.2,17.8,13.9,24.7,18.4,11.00%,1.90%,4.90%,16.40%
"24 Kemp, Bryce UNO",22,5,23.5,13.8,96.7,87.9,0.526,0.453,47.1,40,3.6,9.7,6.2,17.90%,4.50%,1.50%,27.50%
"25 Funches, Charles HAMPTN",33,33,32,20.8,95.3,88,0.508,0.434,61.2,5.9,7.6,18.7,12,8.50%,2.50%,3.10%,18.60%
"26 Barrow, Maurice FAIRFL",33,27,25.3,16.2,94.3,88.2,0.505,0.47,48.8,0,9.7,16.2,11.8,10.50%,1.90%,2.30%,22.40%
"27 Conley, Darius STPTR",34,25,20.7,18.3,98.6,88.3,0.513,0.47,51.2,1.2,10,16.7,12.1,6.90%,2.60%,3.90%,16.60%
"28 Mitchell, Tony ALA",37,32,31.5,24.5,114.6,88.3,0.577,0.557,26.8,22.4,9.9,15.7,11.7,9.80%,3.10%,3.90%,11.60%
"29 Campbell, Jordan BELM",35,0,21.3,16.5,131.2,88.5,0.685,0.681,13.4,83.2,5.6,11.6,7.9,19.00%,3.80%,2.20%,15.10%
"30 McCrea, Javon BUFF",34,0,21.6,27.3,113.9,88.5,0.621,0.631,51,0,17.1,18.6,16.5,19.10%,3.50%,8.50%,18.10%
"31 Bacon, Ryan STPTR",31,30,28.6,19.8,105.7,88.7,0.56,0.524,48.9,0.4,14.8,14.1,13,8.70%,2.50%,8.00%,18.10%
"32 Givens, Samme DREXEL",31,31,29.7,23.6,105.3,88.7,0.533,0.519,47.8,0.3,12.2,26.5,17.8,8.70%,1.40%,3.00%,14.30%
"33 Qvale, Brian MONT",32,32,30.9,23.9,117.8,88.8,0.646,0.626,51.3,0,12.4,20.9,15.7,5.50%,1.30%,10.30%,14.90%
"34 Allen, Jeff VT",34,34,32.3,24.9,101,88.9,0.544,0.508,39.7,9.6,10.4,25.5,16.6,12.30%,2.50%,2.60%,19.20%
"35 Tyrna, Jaroslav UNO",21,20,24.6,22.6,97.7,88.9,0.573,0.528,43.4,20.7,10,20.5,14.1,12.30%,1.40%,2.60%,25.50%
"36 Williams, Eddie SFA",29,28,32.4,18.1,94.5,89.1,0.436,0.409,28,31.4,4.3,14.9,8.7,22.00%,2.30%,0.50%,17.20%
"37 Maxey, Grant JACKSN",31,19,21.5,33.7,106,89.1,0.545,0.462,55.1,11.6,11.6,18.9,13.5,16.10%,3.40%,3.30%,14.60%
"38 Bendall, Nate USU",31,27,20.3,19.2,107.1,89.2,0.531,0.485,32.9,1.2,12.6,21.4,16.2,4.30%,1.20%,1.60%,14.70%
"39 Sullinger, Jared OSU",37,37,31.7,26.8,124.5,89.2,0.602,0.545,65.1,2.9,14.1,26,18.4,7.40%,2.00%,2.00%,10.10%
"40 Grant, Jerai CLEM",34,31,27.1,22.4,119.7,89.2,0.617,0.571,55.3,0,11.8,17.6,13.4,6.90%,2.40%,9.50%,12.80%
"41 Scott, Jereal SFA",28,24,24.8,26.7,114.8,89.3,0.633,0.6,50.8,0,10.7,18.9,13.4,8.10%,1.30%,1.00%,15.50%
"42 Thompson, Tristan TEXAS",36,34,30.9,22,111.5,89.4,0.548,0.546,82.9,0,13.9,13.6,12.6,8.00%,1.80%,7.20%,13.00%
"43 Wertz, Antonio UNO",21,20,25.8,21.2,120.5,89.4,0.603,0.547,57.1,19.9,9.3,18.7,13,8.60%,1.60%,2.90%,11.40%
"44 Hedgepeth, Mick BELM",35,35,22.1,22.8,119.6,89.4,0.603,0.552,56,5.2,12.4,19.1,14.4,5.70%,1.50%,3.30%,12.80%
"45 Williams, Jordan MD",33,33,32.5,24.3,113.8,89.6,0.561,0.538,57.6,0,12.6,26,18,3.90%,1.20%,4.10%,9.60%
"46 Kitchen, Derwin FSU",34,34,30.6,17.3,115.5,89.8,0.594,0.547,40.3,30,5.6,14.5,9.4,23.90%,3.20%,0.30%,18.60%
"47 Thomas, Quintrell UNLV",33,26,15.4,23.6,107.5,89.8,0.576,0.527,67.6,0,15.1,24.4,18.3,3.70%,1.10%,5.40%,17.20%
"48 Jones, Terrence UK",38,35,31.5,28.1,107.4,89.9,0.519,0.47,52.1,17,9,22.1,14.6,10.30%,2.20%,6.00%,11.60%
"49 Watt, Mitchell BUFF",34,34,21.2,22.8,100.7,90,0.528,0.486,38.6,0,11.1,18.3,13.7,14.10%,2.30%,11.00%,20.20%
"50 Johnson, JaJuan PUR",34,34,35.4,29,115.3,90,0.57,0.509,40.2,9.8,7.9,20.2,12.8,6.40%,1.50%,6.70%,8.40%
"Amusa, Bo AAMU",28,21,20,20.9,104.5,90,0.541,0.514,38.6,8.2,6.6,14.1,9.3,7.60%,2.50%,6.50%,11.50%
"Jackson, Rick SYR",35,35,35.6,19.1,115,90.1,0.591,0.588,41.8,0,11.6,20.6,14.8,12.20%,2.30%,8.00%,15.60%
"Thomas, Malcolm SDSU",37,37,30.4,20.7,113.8,90.1,0.576,0.539,54.9,4.1,11.6,19.6,14.4,14.20%,1.00%,7.00%,17.40%
"Bohannon, John UTEP",33,10,18.4,18.2,93.9,90.2,0.526,0.519,51.9,1.5,9.1,19.2,13.3,8.10%,1.40%,6.00%,21.60%
"Brown, John LIB",32,32,31.9,21.2,97.7,90.3,0.538,0.526,26.5,0.3,14.2,24.1,17.4,9.50%,3.40%,1.00%,22.30%
"Stone, Julyan UTEP",35,35,36.5,13.6,112.8,90.3,0.564,0.542,68.8,25.2,3.9,18.9,10.9,26.60%,2.40%,1.90%,19.80%
"Bazemore, Kent ODU",34,33,30.7,22.9,109.4,90.3,0.566,0.531,42.9,24.5,6,13.4,8.9,20.90%,4.80%,3.50%,18.20%
"Ruffin, Dartaye DREXEL",31,0,23.3,20.3,107.7,90.3,0.562,0.519,57.8,0,13.7,22.5,16.6,3.10%,1.60%,2.20%,16.80%
"McConnell, T.J. DUQ",32,30,30.6,17.1,116.5,90.4,0.59,0.572,22.6,36.6,2.6,11.2,6.3,26.60%,5.30%,0.60%,16.10%
"McCoy, Daryl DREXEL",31,30,22.5,14.9,102.5,90.5,0.537,0.533,29.2,0,13.5,25.9,18.1,8.50%,0.80%,2.10%,21.80%
"Ottley, Trevor MIDTN",32,20,19.6,19.5,92.7,90.5,0.503,0.4,89.2,0,12.1,19.9,14.4,8.00%,3.30%,7.50%,24.90%
"Hamilton, Jordan TEXAS",36,36,32.2,29.1,113.3,90.5,0.554,0.522,22.1,42.4,7,18.5,11.9,14.60%,1.60%,1.80%,11.30%
"McGhee, Gary PITT",34,34,23,15.3,118.9,90.5,0.564,0.567,60.4,0,13.8,24.5,17.7,2.40%,0.70%,6.20%,10.00%
"Gates, Yancy CIN",34,28,27.8,23.3,111,90.5,0.539,0.517,42,4.4,9.3,21.2,13.9,10.30%,1.80%,5.10%,10.50%
"McLaurin, Sam COCAR",33,26,26.3,13.3,123.5,90.6,0.677,0.678,68.5,0,11.8,17.9,14,7.60%,1.40%,7.30%,19.10%
