ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"Billups, Rodney DENVER",32,0,18.8,21.3,84.4,95.5,0.468,0.387,51,29.1,1.9,12.4,6.4,27.50%,4.40%,0.50%,28.60%
"Moore, Mitch NAVY",28,23,19.4,19.2,89.5,95.5,0.483,0.445,29,7.6,3.7,20.7,10.9,12.50%,1.70%,4.20%,18.50%
"Bryant, Travon MIZZOU",33,26,25.7,19.2,104.2,95.6,0.532,0.517,34.2,20.8,8.8,15.3,11.2,8.20%,2.00%,4.60%,16.10%
"Baker, Yusuf USF",29,17,16.1,15.8,108.3,95.6,0.592,0.584,44.6,0,15.2,16.4,14.8,3.40%,1.40%,7.50%,19.40%
"Kilgore, Darmetreis PUR",28,5,16.3,24.5,97.2,95.6,0.481,0.441,24.6,44.7,5,12.5,8.1,8.40%,2.10%,0.90%,10.80%
"Homan, Jared IOWAST",31,29,26.9,16.7,104.1,95.6,0.502,0.444,42.9,0.5,13.3,13.9,12.5,3.30%,1.40%,7.00%,15.60%
"Loughton, Alex ODU",27,25,26.4,19.2,100.8,95.7,0.469,0.419,39.7,2.9,11.8,13.4,11.6,6.40%,2.60%,1.90%,12.40%
"Johnson, Ian DAVDSN",27,0,24.7,22.8,114.5,95.7,0.612,0.557,34.6,12.2,9,15.1,11.4,10.80%,1.20%,2.30%,16.50%
"Babalola, Olu CLEM",28,26,25.3,18.3,97.8,95.7,0.52,0.48,38.9,34.3,7,9.9,7.8,8.60%,2.80%,4.40%,19.90%
"Johnson, Jared MANH",29,29,31.8,20.4,109.5,95.7,0.559,0.518,31.6,5.6,8.2,13.8,10,12.10%,2.20%,2.40%,14.50%
"James, Josiah BSC",28,28,28.9,25.9,106.3,95.7,0.596,0.564,65.6,0.8,9.2,17.6,12.1,15.20%,2.60%,4.20%,19.50%
"Woodberry, Kevin BYU",32,26,25.7,16.8,93.2,95.7,0.49,0.457,38.9,64.6,0.9,9.2,4.8,18.50%,3.50%,1.10%,21.80%
"Montalvo, Eric UTPA",30,28,27.9,21.7,89,95.7,0.438,0.399,33,37,5,11.3,7.2,14.60%,3.40%,0.50%,15.70%
"Woodards, Anthony STMARY",30,14,23.1,13.2,77.3,95.7,0.445,0.386,48.5,18.8,3.2,10.5,6.3,11.80%,2.00%,1.70%,30.20%
"Wilborn, Elgrace TENN",29,1,17,11.1,98.9,95.7,0.557,0.587,41.3,0,13.9,18.9,15.3,6.60%,1.10%,10.10%,28.70%
"Sato, Romain XAVIER",32,32,36.9,23.8,117.2,95.8,0.563,0.506,36.6,55.8,5.8,15.2,9.8,12.30%,1.60%,0.70%,10.80%
"Bonner, Matt FLA",33,33,31.4,22.8,120.4,95.8,0.624,0.598,28.3,37.3,8.4,14.2,10.4,9.70%,2.00%,2.00%,11.90%
"Gaines, Charles SMISS",29,29,29.7,24.8,113,95.8,0.57,0.514,70.9,0,13.8,21.7,16.3,5.20%,1.80%,3.70%,12.20%
"Dotson, Ed UCF",32,29,27.7,26.9,104.8,95.8,0.529,0.494,47.4,0,11.3,14.1,11.6,5.00%,2.10%,3.70%,12.50%
"Merritt, Brendon EWU",31,31,30.5,18.3,115.5,95.8,0.593,0.529,52.7,56.5,2.2,11.1,6.3,16.40%,3.00%,0.70%,13.00%
"McCollum, Jairus STNBRK",27,24,28.9,21.1,91.8,95.8,0.506,0.473,43,0,8.9,14.2,10.7,12.60%,2.60%,1.60%,22.40%
"Bogans, Keith UK",36,35,29.7,25.8,115.8,95.8,0.585,0.551,30.6,49.2,4.7,10.4,7,17.30%,2.30%,0.40%,13.90%
"Barton, Brad WEBER",32,11,19.7,12.1,103.3,95.8,0.516,0.464,41,54.2,5.3,19.2,11.5,31.50%,3.10%,0.30%,33.80%
"Towe, Daryl NORFST",29,29,26.9,25,91,95.9,0.5,0.448,41.8,24.1,5.5,10.5,7.2,10.90%,3.10%,0.80%,19.70%
"Mark, Adam BELM",28,28,29.2,24.4,119.8,95.9,0.68,0.702,30.3,16.2,12.2,15.2,12.6,13.70%,4.40%,1.50%,14.90%
"Campbell, Jerrid SOUTHN",29,24,29.4,19.8,101.9,95.9,0.528,0.485,32.7,0,11,17.1,12.7,6.30%,1.90%,4.20%,16.30%
"Colwell, Shelton MOST",20,7,23.9,22.1,107.8,95.9,0.554,0.545,42.8,0,11.3,13.2,11.2,6.10%,1.10%,5.00%,14.00%
"Heard, Jay JSU",30,30,30.2,21.7,105.4,95.9,0.553,0.52,23,44.1,4.2,14.1,8.1,19.90%,5.10%,1.80%,17.90%
"Ortiz, Stalin VALPO",31,9,28.9,26.7,104,95.9,0.513,0.477,54.1,24.3,10.1,13.1,10.5,12.60%,3.80%,0.50%,12.00%
"Levy, Jamaal WAKE",31,21,28.7,14.2,106.7,95.9,0.539,0.515,49.4,22.9,10,15.7,12.2,12.20%,1.90%,3.60%,21.60%
"Toole, Andy PENN",27,25,30.1,20.2,107.9,95.9,0.597,0.558,25.5,50.9,1,11,5.7,20.50%,2.20%,0.20%,19.20%
"Romero, Hector UNO",26,26,33.1,30.6,103.2,95.9,0.546,0.472,55.6,16.2,10.7,20.5,14.4,14.80%,2.10%,4.30%,18.90%
"Boyd, Keyon TNTECH",32,2,16.8,17.1,99.2,95.9,0.551,0.512,31.1,57.4,4,12,7.5,23.00%,3.20%,0.20%,26.90%
"Caporn, Adam STMARY",30,29,31,15,83.7,96,0.474,0.445,26,53,0.7,8.1,4.1,14.70%,2.40%,1.60%,24.70%
"Henry, Scott ISU",29,27,32.7,17.2,114.9,96,0.593,0.561,38,0.4,10,19.4,13.4,7.60%,2.50%,3.90%,13.90%
