ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Jackson, Justin CIN",34,34,27.8,23.5,105.6,83.8,0.53,0.532,41.9,0,13.6,17.4,14,14.80%,3.70%,12.10%,15.80%
"2 Weber, Briante VCU",35,35,28.9,17.5,110.1,84.9,0.539,0.469,45.7,16.1,3.4,12.7,7.1,25.10%,6.90%,0.50%,17.60%
"3 Davis, Josh SDSU",34,34,30.6,16.4,101.6,85.2,0.469,0.455,46.8,0,12.5,25,17.1,5.60%,2.10%,1.70%,14.40%
"4 Parks, Jordan NCCU",34,0,19,23.5,129.1,85.2,0.685,0.675,47.1,5.8,15.9,19.5,16.1,8.10%,2.50%,7.30%,12.50%
"5 Kennedy, Markus SMU",37,22,25,27.2,108.2,85.7,0.558,0.535,46.3,1.5,10.2,22.5,15.6,14.60%,3.80%,5.90%,14.00%
"6 Spencer, Skylar SDSU",36,36,23.8,11.1,110.8,86.7,0.566,0.569,40,0,8.6,12.2,9.4,1.80%,1.90%,11.60%,15.90%
"7 Harrell, Montrezl LOU",37,37,29.3,21.9,120.4,86.9,0.599,0.612,41.8,0.8,12.1,19.7,14.9,8.20%,2.10%,4.80%,10.90%
"8 Kyser, Michale LATECH",36,34,23.3,13.8,119.3,87.2,0.571,0.571,49.5,0,10.6,19.7,13.7,2.90%,1.20%,12.70%,9.40%
"9 Godfrey, Calvin SOUTHN",31,29,26.9,23.6,115.2,87.3,0.591,0.556,52.7,0,11.5,23.9,16.1,6.90%,1.00%,6.50%,12.50%
"10 Young, Jerran WRIGHT",35,9,20.8,23.5,98.9,87.6,0.555,0.519,43.8,27.6,7.4,14.9,10.6,14.30%,4.30%,6.90%,19.60%
"11 Mitchell, Akil UVA",37,36,25.7,16.7,104.9,87.8,0.547,0.561,51.3,0.5,9.7,23.5,15.3,9.90%,2.00%,2.60%,17.60%
