ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"Nelson, Brett FLA",31,29,30.9,24.3,106.4,93.9,0.543,0.517,14.5,63.1,1.6,6.4,3.7,19.20%,3.50%,1.60%,15.20%
"Dials, Terence OSU",32,0,16.6,18.8,122.7,93.9,0.632,0.623,51.4,0,12.3,19.7,14.6,5.90%,2.10%,4.90%,12.00%
"Blizzard, Brett UNCWIL",33,33,36.4,26.4,112.2,93.9,0.555,0.514,30.7,49,2.5,10.2,5.9,18.80%,3.60%,1.70%,10.40%
"Washburn, Cliff CIT",28,25,25.4,24.1,96.1,93.9,0.52,0.462,65.2,0.5,8.8,20.3,13.4,7.90%,2.30%,1.60%,19.50%
"Pearson, Dax ARMY",27,9,16.1,20.8,96.5,93.9,0.528,0.512,42.3,0,7.5,21.8,13.4,8.50%,3.00%,2.90%,17.50%
"Lalugba, Boakai BUCK",29,29,29.7,28.2,101.1,94,0.573,0.558,47.6,1,9.5,19.1,13.1,16.30%,2.60%,3.40%,18.40%
"Gates, Dennis CAL",28,14,18.3,18.1,106.9,94,0.517,0.457,41.9,48.1,3.4,9.5,6,25.50%,4.40%,1.40%,16.90%
"Ewing, Daniel DUKE",35,0,18.2,15.5,121,94,0.599,0.575,30.5,41.9,6.4,7,6.2,11.30%,2.70%,0.10%,13.30%
"Conner, Teohn STMARY",26,22,23.6,20.8,81.5,94,0.438,0.412,18.1,46.7,6.3,17.7,10.7,12.60%,2.50%,1.20%,22.20%
"Sherrod, Mike RUTG",31,31,32,18.9,84.5,94,0.412,0.382,35.8,12.9,2.5,8.3,4.9,25.50%,3.20%,0.50%,20.40%
"Mitchell, Dwayne AUB",28,10,17.4,16.8,72.4,94,0.48,0.451,58.5,19.5,4.3,11.1,7,20.30%,3.30%,1.40%,39.70%
"Clinton, James SIENA",27,15,21.1,18.6,102.5,94,0.529,0.469,42.9,4.1,8.4,17.4,11.7,10.40%,1.30%,6.10%,16.70%
"Miller, Brandon BUTLER",32,32,33.1,19.2,113.1,94,0.56,0.498,38,64.9,2.6,10.2,5.8,17.50%,2.70%,0.20%,13.40%
"Sampson, Jamal CAL",32,31,24.9,17.5,93.2,94,0.458,0.426,51.9,0,11.6,18.8,14.1,8.70%,1.10%,8.00%,19.10%
"Morban, Carlos FIU",29,27,28.7,25,85.6,94,0.458,0.43,30.4,18.9,3.6,10.3,6.1,23.10%,6.30%,0.90%,22.80%
"Braswell, Kevin GTOWN",30,30,33.6,22.8,106.2,94.1,0.523,0.47,27.9,41.5,2.6,6.7,4.3,32.50%,4.40%,0.50%,17.80%
"Waldon, B.B. USF",32,31,31.4,20.3,105,94.1,0.569,0.584,33.4,17.7,10.3,20.6,14.1,14.30%,3.50%,1.60%,18.80%
"Forth, Craig SYR",36,36,21.7,14.2,96.6,94.1,0.473,0.443,27.5,0,10,12.3,10,9.00%,2.00%,9.50%,19.40%
"Baker, Maurice OKST",29,23,30,23.6,107.2,94.1,0.541,0.495,24.7,37.5,8.3,11.5,9.2,22.00%,2.60%,0.60%,19.00%
"Da Luz, Guilherme FURMAN",31,31,33.9,21.9,102.4,94.1,0.498,0.442,39,28.4,4.3,12.8,8,38.40%,3.60%,0.10%,20.90%
"Gomez, Dionisio ARK",28,23,18,15.9,103,94.2,0.548,0.53,30.2,3.4,11.7,19,13.8,12.80%,3.50%,2.70%,22.40%
