Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
1,"Ajdin Penava, Marshall (C-USA)",Jr.,6-9,F,34,134,3.94
3,"Sagaba Konate, West Virginia (Big 12)",So.,6-8,F,36,116,3.22
4,"Tai Odiase, Ill.-Chicago (Horizon)",Sr.,6-9,C,36,112,3.11
2,"Mohamed Bamba, Texas (Big 12)",Fr.,6-11,F,30,111,3.7
7,"Jaren Jackson Jr., Michigan St. (Big Ten)",Fr.,6-11,F,35,106,3.03
5,"Hayden Koval, Central Ark. (Southland)",Fr.,7-0,C,34,105,3.09
9,"Anas Mahmoud, Louisville (ACC)",Sr.,7-0,F,36,104,2.89
11,"Tariq Owens, St. John's (NY) (Big East)",Jr.,6-10,F,33,94,2.85
15,"Kenny Wooten, Oregon (Pac-12)",Fr.,6-9,F,36,92,2.56
8,"Austin Williams, Drexel (CAA)",Sr.,6-8,F,31,92,2.97
6,"Trayvon Reed, Texas Southern (SWAC)",---,0-0,,30,92,3.07
18,"Paschal Chukwu, Syracuse (ACC)",Jr.,7-2,C,37,91,2.46
10,"Isaiah Brock, Oakland (Horizon)",So.,6-8,F,30,86,2.87
17,"Namdi Okonkwo, Pacific (WCC)",Sr.,7-0,C,32,80,2.5
31,"Matt Haarms, Purdue (Big Ten)",Fr.,7-3,F,37,79,2.14
25,"Elijah Thomas, Clemson (ACC)",Jr.,6-9,F,35,79,2.26
20,"Aaron Menzies, Seattle U (WAC)",Jr.,7-3,C,34,79,2.32
19,"Ben Lammers, Georgia Tech (ACC)",Sr.,6-10,C,32,78,2.44
16,"Pauly Paulicap, Manhattan (MAAC)",So.,6-8,F,31,78,2.52
13,"Robert Williams, Texas A&M (SEC)",So.,6-9,F,30,78,2.6
24,"Johnny Hamilton, UT Arlington (Sun Belt)",Sr.,7-0,C,34,77,2.26
39,"Wendell Carter, Jr., Duke (ACC)",Fr.,6-10,F,37,76,2.05
29,"Daniel Gafford, Arkansas (SEC)",Fr.,6-11,F,35,76,2.17
21,"Jakeenan Gant, Louisiana (Sun Belt)",Jr.,6-8,F,32,74,2.31
23,"Philipp Hartwich, Portland (WCC)",Sr.,7-2,C,32,73,2.28
12,"Anfernee McLemore, Auburn (SEC)",So.,6-7,F,27,73,2.7
27,"Alan Herndon, Wyoming (MWC)",Sr.,6-9,F,33,72,2.18
14,"Brandon Gilbeck, Western Ill. (Summit League)",Jr.,6-11,C,28,72,2.57
34,"Ike Obiagu, Florida St. (ACC)",Fr.,7-0,C,34,71,2.09
34,"James Dickey, UNCG (SoCon)",So.,6-10,F,34,71,2.09
26,"Tydus Verhoeven, Duquesne (Atlantic 10)",Fr.,6-8,F,32,71,2.22
22,"Akolda Manyang, Utah Valley (WAC)",Sr.,7-0,C,31,71,2.29
42,"Donta Hall, Alabama (SEC)",Jr.,6-9,F,34,68,2
38,"William Lee, UAB (C-USA)",Sr.,6-9,F,33,68,2.06
54,"Abdul Ado, Mississippi St. (SEC)",Fr.,6-11,F,36,67,1.86
48,"James Thompson IV, Eastern Mich. (MAC)",Jr.,6-10,C,35,67,1.91
41,"Kevarrius Hayes, Florida (SEC)",Jr.,6-9,F,33,67,2.03
30,"Jehyve Floyd, Holy Cross (Patriot)",Jr.,6-8,F,31,67,2.16
70,"Dwight Coleby, Western Ky. (C-USA)",Sr.,6-9,F,38,66,1.74
64,"Aric Holman, Mississippi St. (SEC)",Jr.,6-10,F,37,66,1.78
51,"Elijah Minnie, Eastern Mich. (MAC)",Sr.,6-9,F,35,66,1.89
51,"Deandre Ayton, Arizona (Pac-12)",Fr.,7-1,F,35,66,1.89
37,"Kingsley Okoroh, California (Pac-12)",Sr.,7-1,C,32,66,2.06
49,"Andrew Eudy, Campbell (Big South)",Jr.,6-7,C,34,65,1.91
47,"Jo Lual-Acuil Jr., Baylor (Big 12)",Sr.,7-0,F,33,64,1.94
32,"Xavier Cooks, Winthrop (Big South)",Sr.,6-8,F,30,64,2.13
61,"Yoeli Childs, BYU (WCC)",So.,6-8,F,35,63,1.8
43,"Isaiah Roby, Nebraska (Big Ten)",So.,6-8,G,32,63,1.97
40,"Ronald Delph, Fla. Atlantic (C-USA)",Sr.,7-0,C,31,63,2.03
28,"Cameron Lard, Iowa St. (Big 12)",Fr.,6-9,F,29,63,2.17
74,"Ray Spalding, Louisville (ACC)",Jr.,6-10,F,36,62,1.72
69,"Nana Foulland, Bucknell (Patriot)",Sr.,6-9,C,35,61,1.74
62,"Jonathan Baehre, UNC Asheville (Big South)",So.,6-9,F,34,61,1.79
50,"Khadeem Lattin, Oklahoma (Big 12)",Jr.,6-9,F,32,61,1.91
44,"Doug Taylor, Ohio (MAC)",Jr.,6-9,F,31,61,1.97
44,"Doral Moore, Wake Forest (ACC)",Jr.,7-1,C,31,61,1.97
44,"Nathan Knight, William & Mary (CAA)",So.,6-10,C,31,61,1.97
33,"Thomas Bruce, Binghamton (America East)",Jr.,6-9,F,29,61,2.1
78,"Udoka Azubuike, Kansas (Big 12)",So.,7-0,C,36,60,1.67
66,"Luke Knapke, Toledo (MAC)",So.,6-11,C,34,60,1.76
58,"Omer Yurtseven, NC State (ACC)",So.,7-0,C,33,60,1.82
58,"Brandon McCoy, UNLV (MWC)",Fr.,7-0,F,33,60,1.82
53,"Obediah Church, Missouri St. (MVC)",Jr.,6-7,F,32,60,1.88
103,"Omari Spellman, Villanova (Big East)",Fr.,6-9,F,40,59,1.48
71,"Chimezie Metu, Southern California (Pac-12)",Jr.,6-11,F,34,59,1.74
63,"Hassan Attia, Hartford (America East)",Sr.,6-10,C,33,59,1.79
56,"Hasahn French, Saint Louis (Atlantic 10)",Fr.,6-7,F,32,59,1.84
67,"AJ Sumbry, Wagner (NEC)",Jr.,6-7,F,33,58,1.76
60,"Joshua Patton, Sacramento St. (Big Sky)",So.,6-8,F,32,58,1.81
77,"Kyle Alexander, Tennessee (SEC)",Jr.,6-11,F,34,57,1.68
72,"Ryan Edwards, Portland St. (Big Sky)",Sr.,7-1,C,33,57,1.73
72,"Christian Cunningham, Jacksonville St. (OVC)",Jr.,6-7,F,33,57,1.73
81,"Nick McGlynn, Drake (MVC)",Jr.,6-8,F,34,56,1.65
81,"Keita Bates-Diop, Ohio St. (Big Ten)",Jr.,6-7,F,34,56,1.65
68,"Dererk Pardon, Northwestern (Big Ten)",Jr.,6-8,C,32,56,1.75
78,"Jontay Porter, Missouri (SEC)",Fr.,6-11,F,33,55,1.67
75,"Drew Eubanks, Oregon St. (Pac-12)",Jr.,6-10,F,32,55,1.72
115,"Mitch Lightfoot, Kansas (Big 12)",So.,6-8,F,38,54,1.42
83,"Yuta Watanabe, George Washington (Atlantic 10)",Sr.,6-9,G,33,54,1.64
83,"Danny Pippen, Kent St. (MAC)",So.,6-9,F,33,54,1.64
83,"Noah Horchler, North Florida (ASUN)",So.,6-8,F,33,54,1.64
83,"Vladimir Brodziansky, TCU (Big 12)",Sr.,6-11,F,33,54,1.64
120,"Jalen Sanders, Northern Colo. (Big Sky)",Fr.,6-5,G,38,53,1.39
104,"Cody Martin, Nevada (MWC)",Jr.,6-7,F,36,53,1.47
89,"Joe Furstinger, New Mexico (MWC)",Sr.,6-9,F,33,53,1.61
65,"Moataz Aly, CSU Bakersfield (WAC)",Sr.,6-9,C,30,53,1.77
57,"Ishmael Lane, Northwestern St. (Southland)",Jr.,6-8,F,29,53,1.83
87,"Brandan Stith, Old Dominion (C-USA)",Sr.,6-7,F,32,52,1.63
87,"Marcus Lee, California (Pac-12)",Sr.,6-10,F,32,52,1.63
76,"Hank Hollingsworth, Cal Poly (Big West)",So.,6-10,F,31,52,1.68
96,"Shaq Morris, Wichita St. (AAC)",Sr.,6-8,F,33,51,1.55
124,"Kyle Washington, Cincinnati (AAC)",Sr.,6-9,F,36,50,1.39
94,"Jalone Friday, Abilene Christian (Southland)",So.,6-9,C,32,50,1.56
36,"Chris Wray, Mt. St. Mary's (NEC)",Sr.,6-8,F,24,50,2.08
108,"Isaiah Wilkins, Virginia (ACC)",Sr.,6-7,F,34,49,1.44
108,"Matisse Thybulle, Washington (Pac-12)",Jr.,6-5,F,34,49,1.44
100,"Yante Maten, Georgia (SEC)",Sr.,6-8,F,33,49,1.48
98,"Chris Lewis, Harvard (Ivy League)",So.,6-9,F,32,49,1.53
90,"Albert Owens, Oral Roberts (Summit League)",Sr.,6-9,C,31,49,1.58
105,"Dominic Robb, Niagara (MAAC)",Jr.,6-8,F,33,48,1.45
105,"Bryce Nze, Milwaukee (Horizon)",So.,6-7,F,33,48,1.45
95,"Branden Johnson, Alabama St. (SWAC)",So.,6-8,C,31,48,1.55
55,"Jalen Canty, UC Santa Barbara (Big West)",Fr.,0-0,F,26,48,1.85
132,"Nick Ward, Michigan St. (Big Ten)",So.,6-8,F,35,47,1.34
132,"Jonathan Galloway, UC Irvine (Big West)",Jr.,6-10,F,35,47,1.34
132,"Tyler Davis, Texas A&M (SEC)",Jr.,6-10,C,35,47,1.34
99,"Aboubacar Diallo, Eastern Ill. (OVC)",Jr.,6-8,F,31,47,1.52
136,"Isaac Haas, Purdue (Big Ten)",Sr.,7-2,C,35,46,1.31
121,"Brett Prahl, Milwaukee (Horizon)",Sr.,6-9,F,33,46,1.39
121,"Elijah Childs, Bradley (MVC)",Fr.,6-7,F,33,46,1.39
111,"Jamuni McNeace, Oklahoma (Big 12)",Jr.,6-10,C,32,46,1.44
111,"Obi Enechionyia, Temple (AAC)",Sr.,6-8,F,32,46,1.44
111,"Eric Adams, Samford (SoCon)",Sr.,6-7,F,32,46,1.44
101,"Nick Mayo, Eastern Ky. (OVC)",Jr.,6-9,F,31,46,1.48
101,"Terrell Brown, Pittsburgh (ACC)",Fr.,6-10,C,31,46,1.48
97,"Christian Mekowulu, Tennessee St. (OVC)",Jr.,6-9,F,30,46,1.53
126,"Chris Silva, South Carolina (SEC)",Jr.,6-9,F,33,45,1.36
126,"Kavion Pippen, Southern Ill. (MVC)",Jr.,0-0,C,33,45,1.36
117,"Trhae Mitchell, South Ala. (Sun Belt)",So.,6-6,F,32,45,1.41
117,"Anthony Duruji, Louisiana Tech (C-USA)",Fr.,6-7,F,32,45,1.41
107,"Cameron Jackson, Wofford (SoCon)",Jr.,6-8,F,31,45,1.45
78,"Brekkott Chapman, Weber St. (Big Sky)",Sr.,6-8,F,27,45,1.67
154,"Gary Clark, Cincinnati (AAC)",Sr.,6-8,F,36,44,1.22
146,"Grant Williams, Tennessee (SEC)",So.,6-7,F,35,44,1.26
146,"T.J. Holyfield, SFA (Southland)",Jr.,6-7,F,35,44,1.26
138,"Yauhen Massalski, San Diego (WCC)",Fr.,6-10,F,34,44,1.29
138,"Trevond Barnes, Hampton (MEAC)",Jr.,6-9,F,34,44,1.29
116,"Juwan Morgan, Indiana (Big Ten)",Jr.,6-7,F,31,44,1.42
92,"Ryghe Lyons, Nicholls St. (Southland)",Fr.,6-10,F,28,44,1.57
92,"Shawn Johnson, Incarnate Word (Southland)",Sr.,6-4,G,28,44,1.57
208,"Mikal Bridges, Villanova (Big East)",Jr.,6-7,F,40,43,1.08
191,"Lamar Stevens, Penn St. (Big Ten)",So.,6-8,F,39,43,1.1
191,"Nate Renfro, San Francisco (WCC)",Jr.,6-7,F,39,43,1.1
163,"Luke Meyer, Central Mich. (MAC)",Sr.,6-11,F,36,43,1.19
143,"Horace Spencer, Auburn (SEC)",Jr.,6-9,F,34,43,1.26
129,"Trey Porter, Old Dominion (C-USA)",Jr.,6-10,F,32,43,1.34
129,"De'Quon Lake, Arizona St. (Pac-12)",Jr.,6-10,F,32,43,1.34
129,"Clevon Brown, Vanderbilt (SEC)",So.,6-8,F,32,43,1.34
181,"Zhaire Smith, Texas Tech (Big 12)",Fr.,6-5,G,37,42,1.14
181,"Makol Mawien, Kansas St. (Big 12)",Jr.,6-9,F,37,42,1.14
161,"Jordan Session, Georgia St. (Sun Belt)",Sr.,6-8,F,35,42,1.2
151,"Kyvon Davenport, Memphis (AAC)",Jr.,6-8,F,34,42,1.24
141,"Gyorgy Goloman, UCLA (Pac-12)",Sr.,6-11,F,33,42,1.27
141,"Nicolas Claxton, Georgia (SEC)",Fr.,6-11,F,33,42,1.27
137,"Samuel Idowu, Saint Peter's (MAAC)",Jr.,6-7,F,32,42,1.31
128,"Zane Najdawi, The Citadel (SoCon)",Jr.,6-7,F,31,42,1.35
119,"Montae Glenn, Ga. Southern (Sun Belt)",Jr.,6-8,F,30,42,1.4
149,"AJ Brodeur, Penn (Ivy League)",So.,6-8,F,33,41,1.24
91,"Labarrius Hill, McNeese (Southland)",Sr.,0-0,F,26,41,1.58
205,"Johnathan Williams, Gonzaga (WCC)",Sr.,6-9,F,37,40,1.08
205,"Wenyen Gabriel, Kentucky (SEC)",So.,6-9,F,37,40,1.08
179,"Tim Bond, Eastern Mich. (MAC)",Sr.,6-7,G,35,40,1.14
159,"Nick Harris, Col. of Charleston (CAA)",Jr.,6-10,F,33,40,1.21
159,"Ladarien Griffin, St. Bonaventure (Atlantic 10)",Jr.,6-7,F,33,40,1.21
135,"Fred Iruafemi, VMI (SoCon)",Sr.,6-5,F,30,40,1.33
176,"JD Wallace, Prairie View (SWAC)",Sr.,6-9,C,34,39,1.15
176,"Keonta Vernon, Grand Canyon (WAC)",Sr.,6-6,F,34,39,1.15
176,"TK Edogi, Iona (MAAC)",Sr.,6-8,F,34,39,1.15
156,"Grant Golden, Richmond (Atlantic 10)",So.,6-9,F,32,39,1.22
156,"Shawntrez Davis, Bethune-Cookman (MEAC)",Jr.,0-0,F,32,39,1.22
156,"Dainius Chatkevicius, Evansville (MVC)",Jr.,6-9,C,32,39,1.22
145,"Blake Paul, Tulane (AAC)",Jr.,6-9,F,31,39,1.26
123,"Steve Julian, Cornell (Ivy League)",---,0-0,C,28,39,1.39
236,"Luke Maye, North Carolina (ACC)",Jr.,6-7,F,37,38,1.03
174,"Tyrell Johnson, Appalachian St. (Sun Belt)",Jr.,6-8,F,33,38,1.15
174,"Dana Batt, Colgate (Patriot)",Jr.,6-9,C,33,38,1.15
166,"Legend Robertin, Nicholls St. (Southland)",Sr.,7-1,C,32,38,1.19
166,"Develle Phillips, James Madison (CAA)",Jr.,6-9,F,32,38,1.19
166,"Che Bob, Colorado St. (MWC)",Sr.,6-6,F,32,38,1.19
153,"Cyril Langevine, Rhode Island (Atlantic 10)",So.,6-8,F,31,38,1.23
234,"Cecil Williams, Central Mich. (MAC)",Sr.,6-6,F,36,37,1.03
234,"Killian Tillie, Gonzaga (WCC)",So.,6-10,F,36,37,1.03
221,"Drew Urquhart, Vermont (America East)",Sr.,6-8,F,35,37,1.06
204,"Clint Robinson, Ill.-Chicago (Horizon)",Sr.,6-8,F,34,37,1.09
187,"Alex Hicks, Troy (Sun Belt)",Jr.,6-8,F,33,37,1.12
173,"Malik Pope, San Diego St. (MWC)",Sr.,6-10,F,32,37,1.16
164,"Mason Peatling, Eastern Wash. (Big Sky)",So.,6-8,F,31,37,1.19
164,"Devin Haygood, Youngstown St. (Horizon)",Jr.,6-7,F,31,37,1.19
152,"Bruno Fernando, Maryland (Big Ten)",Fr.,6-10,F,30,37,1.23
140,"Prokop Slanina, Fordham (Atlantic 10)",Jr.,6-10,F,29,37,1.28
237,"Mitchell Solomon, Oklahoma St. (Big 12)",Sr.,6-9,F,36,36,1
237,"Jock Landale, Saint Mary's (CA) (WCC)",Sr.,6-11,C,36,36,1
220,"Averyl Ugba, Austin Peay (OVC)",Sr.,0-0,F,34,36,1.06
201,"Bo Zeigler, George Washington (Atlantic 10)",Sr.,6-6,F,33,36,1.09
201,"Hameir Wright, Washington (Pac-12)",Fr.,6-9,F,33,36,1.09
201,"Peter Jurkin, ETSU (SoCon)",Sr.,7-0,C,33,36,1.09
185,"Isaiah Thomas, Northern Ariz. (Big Sky)",Jr.,6-9,F,32,36,1.13
185,"Eddie Keith II, Towson (CAA)",Sr.,6-5,F,32,36,1.13
172,"Muusa Dama, Eastern Ill. (OVC)",Sr.,6-9,F,31,36,1.16
161,"Jordan Jones, Charleston So. (Big South)",So.,6-8,F,30,36,1.2
125,"Jordon Varnado, Troy (Sun Belt)",Jr.,6-6,F,26,36,1.38
110,"Daquan Jeffries, Tulsa (AAC)",Jr.,6-5,F,25,36,1.44
237,"Mathieu Kamba, Central Ark. (Southland)",Sr.,6-5,G,35,35,1
237,"Matt Heldt, Marquette (Big East)",Jr.,6-10,C,35,35,1
237,"Raasean Davis, N.C. Central (MEAC)",Jr.,6-9,C,35,35,1
237,"Jason Burnell, Jacksonville St. (OVC)",Jr.,6-7,F,35,35,1
232,"Steffon Mitchell, Boston College (ACC)",Fr.,6-8,F,34,35,1.03
232,"Daniel Giddens, Alabama (SEC)",So.,6-11,F,34,35,1.03
217,"William Tinsley, Illinois St. (MVC)",---,0-0,G,33,35,1.06
217,"Pablo Rivas, N.C. Central (MEAC)",Sr.,6-6,F,33,35,1.06
217,"Ethan Happ, Wisconsin (Big Ten)",Jr.,6-10,F,33,35,1.06
196,"Dennis Tunstall, Towson (CAA)",So.,6-8,F,32,35,1.09
196,"Jonathan Kasibabu, Fairfield (MAAC)",Jr.,6-8,C,32,35,1.09
196,"Mustafa Jones, Central Conn. St. (NEC)",Sr.,6-7,F,32,35,1.09
196,"Jalyn Hinton, Jacksonville (ASUN)",Fr.,6-5,G,32,35,1.09
196,"Deion Bute, Central Conn. St. (NEC)",Jr.,6-9,C,32,35,1.09
237,"Terry Taylor, Austin Peay (OVC)",Fr.,0-0,F,34,34,1
229,"Justin Tillman, VCU (Atlantic 10)",Sr.,6-7,F,33,34,1.03
229,"Donte Thomas, Bradley (MVC)",Sr.,6-7,F,33,34,1.03
229,"Marvin Prochet, Niagara (MAAC)",Jr.,6-7,F,33,34,1.03
216,"Chad Brown, UCF (AAC)",Jr.,6-9,F,32,34,1.06
193,"AJ Wilson, George Mason (Atlantic 10)",Fr.,6-7,F,31,34,1.1
193,"Mattias Markusson, Loyola Marymount (WCC)",So.,7-3,C,31,34,1.1
193,"Josh Ferguson, Winthrop (Big South)",So.,6-8,C,31,34,1.1
183,"Dallas Walton, Colorado (Pac-12)",Fr.,7-0,C,30,34,1.13
183,"Jessie Govan, Georgetown (Big East)",Jr.,6-10,C,30,34,1.13
170,"Damarion Geter, Longwood (Big South)",---,0-0,,29,34,1.17
170,"Zion Cousins, Howard (MEAC)",Fr.,6-7,F,29,34,1.17
144,"Stephen Ugochukwu, McNeese (Southland)",Sr.,6-7,C,27,34,1.26
237,"Jeremiah Tilmon, Missouri (SEC)",Fr.,6-10,F,33,33,1
237,"Isaac Copeland, Nebraska (Big Ten)",Jr.,6-9,F,33,33,1
228,"Ramel Thompkins, USC Upstate (ASUN)",Sr.,6-7,F,32,33,1.03
215,"Abdoulaye Gueye, Georgia Tech (ACC)",Jr.,6-9,F,31,33,1.06
169,"Amir Smith, Fla. Atlantic (C-USA)",Jr.,6-6,F,28,33,1.18
154,"Osasumwen Osaghae, FIU (C-USA)",So.,6-7,F,27,33,1.22
237,"Jordan Murphy, Minnesota (Big Ten)",Jr.,6-6,F,32,32,1
237,"Zach Coleman, LIU Brooklyn (NEC)",Sr.,6-7,F,32,32,1
227,"Matt Pile, Omaha (Summit League)",Fr.,6-8,F,31,32,1.03
212,"Novak Topalovic, Idaho St. (Big Sky)",Jr.,7-0,C,30,32,1.07
212,"Jaume Sorolla, Valparaiso (MVC)",So.,7-0,C,30,32,1.07
212,"Josh Gantz, UMass Lowell (America East)",Jr.,6-7,F,30,32,1.07
190,"Nate Grimes, Fresno St. (MWC)",So.,6-8,F,29,32,1.1
179,"Justyn Mutts, High Point (Big South)",Fr.,6-7,F,28,32,1.14
237,"Jackson Rowe, Cal St. Fullerton (Big West)",So.,6-7,F,31,31,1
224,"Keenan Simmons, SIUE (OVC)",Sr.,6-6,F,30,31,1.03
