Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
1,"Hassan Whiteside, Marshall (C-USA)",Fr.,7-0,C,34,182,5.4
2,"Jarvis Varnado, Mississippi St. (SEC)",Sr.,6-9,F,36,170,4.7
3,"Hamady Ndiaye, Rutgers (AAC)",Sr.,7-0,C,32,145,4.5
5,"Ekpe Udoh, Baylor (Big 12)",Jr.,6-10,C,36,133,3.7
6,"Cole Aldrich, Kansas (Big 12)",Jr.,6-11,C,36,125,3.5
8,"Keith Benson, Oakland (Summit League)",Jr.,6-11,C,35,117,3.3
4,"David Foster, Utah (MWC)",So.,7-3,C,29,115,4
9,"Patrick Sullivan, Southeastern La. (Southland)",Sr.,6-9,C,31,102,3.3
14,"Omar Samhan, Saint Mary's (CA) (WCC)",Sr.,6-11,C,34,99,2.9
7,"William Mosley, Northwestern St. (Southland)",So.,6-7,C,29,98,3.4
10,"Sam Muldrow, South Carolina (SEC)",Jr.,6-9,F,31,97,3.1
17,"Tony Easley, Murray St. (OVC)",Sr.,6-9,C,36,95,2.6
13,"Damian Saunders, Duquesne (Atlantic 10)",Jr.,6-7,F,32,94,2.9
15,"Greg Washington, Hofstra (CAA)",Jr.,6-10,F,33,92,2.8
18,"Larry Sanders, VCU (CAA)",Jr.,6-11,F,35,90,2.6
12,"Brett Royster, Fla. Atlantic (Sun Belt)",Jr.,6-8,F,30,90,3
11,"Robert Nwankwo, Towson (CAA)",Jr.,6-8,F,27,83,3.1
26,"Jerome Jordan, Tulsa (C-USA)",Sr.,7-0,C,35,82,2.3
23,"Anthony Johnson, Fairfield (MAAC)",Sr.,6-8,F,34,82,2.4
16,"John Williams, UNC Asheville (Big South)",Jr.,6-4,F,30,82,2.7
36,"Dallas Lauderdale, Ohio St. (Big Ten)",Jr.,6-8,F,36,77,2.1
27,"Nkem Ojougboh, Northeastern (CAA)",Sr.,6-9,C,33,77,2.3
22,"Eli Holman, Detroit Mercy (Horizon)",So.,6-9,C,31,77,2.5
19,"Deilvez Yearby, Purdue Fort Wayne (Summit League)",Sr.,6-6,F,30,76,2.5
24,"Jamie Jones, Portland St. (Big Sky)",Sr.,6-7,F,32,75,2.3
24,"Solomon Alabi, Florida St. (ACC)",So.,7-1,C,32,75,2.3
20,"James Granstra, Western Ill. (Summit League)",Jr.,6-10,F,30,75,2.5
20,"Cruz Daniels, High Point (Big South)",Sr.,6-11,C,30,75,2.5
49,"Curtis Kelly, Kansas St. (Big 12)",Jr.,6-9,F,37,74,2
46,"Derrick Favors, Georgia Tech (ACC)",Fr.,6-10,F,36,74,2.1
29,"T. Vazquez-Simmons, Canisius (MAAC)",Jr.,6-7,C,32,74,2.3
41,"Willie Reed, Saint Louis (Atlantic 10)",So.,6-9,F,35,73,2.1
35,"Will Coleman, Memphis (C-USA)",Jr.,6-9,F,34,73,2.1
45,"JaJuan Johnson, Purdue (Big Ten)",Jr.,6-10,F,35,72,2.1
40,"Magnum Rolle, Louisiana Tech (WAC)",Sr.,6-11,F,34,71,2.1
31,"Thomas Coleman, N.C. A&T (MEAC)",Jr.,6-9,C,32,71,2.2
27,"Aaric Murray, La Salle (Atlantic 10)",Fr.,6-10,C,30,70,2.3
52,"Rick Jackson, Syracuse (AAC)",Jr.,6-9,F,35,69,2
48,"Gavin Edwards, UConn (AAC)",Sr.,6-10,F,34,69,2
75,"DeMarcus Cousins, Kentucky (SEC)",Fr.,6-11,F,38,67,1.8
58,"Kenneth Faried, Morehead St. (OVC)",Jr.,6-8,C,35,67,1.9
58,"Marqus Blakely, Vermont (America East)",Sr.,6-5,F,35,67,1.9
53,"Halil Kanacevic, Hofstra (CAA)",Fr.,6-8,F,34,67,2
34,"DeAngelo Casto, Washington St. (Pac-12)",So.,6-8,F,31,67,2.2
55,"Dario Hunt, Nevada (WAC)",So.,6-8,F,34,66,1.9
60,"Robert Sacre, Gonzaga (WCC)",So.,7-0,C,34,65,1.9
60,"Damian Johnson, Minnesota (Big Ten)",Sr.,6-7,F,34,65,1.9
37,"Artsiom Parakhouski, Radford (Big South)",Sr.,6-11,C,31,65,2.1
37,"Kenny Onyechi, LIU Brooklyn (NEC)",Fr.,6-7,F,31,65,2.1
37,"Phil Jones, Charlotte (Atlantic 10)",Jr.,6-10,C,31,65,2.1
33,"Mike Muscala, Bucknell (Patriot)",Fr.,6-10,F,30,65,2.2
69,"Wes Johnson, Syracuse (AAC)",Jr.,6-7,F,35,64,1.8
43,"Marvin Jefferson, Idaho (WAC)",Sr.,6-10,C,31,64,2.1
43,"Reginald Buckner, Ole Miss (SEC)",Fr.,6-8,F,31,64,2.1
32,"Matt Hodgson, Southern Utah (Summit League)",Fr.,6-11,C,29,64,2.2
63,"Dexter Pittman, Texas (Big 12)",Sr.,6-10,C,34,63,1.9
63,"Jeff Foote, Cornell (Ivy League)",Sr.,7-0,C,34,63,1.9
56,"Rory Spencer, Ga. Southern (SoCon)",Jr.,6-8,F,32,62,1.9
71,"Jeremy Evans, Western Ky. (Sun Belt)",Sr.,6-9,F,34,61,1.8
54,"Brandon Peterson, Arkansas St. (Sun Belt)",Fr.,6-7,F,31,61,2
47,"Brian Qvale, Montana (Big Sky)",Jr.,6-11,C,30,61,2
79,"Darrius Garrett, Richmond (Atlantic 10)",So.,6-8,F,35,60,1.7
70,"Gary Flowers, Southern Miss. (C-USA)",Jr.,6-8,F,33,60,1.8
85,"Mike Tisdale, Illinois (Big Ten)",Jr.,7-1,C,36,59,1.6
82,"Zeke Marshall, Akron (MAC)",Fr.,7-0,C,35,59,1.7
77,"Gary McGhee, Pittsburgh (AAC)",Jr.,6-10,C,34,59,1.7
67,"Herb Pope, Seton Hall (AAC)",So.,6-8,F,32,59,1.8
62,"Bilal Dixon, Providence (AAC)",Fr.,6-8,C,31,59,1.9
30,"John Fields, UNCW (CAA)",Jr.,6-9,C,26,59,2.3
97,"John Henson, North Carolina (ACC)",Fr.,6-10,F,37,58,1.6
80,"Bryan Davis, Texas A&M (Big 12)",Sr.,6-9,F,34,58,1.7
49,"Liam Potter, Sacred Heart (NEC)",Sr.,7-0,C,29,58,2
87,"Sam McLaurin, Coastal Caro. (Big South)",Fr.,6-8,F,35,57,1.6
57,"Jeremy Simmons, Col. of Charleston (SoCon)",Jr.,6-8,F,29,56,1.9
68,"Andrew Nicholson, St. Bonaventure (Atlantic 10)",So.,6-9,F,30,55,1.8
106,"Matthew Bryan-Amaning, Washington (Pac-12)",Jr.,6-9,F,36,54,1.5
94,"Alex Oriakhi, UConn (AAC)",Fr.,6-9,C,34,54,1.6
76,"Jerai Grant, Clemson (ACC)",Jr.,6-8,F,31,54,1.7
42,"Alvin Mofunanya, Fairleigh Dickinson (NEC)",Sr.,6-8,F,26,54,2.1
133,"Daniel Orton, Kentucky (SEC)",Fr.,6-11,F,38,53,1.4
120,"Chris Wright, Dayton (Atlantic 10)",Jr.,6-8,F,37,53,1.4
120,"Kevin Thompson, Morgan St. (MEAC)",So.,6-8,F,37,53,1.4
90,"Kashief Edwards, Niagara (MAAC)",So.,6-6,F,33,53,1.6
84,"Ralph Sampson III, Minnesota (Big Ten)",So.,6-11,F,32,53,1.7
101,"Malcolm Thomas, San Diego St. (MWC)",Jr.,6-9,F,34,52,1.5
101,"Greg Monroe, Georgetown (AAC)",So.,6-11,C,34,52,1.5
88,"LaDaris Green, Kennesaw St. (ASUN)",Fr.,6-9,F,32,52,1.6
83,"JaMychal Green, Alabama (SEC)",So.,6-9,F,31,52,1.7
151,"Patrick Patterson, Kentucky (SEC)",Jr.,6-9,F,38,51,1.3
93,"Charles Funches, Hampton (MEAC)",Jr.,6-8,F,32,51,1.6
81,"Kyle O'Quinn, Norfolk St. (MEAC)",So.,6-10,F,30,51,1.7
135,"Robert Glenn, IUPUI (Summit League)",Sr.,6-7,F,36,50,1.4
122,"Jason Love, Xavier (Atlantic 10)",Sr.,6-9,F,35,50,1.4
122,"Lavoy Allen, Temple (Atlantic 10)",Jr.,6-9,F,35,50,1.4
108,"Kenny Lawson Jr., Creighton (MVC)",Jr.,6-9,C,34,50,1.5
98,"Marc Trasolini, Santa Clara (WCC)",So.,6-9,F,32,50,1.6
78,"Christopher Duncan, Alabama St. (SWAC)",Jr.,6-8,F,29,50,1.7
72,"Chris Gaston, Fordham (Atlantic 10)",Fr.,6-7,F,28,50,1.8
72,"D,J. Cunnigham, UNC Asheville (Big South)",Fr.,6-10,C,28,50,1.8
65,"Darnell Hugee, Prairie View (SWAC)",Sr.,6-7,F,27,50,1.9
65,"Bo Amusa, Alabama A&M (SWAC)",Jr.,6-6,F,27,50,1.9
49,"Greg Mangano, Yale (Ivy League)",So.,6-10,F,25,50,2
143,"Gani Lawal, Georgia Tech (ACC)",Jr.,6-9,F,36,49,1.4
116,"Julian Vaughn, Georgetown (AAC)",Jr.,6-9,F,34,49,1.4
116,"Isiah Brown, ETSU (ASUN)",Jr.,6-8,F,34,49,1.4
86,"Michael Morrison, George Mason (CAA)",So.,6-9,F,30,49,1.6
167,"Wayne Chism, Tennessee (SEC)",Sr.,6-9,F,37,48,1.3
128,"Ryan Olander, Fairfield (MAAC)",So.,6-11,F,34,48,1.4
128,"Laurence Bowers, Missouri (Big 12)",So.,6-8,F,34,48,1.4
114,"A.J. Ogilvy, Vanderbilt (SEC)",Jr.,6-11,C,33,48,1.5
114,"Kevin Ford, Oral Roberts (Summit League)",Sr.,6-9,F,33,48,1.5
106,"Chris Singleton, Florida St. (ACC)",So.,6-9,F,32,48,1.5
99,"Stephen Lumpkins, American (Patriot)",So.,6-8,F,31,48,1.5
91,"Matt Sauey, North Florida (ASUN)",So.,6-7,F,30,48,1.6
91,"Matt Mullery, Brown (Ivy League)",Sr.,6-8,F,30,48,1.6
74,"Amadou Mbodji, Jacksonville St. (OVC)",Sr.,6-10,F,27,48,1.8
125,"Donald Lawson, Western Mich. (MAC)",Sr.,6-10,C,33,47,1.4
109,"Coy Custer, Lamar University (Southland)",Jr.,6-10,C,32,47,1.5
171,"Noah Hartsock, BYU (MWC)",So.,6-8,F,36,46,1.3
157,"Tai Wesley, Utah St. (WAC)",Jr.,6-7,F,35,46,1.3
148,"Lebaron Weathers, Ark.-Pine Bluff (SWAC)",Sr.,6-8,F,34,46,1.4
134,"Jackie Carmichael, Illinois St. (MVC)",Fr.,6-9,F,33,46,1.4
119,"Ike Okoye, Boise St. (WAC)",Sr.,6-9,F,32,46,1.4
100,"Shane Walker, Loyola Maryland (MAAC)",So.,6-10,F,30,46,1.5
176,"Delroy James, Rhode Island (Atlantic 10)",Jr.,6-8,F,36,45,1.3
141,"Seth VanDeest, Drake (MVC)",Fr.,6-10,C,33,45,1.4
141,"James Porter, N.C. A&T (MEAC)",---,0-0,,33,45,1.4
130,"Keith Clanton, UCF (C-USA)",Fr.,6-8,F,32,45,1.4
130,"Trevor Booker, Clemson (ACC)",Sr.,6-7,F,32,45,1.4
175,"A.J. Hardeman, New Mexico (MWC)",So.,6-8,F,35,44,1.3
168,"D'walyn Roberts, Texas Tech (Big 12)",Jr.,6-7,F,34,44,1.3
137,"Adam Constantine, Elon (SoCon)",Sr.,6-8,F,32,44,1.4
126,"Storm Warren, LSU (SEC)",So.,6-7,F,31,44,1.4
126,"Al-Farouq Aminu, Wake Forest (ACC)",So.,6-9,F,31,44,1.4
110,"Tyren Johnson, Louisiana (Sun Belt)",Sr.,6-8,F,30,44,1.5
110,"Joe Efese, Central Conn. St. (NEC)",Fr.,6-6,F,30,44,1.5
110,"Pete Brown, UNCG (SoCon)",Sr.,6-6,F,30,44,1.5
110,"Ben Averkamp, Loyola Chicago (Horizon)",Fr.,6-8,F,30,44,1.5
103,"Stan Okoye, VMI (Big South)",Fr.,6-5,F,29,44,1.5
103,"Lenny Daniel, CSUN (Big West)",Jr.,6-7,F,29,44,1.5
103,"Ryan Bacon, Saint Peter's (MAAC)",Jr.,6-6,F,29,44,1.5
95,"Alex Stepheson, Southern California (Pac-12)",Jr.,6-9,F,28,44,1.6
95,"Chris Oakes, San Jose St. (WAC)",Sr.,6-10,F,28,44,1.6
192,"Will Martell, Rhode Island (Atlantic 10)",Jr.,7-0,C,36,43,1.2
150,"Festus Ezeli, Vanderbilt (SEC)",So.,6-11,C,32,43,1.3
136,"Rudy Turner, La.-Monroe (Sun Belt)",Jr.,6-8,F,31,43,1.4
188,"Jake O'Brien, Boston U. (America East)",So.,6-8,F,35,42,1.2
188,"Evan Fjeld, Vermont (America East)",Jr.,6-8,F,35,42,1.2
179,"Jeff Allen, Virginia Tech (ACC)",Jr.,6-7,F,34,42,1.2
173,"Hamidu Rahman, New Mexico St. (WAC)",So.,6-11,C,33,42,1.3
158,"Marshawn Powell, Arkansas (SEC)",Fr.,6-7,F,32,42,1.3
158,"Trevor Ottley, Middle Tenn. (Sun Belt)",Jr.,6-9,F,32,42,1.3
158,"Sean Carter, Massachusetts (Atlantic 10)",So.,6-9,F,32,42,1.3
146,"Johndre Jefferson, South Carolina (SEC)",Jr.,6-9,F,31,42,1.4
146,"Mahamoud Jabbi, Binghamton (America East)",Jr.,6-7,F,31,42,1.4
132,"Zahir Carrington, Lehigh (Patriot)",Sr.,6-7,F,30,42,1.4
89,"Ater Majok, UConn (AAC)",Fr.,6-10,F,26,42,1.6
187,"Stanley Robinson, UConn (AAC)",Sr.,6-9,F,34,41,1.2
178,"Jorge Brian Diaz, Nebraska (Big 12)",Fr.,6-11,C,33,41,1.2
170,"Casaan Breeden, Col. of Charleston (SoCon)",Sr.,6-8,F,32,41,1.3
139,"Sean Thurston, Jacksonville St. (OVC)",Jr.,6-7,F,30,41,1.4
139,"Quinton Doggett, Southern U. (SWAC)",So.,6-8,F,30,41,1.4
198,"Damion James, Texas (Big 12)",Sr.,6-7,F,34,40,1.2
185,"Greg Smith, Fresno St. (WAC)",Fr.,6-10,C,33,40,1.2
185,"Brian Mills, Mercer (ASUN)",Jr.,6-6,F,33,40,1.2
176,"Terrence Jennings, Louisville (AAC)",So.,6-10,F,32,40,1.3
152,"Kelly Beidler, Mt. St. Mary's (NEC)",Sr.,6-5,F,30,40,1.3
122,"George Akpele, Grambling (SWAC)",Sr.,6-9,F,28,40,1.4
223,"Josh Lomers, Baylor (Big 12)",Sr.,7-0,C,36,39,1.1
215,"Billy Pettiford, IUPUI (Summit League)",Sr.,6-7,F,35,39,1.1
197,"Landon Milbourne, Maryland (ACC)",Sr.,6-7,F,33,39,1.2
183,"Demond Watt, A&M-Corpus Christi (Southland)",Jr.,6-7,F,32,39,1.2
183,"Trey Hampton, Georgia St. (CAA)",Sr.,6-7,F,32,39,1.2
163,"Mitchell Watt, Buffalo (MAC)",So.,6-10,F,30,39,1.3
163,"Nikola Vucevic, Southern California (Pac-12)",So.,6-10,F,30,39,1.3
163,"William McClure, Central Mich. (MAC)",Jr.,6-7,C,30,39,1.3
163,"Zack Atkinson, UC Irvine (Big West)",Sr.,6-9,C,30,39,1.3
149,"Terrence Watson, Ball St. (MAC)",Sr.,6-5,F,29,39,1.3
250,"Wellington Smith, West Virginia (AAC)",Sr.,6-7,F,38,38,1
249,"Andre Williamson, Appalachian St. (SoCon)",So.,6-7,F,37,38,1
213,"Keith Ramsey, Missouri (Big 12)",Sr.,6-9,F,34,38,1.1
213,"Terrell Bell, Virginia Tech (ACC)",Jr.,6-6,F,34,38,1.1
205,"Maurice McNeil, Houston (C-USA)",Jr.,6-9,F,33,38,1.2
195,"Drew Viney, Loyola Marymount (WCC)",So.,6-5,F,32,38,1.2
