,,,,,,,
,,,,,,,
Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
86,"Amir Williams, Ohio St. (Big Ten)",Jr.,6-11,C,35,62,1.77
86,"Tre Hale-Edmerson, CSUN (Big West)",So.,6-9,F,35,62,1.77
71,"Justin Sears, Yale (Ivy League)",So.,6-8,F,32,62,1.94
90,"Prince Ibeh, Texas (Big 12)",So.,6-10,C,35,61,1.74
90,"Michael Holyfield, Sam Houston St. (Southland)",Jr.,6-10,C,35,61,1.74
83,"Shaq Goodwin, Memphis (AAC)",So.,6-9,F,34,61,1.79
80,"Tony Wroblicky, American (Patriot)",Sr.,6-10,F,33,61,1.85
65,"Brandon Peel, Central Conn. St. (NEC)",So.,6-7,F,30,61,2.03
88,"Jarvis Williams, Murray St. (OVC)",Jr.,6-8,F,34,60,1.76
93,"Kenneth Hall, Western Caro. (SoCon)",Jr.,6-7,F,34,59,1.74
98,"Vashil Fernandez, Valparaiso (Horizon)",Jr.,6-10,F,34,58,1.71
89,"Alex Olah, Northwestern (Big Ten)",So.,7-0,C,33,58,1.76
81,"Len Springs, Northern Ariz. (Big Sky)",Jr.,6-10,C,32,58,1.81
76,"Steve Zack, La Salle (Atlantic 10)",Jr.,6-11,C,31,58,1.87
76,"Lucas Troutman, Elon (SoCon)",Sr.,6-10,F,31,58,1.87
63,"Adam Kemp, Marist (MAAC)",Sr.,6-10,C,28,58,2.07
106,"Johnathan Williams III, Missouri (SEC)",Fr.,6-9,F,35,57,1.63
84,"Scott Eatherton, Northeastern (CAA)",Jr.,6-8,F,32,57,1.78
57,"Marvin Frazier, Northwestern St. (Southland)",Jr.,6-8,C,27,57,2.11
99,"Trayvonn Wright, North Dakota St. (Summit League)",Sr.,6-7,F,33,56,1.7
72,"Phabien Glasco, Central Ark. (Southland)",Fr.,6-7,F,29,56,1.93
122,"Maurice Ndour, Ohio (MAC)",Jr.,6-9,F,36,55,1.53
95,"Amdy Fall, St. Francis Brooklyn (NEC)",So.,6-6,F,32,55,1.72
