Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
2,"Jeff Withey, Kansas (Big 12)",Sr.,7-0,C,37,146,3.95
1,"Chris Obekpa, St. John's (NY) (AAC)",Fr.,6-9,C,33,133,4.03
3,"Zeke Marshall, Akron (MAC)",Sr.,7-0,C,33,122,3.7
4,"Jordan Bachynski, Arizona St. (Pac-12)",Jr.,7-2,C,35,120,3.43
11,"Austin Witter, N.C. A&T (MEAC)",Sr.,6-8,F,37,109,2.95
7,"Damian Eargle, Youngstown St. (Horizon)",Sr.,6-7,F,32,102,3.19
5,"Chris Horton, Austin Peay (OVC)",Fr.,6-8,C,31,100,3.23
6,"Fred Sturdivant, Texas Southern (SWAC)",Sr.,6-7,F,31,99,3.19
13,"Reginald Buckner, Ole Miss (SEC)",Sr.,6-9,F,36,98,2.72
18,"D.J. Stephens, Memphis (C-USA)",Sr.,6-5,F,36,95,2.64
10,"Rhamel Brown, Manhattan (MAAC)",Jr.,6-7,F,32,95,2.97
8,"D,J. Cunnigham, UNC Asheville (Big South)",Jr.,6-10,C,31,93,3
8,"D.J. Covington, VMI (Big South)",Jr.,6-9,F,31,93,3
15,"Michale Kyser, Louisiana Tech (WAC)",So.,6-9,F,34,92,2.71
16,"Cheikh Mbodj, Cincinnati (AAC)",Sr.,6-10,C,34,90,2.65
12,"Taylor Smith, SFA (Southland)",Sr.,6-6,F,32,90,2.81
19,"Javon McCrea, Buffalo (MAC)",Jr.,6-6,F,34,89,2.62
28,"Will Davis II, UC Irvine (Big West)",So.,6-8,C,36,88,2.44
21,"Jyles Smith, Savannah St. (MEAC)",Jr.,6-8,F,34,87,2.56
14,"Tony Mitchell, North Texas (Sun Belt)",So.,6-8,F,32,87,2.72
29,"Sim Bhullar, New Mexico St. (WAC)",Fr.,7-5,C,35,85,2.43
22,"Nino Johnson, Southeast Mo. St. (OVC)",So.,6-8,F,33,84,2.55
24,"Gorgui Dieng, Louisville (AAC)",Jr.,6-11,C,33,83,2.52
17,"C.J. Aiken, Saint Joseph's (Atlantic 10)",Jr.,6-9,F,31,82,2.65
33,"Mike Muscala, Bucknell (Patriot)",Sr.,6-11,F,34,80,2.35
30,"Jamelle Hagins, Delaware (CAA)",Sr.,6-9,F,33,80,2.42
53,"Alex Len, Maryland (ACC)",So.,7-1,C,38,78,2.05
26,"Du'Vaughn Maxwell, Hampton (MEAC)",Jr.,6-7,F,31,77,2.48
34,"Chris Udofia, Denver (WAC)",Jr.,6-6,F,32,75,2.34
20,"Kendall Gray, Delaware St. (MEAC)",So.,6-10,C,29,75,2.59
73,"Rakeem Christmas, Syracuse (AAC)",So.,6-9,F,40,73,1.83
47,"Jared Berggren, Wisconsin (Big Ten)",Sr.,6-10,C,35,73,2.09
36,"Richaun Holmes, Bowling Green (MAC)",So.,6-8,F,32,73,2.28
23,"Eric Moreland, Oregon St. (Pac-12)",So.,6-10,F,29,73,2.52
27,"Javier Carter, South Ala. (Sun Belt)",Sr.,6-7,F,29,72,2.48
65,"Cory Jefferson, Baylor (Big 12)",Jr.,6-9,F,37,71,1.92
46,"Josh Huestis, Stanford (Pac-12)",Jr.,6-7,F,34,71,2.09
43,"Jordan Reves, UT Arlington (WAC)",Sr.,6-10,F,33,71,2.15
38,"James Vincent, Georgia St. (CAA)",Sr.,6-10,C,31,70,2.26
42,"Kelvin Penn, Fla. Atlantic (Sun Belt)",So.,6-6,F,32,69,2.16
52,"Jackie Carmichael, Illinois St. (MVC)",Sr.,6-9,F,33,68,2.06
39,"Martin Seiferth, Eastern Wash. (Big Sky)",So.,6-10,F,31,68,2.19
39,"Adam Kemp, Marist (MAAC)",Jr.,6-10,F,31,68,2.19
37,"Isaiah Armwood, George Washington (Atlantic 10)",Sr.,6-9,F,30,68,2.27
58,"Da'Shonte Riley, Eastern Mich. (MAC)",Jr.,7-0,C,34,67,1.97
58,"A.J. Hammons, Purdue (Big Ten)",Fr.,7-0,C,34,67,1.97
57,"Brandon Goode, Norfolk St. (MEAC)",Jr.,7-0,C,33,66,2
44,"Dewayne Dedmon, Southern California (Pac-12)",Jr.,7-0,F,31,66,2.13
31,"Cedric Kuakumensah, Brown (Ivy League)",Fr.,6-8,C,28,66,2.36
31,"Venky Jois, Eastern Wash. (Big Sky)",Fr.,6-7,F,28,66,2.36
60,"Shawn Long, Louisiana (Sun Belt)",Fr.,6-9,F,33,65,1.97
56,"Steven Adams, Pittsburgh (AAC)",Fr.,7-0,C,32,65,2.03
25,"Terell Parks, Western Ill. (Summit League)",Sr.,6-7,F,26,65,2.5
81,"Egidijus Mockevicius, Evansville (MVC)",Fr.,6-10,C,36,64,1.78
70,"Alex Smith, Bethune-Cookman (MEAC)",Sr.,6-7,F,34,64,1.88
61,"Jordan Henriquez, Kansas St. (Big 12)",Sr.,7-0,C,33,64,1.94
50,"Lucas Troutman, Elon (SoCon)",Jr.,6-10,F,31,64,2.06
50,"Daniel Miller, Georgia Tech (ACC)",Jr.,6-11,C,31,64,2.06
35,"Alan Williams, UC Santa Barbara (Big West)",So.,6-7,C,28,64,2.29
82,"Julian Gamble, Miami (FL) (ACC)",Sr.,6-10,F,36,63,1.75
78,"Alex Kirk, New Mexico (MWC)",Jr.,7-0,C,35,63,1.8
55,"Keith Clanton, UCF (C-USA)",Sr.,6-8,F,31,63,2.03
93,"Joel Bolomboy, Weber St. (Big Sky)",Fr.,6-9,F,37,62,1.68
86,"Gregory Echenique, Creighton (MVC)",Sr.,6-9,C,36,62,1.72
74,"Alonzo Nelson-Ododa, Richmond (Atlantic 10)",Fr.,6-9,F,34,62,1.82
74,"Levi Giese, Lafayette (Patriot)",Sr.,6-9,F,34,62,1.82
79,"Trayvonn Wright, North Dakota St. (Summit League)",Jr.,6-7,F,34,61,1.79
66,"Marques Oliver, Delaware St. (MEAC)",Sr.,6-7,F,32,61,1.91
41,"Shaquille Duncan, Morgan St. (MEAC)",So.,6-9,F,28,61,2.18
76,"Robert Sampson, East Carolina (C-USA)",Jr.,6-8,F,33,60,1.82
71,"Nigel Spikes, Marshall (C-USA)",Sr.,6-10,C,32,60,1.88
62,"Jayson Cheesman, Southern Utah (Big Sky)",Jr.,6-11,C,31,60,1.94
62,"Jerrelle Benimon, Towson (CAA)",Jr.,6-8,F,31,60,1.94
49,"Willie Cauley-Stein, Kentucky (SEC)",Fr.,7-0,F,29,60,2.07
83,"Alec Brown, Green Bay (Horizon)",Jr.,7-1,C,34,59,1.74
72,"Cannen Cunningham, SMU (C-USA)",So.,6-9,C,32,59,1.84
45,"Kenyatta Smith, Harvard (Ivy League)",So.,6-8,C,28,59,2.11
106,"Patric Young, Florida (SEC)",Jr.,6-9,C,37,58,1.57
95,"Shayne Whittington, Western Mich. (MAC)",Sr.,6-10,C,35,58,1.66
95,"Isaiah Austin, Baylor (Big 12)",Fr.,7-1,C,35,58,1.66
64,"Ben Aird, Utah Valley (GWC)",Jr.,6-9,C,30,58,1.93
48,"K.J. McDaniels, Clemson (ACC)",So.,6-5,G,28,58,2.07
67,"Richard Ross, Old Dominion (CAA)",So.,6-7,F,30,57,1.9
54,"Nate Maxey, A&M-Corpus Christi (Southland)",So.,6-11,F,28,57,2.04
109,"Ehimen Orukpe, Wichita St. (MVC)",Sr.,7-0,C,36,56,1.56
99,"Jake Cohen, Davidson (SoCon)",Sr.,6-10,F,34,56,1.65
91,"David Kravish, California (Pac-12)",So.,6-9,F,33,56,1.7
101,"Jito Kok, San Diego (WCC)",Fr.,6-9,C,34,55,1.62
94,"Tashawn Thomas, Houston (C-USA)",So.,6-8,G,33,55,1.67
87,"Leonard Washington, Wyoming (MWC)",Sr.,6-7,F,32,55,1.72
87,"Carl Hall, Wichita St. (MVC)",Sr.,6-8,F,32,55,1.72
132,"Marc Trasolini, Santa Clara (WCC)",Jr.,6-9,F,38,54,1.42
104,"Alex Oriakhi, Missouri (SEC)",Sr.,6-9,F,34,54,1.59
100,"Jodd Maxey, USC Upstate (ASUN)",Jr.,6-8,F,33,54,1.64
92,"Ian Chiles, Morgan St. (MEAC)",Jr.,7-2,C,32,54,1.69
90,"Jordan Heath, Canisius (MAAC)",Jr.,6-10,F,31,53,1.71
124,"Mason Plumlee, Duke (ACC)",Sr.,6-10,F,36,52,1.44
124,"Moussa Gueye, Alabama (SEC)",Jr.,7-0,C,36,52,1.44
80,"Brandon Moore, Southern U. (SWAC)",Sr.,6-10,C,29,52,1.79
114,"Skylar Spencer, San Diego St. (MWC)",Fr.,6-9,F,34,51,1.5
68,"Shonn Miller, Cornell (Ivy League)",So.,6-7,F,27,51,1.89
146,"Amir Williams, Ohio St. (Big Ten)",So.,6-11,C,37,50,1.35
102,"Donnavan Kirk, DePaul (AAC)",Jr.,6-9,F,31,50,1.61
102,"Edward Daniel, Murray St. (OVC)",Sr.,6-7,F,31,50,1.61
84,"Andre Marhold, Duquesne (Atlantic 10)",Sr.,6-6,F,29,50,1.72
84,"John Bohannon, UTEP (C-USA)",Jr.,6-10,C,29,50,1.72
157,"Chase Fieler, FGCU (ASUN)",Jr.,6-8,F,37,49,1.32
142,"Nnanna Egwu, Illinois (Big Ten)",So.,6-10,C,36,49,1.36
127,"Trevor Mbakwe, Minnesota (Big Ten)",Sr.,6-8,F,34,49,1.44
127,"Jordan Fouse, Green Bay (Horizon)",Fr.,6-7,G,34,49,1.44
117,"Jason Washburn, Utah (Pac-12)",Sr.,7-0,C,33,49,1.48
105,"Demarquelle Tabb, Alabama A&M (SWAC)",Sr.,6-5,F,31,49,1.58
77,"Jordan Hare, Rhode Island (Atlantic 10)",Fr.,6-10,F,27,49,1.81
69,"Alex Brown, San Jose St. (WAC)",Jr.,6-11,C,26,49,1.88
135,"Matt Staff, Texas St. (WAC)",Sr.,6-10,F,34,48,1.41
122,"Jameel Warney, Stony Brook (America East)",Fr.,6-8,F,33,48,1.45
97,"Mike Allison, Maine (America East)",Sr.,6-9,C,29,48,1.66
89,"Nick Cook, Jacksonville St. (OVC)",Jr.,6-6,F,28,48,1.71
172,"Eric McKnight, FGCU (ASUN)",So.,6-9,F,37,47,1.27
148,"Andre Nation, James Madison (CAA)",Fr.,6-4,G,35,47,1.34
148,"Damen Bell-Holter, Oral Roberts (Southland)",Sr.,6-10,F,35,47,1.34
138,"Jon Smith, Ohio (MAC)",Jr.,6-7,F,34,47,1.38
130,"Mitch Wilmer, North Dakota (Big Sky)",Sr.,6-11,C,33,47,1.42
130,"Cameron Ridley, Texas (Big 12)",Fr.,6-9,C,33,47,1.42
119,"Omar Oraby, Southern California (Pac-12)",Jr.,7-2,C,32,47,1.47
113,"Aaric Murray, West Virginia (Big 12)",Jr.,6-10,C,31,47,1.52
107,"Keith Rendleman, UNCW (CAA)",Sr.,6-8,F,30,47,1.57
107,"Joe Efese, Central Conn. St. (NEC)",Sr.,6-6,F,30,47,1.57
217,"Baye Moussa Keita, Syracuse (AAC)",Jr.,6-10,C,40,46,1.15
168,"Adreian Payne, Michigan St. (Big Ten)",Jr.,6-10,F,36,46,1.28
168,"Kenny Kadji, Miami (FL) (ACC)",Sr.,6-11,F,36,46,1.28
168,"Daveon Boardingham, Southern Miss. (C-USA)",Jr.,6-7,F,36,46,1.28
145,"Renaldo Dixon, New Mexico St. (WAC)",Jr.,6-10,F,34,46,1.35
118,"J.T. Adenrele, UC Davis (Big West)",So.,6-7,F,31,46,1.48
