Rank,Player,Cl,Ht,Pos,G,BLKS,BKPG
199,"Melsahn Basabe, Iowa (Big Ten)",Jr.,6-7,F,38,45,1.18
179,"Cody Zeller, Indiana (Big Ten)",So.,7-0,F,36,45,1.25
123,"Nathan Healy, Appalachian St. (SoCon)",Sr.,6-7,F,31,45,1.45
114,"Deandre Daniels, UConn (AAC)",So.,6-8,F,30,45,1.5
186,"Jake Koch, UNI (MVC)",Sr.,6-9,F,36,44,1.22
178,"Adjehi Baru, Col. of Charleston (SoCon)",So.,6-9,F,35,44,1.26
163,"Daniel Coursey, Mercer (ASUN)",Jr.,6-10,F,34,44,1.29
163,"Glenn Bryant, Eastern Mich. (MAC)",Jr.,6-8,C,34,44,1.29
150,"Rodney Williams, Minnesota (Big Ten)",Sr.,6-7,G,33,44,1.33
150,"Tyler Stone, Southeast Mo. St. (OVC)",Jr.,6-8,F,33,44,1.33
150,"Raphiael Putney, Massachusetts (Atlantic 10)",Jr.,6-9,C,33,44,1.33
150,"Shawn Glover, Oral Roberts (Southland)",Jr.,6-7,F,33,44,1.33
140,"Cady Lalanne, Massachusetts (Atlantic 10)",So.,6-9,F,32,44,1.38
120,"Darryl Palmer, South Carolina St. (MEAC)",Fr.,6-7,F,30,44,1.47
120,"Alasdair Fraser, Maine (America East)",Jr.,6-7,F,30,44,1.47
111,"Daquan Holiday, NJIT (GWC)",So.,6-7,F,29,44,1.52
111,"Naofall Folahan, Wagner (NEC)",Jr.,6-11,C,29,44,1.52
196,"Kyle Tresnak, Weber St. (Big Sky)",Jr.,6-10,C,36,43,1.19
183,"C.J. Leslie, NC State (ACC)",Jr.,6-9,F,35,43,1.23
183,"Anthony Bennett, UNLV (MWC)",Fr.,6-8,F,35,43,1.23
175,"Kiel Turpin, Florida St. (ACC)",Jr.,7-0,C,34,43,1.26
175,"Shawn Jones, Middle Tenn. (Sun Belt)",Jr.,6-8,F,34,43,1.26
162,"James Ennis, Long Beach St. (Big West)",Sr.,6-7,G,33,43,1.3
147,"Allie Fullah, Charleston So. (Big South)",Jr.,6-7,F,32,43,1.34
137,"Devin Thomas, Wake Forest (ACC)",Fr.,6-9,F,31,43,1.39
129,"Cedrick Williams, UNCW (CAA)",So.,6-9,F,30,43,1.43
110,"Michael Cobbins, Oklahoma St. (Big 12)",So.,6-8,F,28,43,1.54
98,"Halil Kanacevic, Saint Joseph's (Atlantic 10)",Jr.,6-8,F,26,43,1.65
191,"Justin Anderson, Virginia (ACC)",Fr.,6-6,G,35,42,1.2
171,"Michael Kessens, Longwood (Big South)",Fr.,6-9,F,33,42,1.27
161,"Asauhn Dixon-Tatum, Auburn (SEC)",Jr.,7-0,C,32,42,1.31
114,"Nathan Boothe, Toledo (MAC)",Fr.,6-9,C,28,42,1.5
205,"Jack Cooley, Notre Dame (AAC)",Sr.,6-9,F,35,41,1.17
190,"Aziz N'Diaye, Washington (Pac-12)",Sr.,7-0,C,34,41,1.21
166,"Robert Garrett, Santa Clara (WCC)",So.,7-0,C,32,41,1.28
166,"Marvin Fraizer, Northwestern St. (Southland)",So.,6-9,C,32,41,1.28
158,"Andre Roberson, Colorado (Pac-12)",Jr.,6-7,G,31,41,1.32
158,"Dejan Kravic, Texas Tech (Big 12)",Sr.,6-11,C,31,41,1.32
158,"Willie Green, Stetson (ASUN)",Jr.,6-7,F,31,41,1.32
141,"Justin Jackson, Cincinnati (AAC)",Jr.,6-8,F,30,41,1.37
133,"J.J. Panoske, Milwaukee (Horizon)",Fr.,6-10,F,29,41,1.41
133,"Youssou Ndoye, St. Bonaventure (Atlantic 10)",So.,7-0,C,29,41,1.41
244,"Tony Woods, Oregon (Pac-12)",Sr.,6-10,C,37,40,1.08
233,"Shaq Goodwin, Memphis (C-USA)",Fr.,6-9,F,36,40,1.11
202,"Prince Ibeh, Texas (Big 12)",Fr.,6-10,F,34,40,1.18
165,"Brandon Peterson, Arkansas St. (Sun Belt)",Sr.,6-8,F,31,40,1.29
139,"Tyler Flack, South Dakota (Summit League)",So.,6-7,F,29,40,1.38
242,"Nick Jacobs, Alabama (SEC)",So.,6-8,F,36,39,1.08
230,"Maurice Kemp, East Carolina (C-USA)",Sr.,6-8,G,35,39,1.11
230,"Carrick Felix, Arizona St. (Pac-12)",Sr.,6-6,G,35,39,1.11
230,"George Fant, Western Ky. (Sun Belt)",So.,6-6,F,35,39,1.11
218,"Dwight Powell, Stanford (Pac-12)",Jr.,6-10,F,34,39,1.15
218,"Erik Copes, George Mason (CAA)",So.,6-8,F,34,39,1.15
200,"Maxie Esho, Massachusetts (Atlantic 10)",So.,6-8,F,33,39,1.18
187,"Hunter Mickelson, Arkansas (SEC)",So.,6-10,F,32,39,1.22
136,"Gabas Maldunas, Dartmouth (Ivy League)",So.,6-9,F,28,39,1.39
124,"Austin Lewis, McNeese (Southland)",---,0-0,F,27,39,1.44
229,"Okaro White, Florida St. (ACC)",Jr.,6-7,F,34,38,1.12
216,"Cory Remekun, Saint Louis (Atlantic 10)",Sr.,6-8,F,33,38,1.15
198,"Blake Jenkins, Belmont (OVC)",Jr.,6-7,F,32,38,1.19
185,"Bilal Dixon, Towson (CAA)",Sr.,6-9,C,31,38,1.23
173,"Mario Moody, Wagner (NEC)",So.,6-7,F,30,38,1.27
173,"Mitchell Anderson, Ark.-Pine Bluff (SWAC)",Sr.,6-7,G,30,38,1.27
144,"Matt Smith, Mississippi Val. (SWAC)",Fr.,6-4,G,28,38,1.36
225,"Jarnell Stokes, Tennessee (SEC)",So.,6-8,F,33,37,1.12
225,"Richard Solomon, California (Pac-12)",Jr.,6-10,F,33,37,1.12
225,"Ethan O'Day, Vermont (America East)",Fr.,6-9,F,33,37,1.12
225,"Elliott Eliason, Minnesota (Big Ten)",So.,6-11,C,33,37,1.12
212,"Marshawn Powell, Arkansas (SEC)",Jr.,6-7,F,32,37,1.16
212,"Jordan Latham, Loyola Maryland (MAAC)",Jr.,6-8,F,32,37,1.16
212,"Michael Javes, Little Rock (Sun Belt)",So.,6-10,F,32,37,1.16
212,"Rob Chubb, Auburn (SEC)",Sr.,6-10,C,32,37,1.16
197,"Worth Smith, Navy (Patriot)",So.,6-5,F,31,37,1.19
182,"Allan Chaney, High Point (Big South)",Sr.,6-9,F,30,37,1.23
241,"Jakarr Sampson, St. John's (NY) (AAC)",Fr.,6-8,F,33,36,1.09
223,"Kelly Olynyk, Gonzaga (WCC)",Jr.,7-0,F,32,36,1.13
223,"Tymell Murphy, FIU (Sun Belt)",Jr.,6-5,F,32,36,1.13
206,"Onyekachukwu Odi, Florida A&M (MEAC)",Jr.,6-8,F,31,36,1.16
206,"Alphonso Leary, Howard (MEAC)",Jr.,6-10,C,31,36,1.16
206,"Kevin Hardy, McNeese (Southland)",So.,6-2,G,31,36,1.16
206,"Cal Hanks, Southern Utah (Big Sky)",Jr.,6-10,C,31,36,1.16
206,"Ousmane Drame, Quinnipiac (NEC)",So.,6-9,F,31,36,1.16
191,"Augustine Rubit, South Ala. (Sun Belt)",Jr.,6-7,C,30,36,1.2
191,"Matthew Hezekiah, South Carolina St. (MEAC)",Jr.,6-11,F,30,36,1.2
191,"Kyle Barone, Idaho (WAC)",Sr.,6-10,C,30,36,1.2
191,"Riley Barker, Portland (WCC)",So.,6-10,C,30,36,1.2
180,"Colin Borchert, Mississippi St. (SEC)",Jr.,6-8,F,29,36,1.24
150,"Steve Zack, La Salle (Atlantic 10)",So.,6-11,C,27,36,1.33
150,"Kinu Rochford, Fairleigh Dickinson (NEC)",Sr.,6-6,F,27,36,1.33
249,"Josh Nicholas, Alcorn (SWAC)",Jr.,7-0,F,33,35,1.06
249,"Philip Jurick, Oklahoma St. (Big 12)",Sr.,6-11,C,33,35,1.06
239,"Tim Williams, Samford (SoCon)",Fr.,6-8,F,32,35,1.09
239,"Marvelle Harris, Campbell (Big South)",Jr.,6-6,F,32,35,1.09
220,"Kevin Ferguson, Army West Point (Patriot)",Fr.,6-10,C,31,35,1.13
220,"Jalen Carethers, Radford (Big South)",So.,6-8,F,31,35,1.13
220,"Devin Booker, Clemson (ACC)",Sr.,6-8,C,31,35,1.13
189,"Donte Williams, Georgia (SEC)",Jr.,6-9,F,29,35,1.21
246,"Cadarian Raines, Virginia Tech (ACC)",Jr.,6-9,F,32,34,1.06
246,"Dera Nd-Ezuma, Rider (MAAC)",Sr.,6-10,C,32,34,1.06
246,"Mikael Hopkins, Georgetown (AAC)",So.,6-9,F,32,34,1.06
237,"Andrew Del Piero, LSU (SEC)",Sr.,7-3,C,31,34,1.1
237,"Tevin Baskin, Appalachian St. (SoCon)",Jr.,6-6,F,31,34,1.1
203,"Ayibakuro Preh, Idaho St. (Big Sky)",Jr.,6-9,C,29,34,1.17
203,"Laurence Bowers, Missouri (SEC)",Sr.,6-8,F,29,34,1.17
188,"John Brown, High Point (Big South)",Fr.,6-7,F,28,34,1.21
177,"Teeng Akol, Western Ky. (Sun Belt)",Sr.,6-11,C,27,34,1.26
143,"Chris Pelcher, New Hampshire (America East)",Sr.,6-10,C,25,34,1.36
201,"Doug Archer, North Dakota (Big Sky)",Sr.,6-9,F,28,33,1.18
245,"Neveij Walters, Idaho St. (Big Sky)",Sr.,6-6,F,30,32,1.07
235,"Anthony Morse, Tennessee Tech (OVC)",Fr.,6-8,F,29,32,1.1
235,"Andre Almeida, Nebraska (Big Ten)",Sr.,6-11,C,29,32,1.1
150,"Craig McFerrin, McNeese (Southland)",So.,6-7,C,24,32,1.33
181,"Peter 'Pj' Roberson, Grambling (SWAC)",Sr.,7-0,C,25,31,1.24
233,"Mitchell Patton, IUPUI (Summit League)",Jr.,6-9,C,27,30,1.11
211,"Ben Averkamp, Loyola Chicago (Horizon)",Sr.,6-8,F,25,29,1.16
242,"Taylor Johns, UC Riverside (Big West)",Fr.,6-7,F,24,26,1.08
