PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Aaron Craft,PG,10.78,2.9,3.26,29,32,-
Aaron Gordon,PF,10.81,2.76,3.27,32.5,39,-
Adreian Payne,PF,-,-,-,-,-,-
Alec Brown,PF,12.05,2.91,3.48,27,30,-
Alex Kirk,PF,11.2,3.19,3.48,28.5,31.5,-
C.J. Fair,SF,11,3.06,3.32,27,35,-
C.J. Wilcox,SG,11.3,2.92,3.22,31,37.5,-
Cameron Bairstow,PF,11.39,3.09,3.37,31,33.5,-
Cleanthony Early,SF,11.15,2.96,3.18,34,40,-
Cory Jefferson,PF,12.63,3.39,3.36,33,37.5,-
Dante Exum,SG,10.75,2.88,3.19,31.5,34.5,-
DeAndre Daniels,SF,11.46,3.04,3.44,26.5,32,-
DeAndre Kane,PG,10.95,2.85,3.16,31.5,35.5,-
Deonte Burton,PG,11.28,3.08,3.28,29,39.5,-
Devyn Marble,SG,11.32,3.08,3.28,29,35,-
Doug McDermott,SF,11.1,3.15,3.29,28.5,36.5,-
Dwight Powell,PF,11.28,2.88,3.2,28.5,35,-
Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5,-
Gary Harris,SG,-,-,-,-,-,-
Glenn Robinson III,SF,11.22,3.04,3.15,36.5,41.5,-
Isaiah Austin,PF,11,3.18,3.55,26.5,29.5,-
Jabari Brown,SG,11.6,3.26,3.5,28,32,-
Jahii Carson,PG,11.26,3.24,3.24,33.5,43.5,-
James McAdoo,PF,11.61,2.91,3.28,29.5,34,-
James Young,SG,-,-,-,28,35.5,-
Jarnell Stokes,PF,11.92,3.2,3.26,31,36,-
Jerami Grant,SF,-,-,-,-,-,-
Joe Harris,SG,11.11,2.92,3.31,28.5,33.5,-
Johnny O?Bryant III,PF,11.57,3.32,3.45,31,35.5,-
Jordan Adams,SG,12.13,3.05,3.5,24.5,29.5,-
Jordan Bachynski,PF,12.15,3.03,3.36,29,33,-
Jordan Clarkson,PG,10.76,2.98,3.28,33,38.5,-
Jordan McRae,SG,11.07,3.15,3.39,27.5,34.5,-
Julius Randle,PF,11.45,3.14,3.27,29,35.5,-
K.J. McDaniels,SF,12.71,3.2,3.1,33,37,-
Kendall Williams,PG,10.83,2.85,-,27,33,-
Khem Birch,PF,11.6,3.24,3.26,30.5,35.5,-
Kyle Anderson,SF,-,-,-,-,-,-
LaQuinton Ross,SF,11.97,3.52,3.44,25,31,-
Lamar Patterson,SG,11.63,3.13,3.45,27.5,32.5,-
Marcus Smart,PG,10.82,2.96,3.26,33,36,-
Markel Brown,SG,12.62,2.9,3.18,36.5,43.5,-
Melvin Ejim,SF,11.55,3.12,3.14,29.5,35,-
Nick Johnson,SG,10.8,2.95,3.27,33.5,41.5,-
Nik Stauskas,SG,10.79,2.92,3.27,29,35.5,-
Noah Vonleh,PF,11.45,3.29,3.28,31,37,-
P.J. Hairston,SG,11.12,-,3.32,32,37,-
Patric Young,PF,11.18,3.06,3.43,32,37.5,-
Rodney Hood,SF,11.21,3.14,3.38,29,36,-
Russ Smith,PG,11.57,3.01,3.27,29.5,34,-
Sean Kilpatrick,SG,-,-,-,-,-,-
Semaj Christon,PG,11.55,3.21,3.32,30.5,36.5,-
Shabazz Napier,PG,11.6,3.13,3.2,30.5,37.5,-
Spencer Dinwiddie,PG,-,-,-,-,-,-
T.J. Warren,SF,11.1,3.04,3.26,27,35.5,-
Thanasis Antetokounmpo,SF,11.39,3.05,3.18,31.5,39.5,-
Tyler Ennis,PG,11.12,2.84,3.3,29,36,-
Xavier Thames,PG,11.48,3.02,3.48,29,32.5,-
Zach LaVine,PG,10.42,2.8,3.19,33.5,41.5,-
