PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Andre Drummond,C,10.83,-,3.39,31.5,33.5,10
Andrew Nicholson,PF,11.89,-,3.67,28.5,30.5,10
Anthony Davis,PF-C,-,-,-,-,-,-
Arnett Moultrie,PF,11.32,-,3.22,33.5,37.5,10
Austin Rivers,SG-PG,11.54,-,3.32,32.5,37.5,1
Bernard James,PF,11.84,-,3.4,30,32.5,6
Bradley Beal,SG,10.95,-,3.28,33,39,8
Damian Lillard,PG,11.15,-,3.34,34.5,39.5,13
Darius Johnson-Odom,SG,10.76,-,3.21,33.5,41.5,17
Darius Miller,SF-SG,11.34,-,3.31,33,37,14
Dion Waiters,SG,-,-,-,-,-,-
Doron Lamb,SG-PG,11.12,-,3.41,29,33.5,2
Draymond Green,PF-SF,11.01,-,3.4,28,33,9
Drew Gordon,PF,11.35,-,3.49,29,34,10
Fab Melo,C,12.14,-,3.44,29.5,31,9
Festus Ezeli,C-PF,12.35,-,3.29,34,33.5,18
Harrison Barnes,SF-SG,10.93,-,3.16,38,39.5,15
Henry Sims,C-PF,12.33,-,3.44,26.5,29.5,7
Hollis Thompson,SF,11.72,-,3.38,28.5,36.5,6
J'Covan Brown,PG,11.68,-,3.47,26,29.5,3
JaMychal Green,PF,10.63,-,3.38,29.5,32.5,19
Jae Crowder,SF,11.45,-,3.37,31,34.5,20
Jared Cunningham,SG-PG,-,-,-,-,-,4
Jared Sullinger,PF,12.77,-,3.81,29.5,31,9
Jeff Taylor,SF-SG,10.87,-,3.29,33.5,40,15
Jeremy Lamb,SG,10.98,-,3.25,31.5,38,5
John Henson,PF,-,-,-,25.5,30,5
John Jenkins,SG,11.36,-,3.37,30.5,36.5,10
Jordan Taylor,PG,10.57,-,3.19,33,36.5,14
Kendall Marshall,PG,12.03,-,3.23,31,37,-
Kevin Jones,PF,11.94,-,3.6,27.5,32.5,17
Kevin Murphy,SG,10.97,-,3.42,31,36.5,11
Khris Middleton,SF,11.45,-,3.47,28,31,4
Kim English,SG,10.59,-,3.33,29,36.5,-
Kris Joseph,SG,-,-,3.46,28.5,35,6
Kyle O'Quinn,PF,11.65,-,3.53,31.5,31.5,-
Marcus Denmon,SG,10.82,-,3.19,33.5,40,8
Marquis Teague,PG,10.65,-,3.19,32.5,40.5,8
Maurice Harkless,SF,10.87,-,3.25,32.5,37,5
Meyers Leonard,C,11.34,-,3.41,30,32.5,19
Michael Kidd-Gilchrist,SF,11.77,-,3.18,32,35.5,6
Mike Scott,PF,11.59,-,3.44,27,32.5,14
Miles Plumlee,PF-C,10.64,-,3.36,34,40.5,15
Orlando Johnson,SG,10.98,-,3.25,32,39.5,13
Perry Jones,PF-SF,11.31,-,3.19,33,38.5,11
Quincy Acy,PF,10.48,-,3.28,32,37,13
Quincy Miller,SF,11.05,-,3.48,30.5,36,8
Robbie Hummel,SF,11.56,-,3.41,27.5,30,13
Royce White,PF,-,-,-,-,-,-
Scott Machado,PG,11.26,-,3.3,27,32.5,17
Terrence Jones,PF-SF,11.57,-,3.4,29.5,34.5,12
Terrence Ross,SG-SF,11.78,-,3.28,31,37.5,2
Thomas Robinson,PF,11.96,-,3.17,28.5,35.5,15
Tomas Satoransky,PG-SG,-,-,-,-,-,-
Tony Mitchell,SG,11.72,-,3.47,31.5,40,14
Tony Wroten,PG,10.75,-,3.24,30,35.5,0
Tu Holloway,PG,11,-,3.42,28,35,12
Tyler Zeller,PF-C,11.13,-,3.4,30,34,16
Tyshawn Taylor,PG,11.48,-,3.2,32,36.5,0
Will Barton,SG-SF,12.5,-,3.6,30,34,0
William Buford,SG-SF,11.4,-,3.43,27.5,32.5,8
