PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Zach Collins,PF-C,-,-,-,-,-,-
Wesley Iwundu,SG-SF,11.25,3.23,3.36,31.5,36,-
V.J. Beachem,SG-SF,11.18,3.19,3.26,30,37,-
Tyler Lydon,PF,11.68,2.81,3.46,29.5,33.5,-
Tyler Dorsey,SG,10.55,2.98,3.16,30.5,36,-
Tony Bradley,C,11.79,2.99,3.44,24.5,27.5,-
Thomas Welsh,PF-C,-,-,-,-,-,-
Thomas Bryant,PF-C,11.42,3.12,3.37,25.5,33,-
Terrance Ferguson,SG-SF,11.16,3.22,3.32,28.5,38,-
TJ Leaf,PF,11.55,3.27,3.27,29,34.5,-
Svi Mykhailiuk,SG-SF,12.4,3.25,3.53,27,33,-
Sindarius Thornwell,SG-SF,11.48,3.03,3.36,27,30.5,-
Semi Ojeleye,SF-SG,10.58,3.07,3.16,35,40.5,-
Rawle Alkins,SG-SF,11.99,3.18,3.3,31.5,40.5,-
Peter Jok,SG-SF,11.34,2.93,3.41,26.5,31,-
PJ Dozier,SG,10.84,2.98,3.15,34,39,-
Omer Yurtseven,C,12.85,3.3,3.45,26,31.5,-
OG Anunoby,SF,-,-,-,-,-,-
Nigel Williams-Goss,PG,10.42,3.08,3.19,27.5,34.5,-
Nigel Hayes,PF,11.81,2.94,3.27,29,33.5,-
Moritz Wagner,PF,12,2.98,3.35,25.5,32.5,-
Monte Morris,PG,11,3.2,3.19,28,33.5,-
Melo Trimble,PG,10.75,2.92,3.27,24.5,32,-
Markelle Fultz,PG,-,-,-,-,-,-
Luke Kennard,SG-SF,-,-,-,-,-,-
Kyle Kuzma,SF-SG,10.72,2.98,3.25,27,34,-
Kobi Simmons,PG,11.15,2.98,3.18,30.5,38.5,-
Kennedy Meeks,C,12.91,3.35,3.5,28,30.5,-
Kadeem Allen,PG,11.24,2.98,3.15,33,35.5,-
Justin Patton,C,11.8,3.31,3.46,26,30.5,-
Justin Jackson (UNC),SF,10.8,3.06,3.3,29.5,35.5,-
Justin Jackson (UMD),SF,11.78,3.08,3.43,26.5,31.5,-
Josh Hart,SG-SF,11.15,3.02,3.18,27.5,35.5,-
Jordan Bell,PF,10.63,2.83,3.21,31.5,38,-
Jonathan Jeanne,PF-C,12.61,3.16,3.36,29,32,-
Johnathan Motley,PF,-,-,-,-,-,-
John Collins,PF,11.66,3.27,3.27,33,37.5,-
Jawun Evans,PG,11.34,3.26,3.21,27.5,33.5,-
Jarrett Allen,C,11.82,3,3.21,31.5,35.5,-
Jaron Blossomgame,SF,11.47,3.35,3.17,31,35.5,-
Jamel Artis,SG-SF,11.62,3.08,3.44,23.5,31,-
Ivan Rabb,PF,12.68,3.23,3.35,28.5,32.5,-
Isaiah Hicks,PF,12.31,3.31,3.36,31.5,37,-
Isaiah Briscoe,PG,10.95,2.85,3.38,28,33.5,-
Ike Anigbogu,C,12.52,3.48,3.44,29.5,32.5,-
Harry Giles,PF,11.08,3,3.34,27,32.5,-
Hamidou Diallo,SG-SF,10.88,2.79,3.11,34.5,44.5,-
Frank Mason III,PG,11.41,3.09,3.18,34,41,-
Frank Jackson,PG,10.94,2.7,3.14,34.5,42,-
Eric Mika,PF-C,11.71,2.96,3.38,29,32,-
Edrice Adebayo,PF-C,11.94,3.24,3.24,33.5,38.5,-
Edmond Sumner,PG,-,-,-,-,-,-
Dwayne Bacon,SG-SF,11.7,3.22,3.22,30,36.5,-
Donovan Mitchell,SG,11.53,3.07,3.01,36.5,40.5,-
Dillon Brooks,SG-SF,11.14,3.24,3.21,31,37.5,-
Devin Robinson,SF,12.85,3.61,3.23,35.5,41.5,-
Derrick White,PG,10.84,2.92,3.08,31,36.5,-
Derrick Walton Jr.,PG,11.28,3.12,3.29,26,32.5,-
De?Aaron Fox,PG,-,-,-,-,-,-
Davon Reed,SG-SF,11.37,3.21,3.34,28.5,36,-
Damyean Dotson,SG-SF,11.18,3.03,3.13,31.5,38,-
D.J. Wilson,PF,-,-,-,-,-,-
Chris Boucher,PF,-,-,-,-,-,-
Cameron Oliver,PF,12.17,3.31,3.16,28,39.5,-
Caleb Swanigan,PF,-,-,-,-,-,-
Andrew Jones,SG,11.38,3.19,3.34,27,35,-
Alec Peters,PF,-,-,-,-,-,-
