PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Alec Burks,SG,10.96,-,3.17,29,36,5
Andrew Goudelock,PG,10.33,-,3.1,32.5,37,4
Brandon Knight,PG,10.74,-,3.07,29,37.5,10
Chandler Parsons,SF,11.05,-,3.29,25.5,31.5,4
Charles Jenkins,PG-SG,11.68,-,3.18,29.5,34,16
Chris Singleton,SF,11.33,-,3.09,30.5,37.5,15
Cory Joseph,PG,10.75,-,3.27,27.5,35,5
Darius Morris,PG-SG,11,-,3.2,24.5,32,12
David Lighty,SG,10.81,-,3.25,28.5,33,15
DeAndre Liggins,SF-SG,-,-,3.33,27,31,6
Demetri McCamey,PG,11.55,-,3.19,27,33,-
Derrick Williams,PF-SF,11.03,-,3.23,29,34.5,19
E'Twaun Moore,SG,11.12,-,3.31,32,34.5,-
Enes Kanter,PF-C,11.3,-,3.26,26,32.5,14
Gregory Smith,PF-C,12.43,-,3.36,29.5,36,17
Iman Shumpert,PG-SG,11.1,-,3.18,36.5,42,18
Isaiah Thomas,PG,10.49,-,3.14,31.5,40,13
JaJuan Johnson,PF,11.21,-,3.14,33.5,38,15
James Fredette,PG,10.42,-,3.21,28,33,14
Jamie Skeen,PF,12.43,-,3.46,26,30.5,10
Jereme Richmond,SF,11.74,-,3.02,27,33.5,0
Jeremy Tyler,PF-C,11.26,-,3.29,28,33.5,10
Jimmy Butler,SF,11.12,-,3.15,32,39,14
Jon Diebler,SG,10.94,-,3.37,28,35,2
Jon Leuer,PF,10.82,-,3.36,29.5,36.5,14
Jordan Hamilton,SF,11.47,-,3.3,25,32,7
Jordan Williams,PF,12.74,-,3.45,25,30.5,10
Josh Selby,SG-PG,11.13,-,3.2,29.5,42,5
Justin Harper,PF-SF,11.92,-,3.3,28.5,33,19
Kawhi Leonard,SF,11.45,-,3.15,25.5,32,3
Keith Benson,C-PF,11.88,-,3.35,31.5,36,12
Kemba Walker,PG,10.87,-,3.16,32,39.5,7
Kenneth Faried,PF,11.35,-,3.26,30.5,35,16
Klay Thompson,SG,10.99,-,3.24,26.5,31.5,5
Kyle Singler,SF,11.22,-,3.21,23,30,10
Kyrie Irving,PG,-,-,-,-,-,-
LaceDarius Dunn,SG,11.45,-,3.27,26.5,31,3
Malcolm Lee,SG,11.2,-,3.09,30,35.5,17
Malcolm Thomas,PF,11.31,-,3.29,32,36.5,3
Marcus Morris,PF-SF,-,-,3.15,29,33,11
Markieff Morris,PF,-,-,3.4,27,31.5,11
Marshon Brooks,SG,10.74,-,3.09,34,38.5,5
Michael Dunigan,PF-C,11.85,-,3.27,29.5,34.5,10
Nikola Vucevic,PF-C,12.02,-,3.27,23.5,25,8
Nolan Smith,PG,11.05,-,3.17,28.5,34,9
Norris Cole,PG,10.07,-,3.22,29.5,38.5,11
Rick Jackson,PF,11.51,-,3.26,28.5,33,9
Scotty Hopson,SG,10.47,-,3.18,32.5,36,10
Shelvin Mack,PG,11.23,-,3.18,32,39,17
Tobias Harris,SF-PF,10.96,-,3.17,31.5,37.5,12
Travis Leslie,SG,11,-,3.13,33,40.5,10
Trey Thompkins,PF,11.72,-,3.41,27.5,30.5,15
Tristan Thompson,PF,10.92,-,3.26,30,35,9
Tyler Honeycutt,SF,11.68,-,3.07,30,37,-
