PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Aaron Brooks,PG,10.57,-,3.2,32.5,39.5,6
Aaron Gray,C,12.07,-,3.7,27,32.5,17
Acie Law,PG,11,-,3.22,29,34,8
Al Horford,PF,12.15,-,3.37,31,35.5,20
Al Thornton,SF,11.96,-,3.16,35,41,9
Ali Traore,C-PF,12.16,-,3.52,25,29,11
Antanas Kavaliauskas,PF,11.19,-,3.42,25.5,30,19
Anthony Tolliver,PF,11.49,-,3.29,28.5,30,21
Avis Wyatt,PF,11.46,-,3.23,27.5,32,12
Blake Schilb,SG,11.63,-,3.36,26.5,33.5,11
Bobby Brown,PG,11.27,-,3.25,32.5,41,3
Brad Newley,SG,11.77,-,3.29,29.5,31.5,3
Brandan Wright,PF,11.76,-,3.31,30.5,35.5,2
Brandon Heath,PG,11.39,-,3.28,32,36,11
Caleb Green,PF,11.72,-,3.46,28.5,36,9
Carl Landry,PF,11.35,-,3.29,31.5,36.5,21
Cartier Martin,SF,12.1,-,3.43,27,29.5,11
Chris Richard,PF,11.39,-,3.29,26.5,30.5,15
Coby Karl,SG-PG,11.57,-,3.41,32,34.5,9
Coleman Collins,PF,11.47,-,-,30,35,21
Corey Brewer,SF-SG,11.69,-,3.22,30.5,36.5,11
Craig Bradshaw,PF,11.88,-,3.54,26,28,12
Curtis Sumpter,SF,11.3,-,3.22,27.5,32.5,12
DJ Strawberry,SG,10.87,-,3.14,28.5,35,21
DaShaun Wood,PG,11.4,-,3.23,31.5,34.5,13
Daequan Cook,SG,11.12,-,3.22,30,34.5,4
Darryl Watkins,C,11.65,-,3.56,26.5,31,14
Demetris Nichols,SF,10.39,-,3.38,28.5,32.5,16
Dominic James,PG,10.94,-,3.11,33.5,38.5,14
Dominic McGuire,SF,10.95,-,3.25,28.5,34.5,12
Dustin Salisbery,SG,11.07,-,3.12,34,38,11
Ekene Ibekwe,PF,11,-,3.28,34.5,39,10
Greg Oden,C,11.67,-,3.27,32,34,-
Herbert Hill,C,12.31,-,3.39,30.5,34,15
Ivan Radenovic,PF,11.61,-,3.6,23,28,7
JR Reynolds,PG,11.69,-,3.24,27.5,34.5,15
Jamaal Tatum,PG,11.51,-,3.22,28.5,33,7
James Hughes,C,13.31,-,3.37,31,33,8
Jared Dudley,SF,11.32,-,3.45,28,32,14
Jared Jordan,PG,11.02,-,3.39,24.5,28.5,6
Jason Smith,PF,10.96,-,3.29,33.5,37.5,15
Javaris Crittenton,PG,11.6,-,3.32,32.5,38,11
Jeff Green,SF,12,-,3.34,33.5,38,17
Jeremy Hunt,SG,12.11,-,3.29,30.5,33,10
Jermareo Davidson,PF,12.63,-,3.53,27,30,7
Jianlian Yi,,-,-,-,-,-,-
Joakim Noah,PF,11.79,-,3.47,32.5,37.5,12
Josh McRoberts,PF,11.7,-,3.47,27.5,31.5,12
Julian Wright,SF-PF,11.48,-,3.36,28.5,33.5,2
Justin Doellman,PF,-,-,-,-,-,19
Kevin Durant,SF-PF,12.33,-,3.45,26,33.5,0
Kyle Visser,C,12.6,-,3.39,26,29,18
Major Wingate,C,12.14,-,3.47,27.5,30.5,15
Mario Boggan,PF,12.18,-,3.45,24,26.5,12
Marko Lekic,C,11.96,-,3.43,24,30.5,19
Mike Conley,PG,11.63,-,3.09,35.5,40.5,13
Mohamed Abukar,SF,11.78,-,3.37,30.5,35,15
Mustafa Shakur,PG,11.82,-,3.27,28.5,35,11
Nick Young,SG-SF,11,-,3.25,39.5,40.5,6
Quinton Hosley,SF-SG,12.47,-,3.32,28.5,34,12
Ramon Sessions,PG,11.65,-,3.27,29.5,33.5,8
Rashad Jones-Jennings,PF,12.18,-,3.29,25,30,20
Rashaun Freeman,PF,11.43,-,3.41,28,32,20
Renaldas Seibutis,SG,11.33,-,3.39,24,32.5,1
Reyshawn Terry,SF,11.76,-,3.26,31,37.5,18
Rodney Stuckey,SG-PG,11.34,-,3.11,30.5,35,14
Ron Lewis,SG,11.59,-,3.22,33,38,16
Russell Carter,SG,11.61,-,3.29,33,38.5,25
Ryvon Covile,C-PF,12.52,-,3.37,25,30.5,19
Sammy Mejia,SG,11.87,-,3.49,27,31.5,7
Spencer Hawes,PF,11.88,-,3.51,26,29,9
Stephane Lasme,PF,11.73,-,3.22,29.5,36,17
Taurean Green,PG,11.3,-,3.26,29,32.5,8
Thaddeus Young,SF,11.06,-,3.19,34.5,37,13
Trey Johnson,SG,11.78,-,3.31,26.5,35,18
Yue Sun,SF,10.68,-,3.45,29,34,9
Zabian Dowdell,PG,11.13,-,3.29,30,33.5,3
