PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
A.J. Price,PG,10.99,-,3.22,26,31,11
Austin Daye,SF-PF,12.11,-,3.55,25,28,0
Blake Griffin,PF,10.95,-,3.28,32,35.5,22
Byron Mullens,C,11.1,-,3.45,28.5,32.5,10
Chase Budinger,SF-SG,11.08,-,3.24,29.5,38.5,10
DaJuan Summers,SF,10.94,-,3.17,29.5,34.5,15
Danny Green,SG-SF,11.3,-,3.3,29,33,15
Dante Cunningham,PF,11.18,-,3.26,28,35,18
Darren Collison,PG,10.45,-,3.1,30.5,33.5,9
DeJuan Blair,PF,11.5,-,3.45,26,33,18
DeMar DeRozan,SG-SF,11.88,-,3.31,29,38.5,5
DeMarre Carroll,PF-SF,-,-,-,-,-,-
Derrick Brown,SF-PF,11.26,-,3.13,30.5,35.5,20
Dionte Christmas,SG,10.83,-,3.21,27,33.5,3
Earl Clark,SF-PF,11.17,-,3.35,28.5,33,5
Eric Maynor,PG,10.78,-,3.19,28.5,31.5,8
Gerald Henderson,SG-SF,11.17,-,3.14,31.5,35,8
Hasheem Thabeet,C,-,-,-,-,-,-
Jack McClinton,SG-PG,10.44,-,3.21,30,36.5,13
James Harden,SG,11.1,-,3.13,31.5,37,17
James Johnson,SF-PF,11.21,-,3.23,30.5,35,18
Jeff Adrien,PF,11.34,-,3.32,27.5,31.5,16
Jeff Ayres,PF,11.98,-,3.14,31,35,15
Jeff Teague,PG,11.05,-,3.18,30.5,36.5,13
Jerel McNeal,SG,10.61,-,3.25,31.5,36.5,10
Jermaine Taylor,SG,11.54,-,3.32,34,37.5,16
Jodie Meeks,SG,10.96,-,3.1,28.5,37,14
Joe Ingles,SF,10.66,-,3.3,26,31,3
Jonny Flynn,PG,10.86,-,3.23,33,40,10
Jordan Hill,PF-C,12.23,-,3.3,31,35,11
Josh Heytvelt,PF-C,11.67,-,3.38,28.5,34,15
Jrue Holiday,PG-SG,10.64,-,3.21,28.5,34,6
Marcus Thornton,SG,10.73,-,3.28,31,33,14
Omri Casspi,SF,11.15,-,3.28,25.5,32.5,2
Patty Mills,PG,10.87,-,3.1,27.5,33,8
Rodrigue Beaubois,PG,10.49,-,3.15,29.5,39,3
Sam Young,SF-SG,11.47,-,3.45,27.5,33,-
Stephen Curry,PG-SG,11.07,-,3.28,29.5,35.5,10
Taj Gibson,PF,11.56,-,3.41,25.5,30,12
Terrence Williams,SG-SF,11.15,-,3.18,30.5,37,9
Toney Douglas,PG,10.63,-,3.03,28,32.5,15
Ty Lawson,PG,10.98,-,3.12,29,36.5,14
Tyler Hansbrough,PF,11.12,-,3.27,27.5,34,18
Tyler Smith,SF,10.69,-,3.24,29,33.5,10
Tyreke Evans,PG-SG,11.81,-,3.17,28.5,34,7
Wayne Ellington,SG,11.14,-,3.2,31.5,38,13
