PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Aaron Miles,PG,10.69,-,3.22,32,37.5,7
Alan Anderson,SG-SF,10.32,-,3.27,26.5,30.5,10
Alex Acker,SG,11.67,-,3.35,28,32,11
Andrew Bogut,C-PF,12.06,-,3.51,27.5,33.5,13
Anthony Roberson,PG,11.17,-,3.19,31.5,37,14
Antoine Wright,SF-SG,11.45,-,3.41,26.5,29.5,12
Bracey Wright,SG-PG,11.58,-,3.27,30,36,8
Brandon Rush,SG-SF,11.33,-,3.31,32.5,35,0
Carl Krauser,PG-SG,11.62,-,3.38,26,31,8
Carlos Powell,SF-PF,11.54,-,3.21,27.5,34.5,12
Channing Frye,PF-C,11.6,-,3.38,27.5,31,19
Charles Hayes,SF-PF,10.7,-,3.34,30,33,20
Charlie Villanueva,PF-SF,10.86,-,3.3,26,31,11
Chris Paul,PG,11.09,-,3.22,32,38,10
Chris Taft,PF,11.26,-,3.27,28.5,33,14
Chris Thomas,PG,10.84,-,3.33,28.5,34,14
D'Or Fischer,C-PF,12.53,-,3.5,28,30.5,2
Danny Granger,,10.84,-,3.34,31,34,10
Daryl Dorsey,PG,11.41,-,3.24,25,30.5,0
David Lee,PF,10.8,-,3.19,30.5,32.5,14
David Lucas,PF,-,-,-,-,-,17
David Simon,C-PF,11.98,-,3.44,28,33,18
Dee Brown,PG-SG,-,-,-,-,-,-
Deji Akindele,C-PF,12.58,-,3.35,30.5,32.5,13
Deng Gai,PF-C,12.51,-,3.27,31.5,35.5,11
Deron Williams,PG,10.83,-,3.25,30,35,15
Dijon Thompson,SF-SG,-,-,-,-,-,-
Drago Pasalic,SF-PF,12.12,-,3.48,25,30.5,11
Dwayne Jones,C-PF,11.87,-,3.25,28,31.5,15
Eddie Basden,SG-SF,10.52,-,3.21,33,36.5,14
Eddy Fobbs,C-PF,11.53,-,3.28,29.5,34,12
Ellis Myles,PF,12.8,-,3.42,26,28.5,15
Ersan Ilyasova,SF,11.59,-,3.56,22,30,2
Francisco Garcia,SF-SG,10.63,-,3.33,27.5,31.5,5
Gerald Green,SF,11.2,-,3.21,31.5,39,7
Hakim Warrick,PF-SF,-,-,3.22,33,38,11
Ike Diogu,PF,11.94,-,3.45,28,31,21
Ivan McFarlin,PF,10.64,-,3.27,26.5,32,10
Jared Homan,C-PF,-,-,-,-,-,16
Jarrett Jack,PG,10.87,-,3.24,26,28.5,5
Jason Klotz,C-PF,13.13,-,3.68,21.5,27,12
Jason Maxiell,PF,-,-,-,-,-,-
Jawad Williams,SF,11.39,-,3.23,28,34,15
Joey Graham,SF,10.62,-,3.05,30,36,26
John Gilchrist,PG,11.48,-,3.15,30.5,36.5,12
John Lucas III,PG,10.44,-,3.14,29,34,4
Juan Mendez,PF-SF,11.7,-,3.24,29,33,14
Julius Hodge,SG-SF,10.89,-,3.18,24.5,29,14
Keith Langford,SG-SF,11.38,-,3.23,32,29.5,8
Kevin Pittsnogle,PF,-,-,-,-,-,-
Larry O'Bannon,SG,11.44,-,3.18,31.5,36.5,17
Luke Schenscher,C,12.4,-,3.47,23.5,26.5,1
Luther Head,PG-SG,11.12,-,3.21,31.5,38.5,14
Marcin Gortat,PF-C,11.48,-,3.33,29.5,36,18
Marcus Campbell,C,-,-,-,-,-,9
Martell Webster,SF,11.39,-,3.39,28,30.5,7
Martynas Andriuskevicius,C-PF,11.94,-,3.42,24,27.5,0
Marvin Williams,PF-SF,11.11,-,3.17,29.5,35,12
Mike Bell,SF-PF,11.73,-,3.29,33.5,39.5,13
Mindaugas Katelynas,SF-PF,11.6,-,3.38,31.5,35,7
Monta Ellis,SG-PG,12.13,-,3.31,26.5,31.5,0
Mustafa Al-Sayyad,PF-C,11.56,-,3.42,26.5,30.5,-
Nemanja Aleksandrov,PF-SF,-,-,-,-,-,5
Omar Thomas,SF-SG,11.11,-,3.27,25,29.5,6
Rashad McCants,SG,10.39,-,3.11,32.5,34.5,15
Rawle Marshall,SG-SF,11.64,-,3.21,30.5,37,7
Raymond Felton,PG,10.5,-,3.06,29,33.5,6
Robert Whaley,PF-C,12.11,-,3.25,28.5,33.5,15
Roger Powell,SF,-,-,-,-,-,-
Ronnie Price,PG,10.49,-,3.29,31.5,39,11
Ronny Turiaf,PF,11.5,-,3.23,30.5,33,15
Rudy Fernandez,SG,10.48,-,3.33,26.5,35.5,0
Sean Banks,SF,11.74,-,3.35,25,31.5,7
Sean May,PF,11.04,-,3.29,30,33,12
Sharrod Ford,PF,11.92,-,3.2,28.5,37,9
Taylor Coppenrath,PF-SF,11.51,-,3.44,24.5,27,5
Travis Diener,PG-SG,10.85,-,3.26,24.5,31,1
Tre Simmons,SG-SF,10.8,-,3.18,27,31.5,3
Wayne Simien,PF,11.05,-,3.35,27,27.5,11
Will Bynum,PG-SG,11.12,-,3,33,40.5,15
Will Conroy,PG,10.51,-,3.28,30.5,36.5,14
