PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Adam Morrison,SF,11.46,-,3.37,25.5,30.5,11
Allan Ray,SG,11.01,-,3.2,28.5,35.5,9
Antywane Robinson,SF-PF,11.73,-,3.4,29,32.5,12
Blake Schilb,PG-SG,11.25,-,3.43,28.5,34.5,13
Bobby Jones,SF-SG,11.23,-,3.28,28.5,34.5,15
Brad Buckman,PF,12.26,-,3.54,25.5,30.5,10
Brandon Bowman,SF,11.41,-,3.31,31,34,24
Brandon Roy,SG-SF,11.13,-,3.27,34,40.5,6
CJ Watson,PG,11.61,-,3.15,31.5,34,12
Carl Krauser,PG,11.62,-,3.38,26,31,8
Cedric Simmons,PF-C,11.05,-,3.31,30.5,35,15
Chris McCray,SG,11.46,-,3.34,30.5,39,1
Chris Quinn,PG-SG,11.25,-,3.25,32,37,7
Craig Smith,PF,11.59,-,3.4,30,29.5,-
Curtis Stinson,SG,10.95,-,3.27,28,31.5,17
Curtis Withers,PF-SF,11.54,-,3.1,35,36.5,14
Dan Grunfeld,SF-SG,11.3,-,3.46,28,33.5,16
Daniel Horton,PG-SG,10.35,-,3.16,30,36.5,17
Danilo Pinnock,PG-SG,11.91,-,3.08,29.5,35.5,7
Darius Washington,PG,10.71,-,3.26,29,37.5,9
David Noel,SF-SG,10.54,-,3.07,34.5,38.5,20
Denham Brown,SG-SF,11.42,-,3.25,28,34.5,12
Dwayne Mitchell,SG-SF,11.45,-,3.16,37.5,41.5,17
Eric Hicks,PF,12.06,-,3.34,30,34,20
Eric Williams,C-PF,11.71,-,3.56,28.5,29,17
Frans Steyn,C,11.67,-,3.38,28.5,29.5,-
Gerry McNamara,PG-SG,11.28,-,3.4,27,32,3
Hilton Armstrong,C-PF,12.28,-,3.53,28.5,31.5,13
Ian Vouyoukas,C-PF,13.7,-,3.72,23,28,8
J.P. Batista,PF,11.62,-,3.38,26,30.5,26
JJ Redick,SG,10.94,-,3.29,27.5,33,6
James Augustine,PF,10.54,-,3.25,30,32.5,13
Joah Tucker,SF-SG,11.58,-,3.31,29,34,19
Jordan Farmar,PG,11.07,-,3.17,33.5,42,11
Justin Williams,C-PF,11.9,-,3.31,26.5,31.5,7
Kenny Adeleke,PF-C,11.57,-,3.47,28.5,30.5,26
Keydren Clark,PG,11.03,-,3.11,31,34,13
LaMarcus Aldridge,PF-C,12.02,-,3.43,26.5,34,8
Lou Amundson,PF,10.58,-,3.2,32,35.5,14
Marco Killingsworth,PF,11.42,-,3.34,28,32,13
Marcus Slaughter,PF-SF,11.56,-,3.4,30,34,9
Marcus Williams,PG,11.3,-,3.4,24.5,28,4
Mardy Collins,PG-SG,12,-,3.27,31.5,37.5,9
Matt Haryasz,PF-C,11.34,-,3.46,27.5,31.5,10
Maurice Ager,SG-PG,11.73,-,3.22,29.5,35,11
Michael Southhall,C,12.29,-,3.51,31.5,37,2
Morris Almond,SG-SF,11.45,-,3.19,31,35.5,13
Mouhamed Sene,C,12.52,-,3.38,28.5,31,7
Nick George,SF-SG,11.69,-,3.25,30.5,38,14
Nik Caner-Medley,SF,10.57,-,3.21,28.5,35.5,17
Patrick O'Bryant,C,12.68,-,3.63,26.5,30,13
Paul Miller,PF-C,12.25,-,3.66,29,35.5,25
Paul Millsap,PF,11.67,-,3.3,28.5,32.5,15
Pops Mensah-Bonsu,PF-C,11.47,-,3.29,31.5,36,19
Randy Foye,SG-PG,10.53,-,3.23,32,38,14
Rashad Anderson,SG,11.77,-,3.48,27.5,32.5,13
Renaldo Balkman,SF-PF,11.58,-,3.22,30.5,35,9
Rodney Carney,SG-SF,10.57,-,3.06,32,38.5,10
Ronnie Brewer,SG-PG,11.32,-,3.14,35,41,19
Rudy Gay,SF-PF,11.03,-,3.32,33,40.5,9
Sean Dockery,PG-SG,10.88,-,3.34,29,33,4
Shawne Williams,SF-PF,10.69,-,3.3,32,31,-
Shelden Williams,PF-C,11.53,-,3.59,29,33.5,25
Solomon Jones,PF-C,11.27,-,3.3,32,39,6
Steve Novak,SF,11.11,-,3.37,24.5,31,5
Steven Smith,SF-PF,12.08,-,3.4,29.5,34.5,15
Taj Gray,PF-SF,11.02,-,3.45,28.5,33,10
Taquan Dean,SG-PG,10.53,-,3.2,30.5,34.5,16
Tarence Kinsey,SF-SG,10.67,-,3.3,29,35.5,5
Tedric Hill,SF-PF,12.23,-,3.24,30,36.5,1
Terence Dials,PF-C,11.54,-,3.5,26.5,30,16
Torin Francis,PF-C,11.97,-,3.51,26.5,32,9
Tyrus Thomas,PF-SF,11.36,-,3.2,34,39.5,8
Viktor Keyru,SG-PG,11.4,-,3.24,29,34.5,11
Will Blalock,PG,11.08,-,3.18,35,40,8
Yemi Nicholson,PF-C,12.57,-,3.65,26.5,26,8
