PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Aleks Maric,C,11.76,-,3.35,23,28,15
Anthony Randolph,PF-SF,11.86,-,3.26,29,35,7
Brian Butch,C-PF,11.87,-,3.52,24,26.5,9
Brian Roberts,PG,10.65,-,3.05,31.5,36.5,10
Brook Lopez,C,12.77,-,3.57,27.5,30.5,7
Bryce Taylor,SG,11.08,-,3.19,34.5,41,16
Charles Rhodes,PF,11.51,-,3.13,26.5,33.5,14
Chris Daniels,C-PF,12.72,-,3.56,26,28.5,11
D.J. Augustin,PG,11.27,-,3.07,28.5,35,2
Darnell Jackson,PF,11.75,-,3.26,27,31,11
Darrell Arthur,PF,12.18,-,3.14,28.5,30,12
David Padgett,C-PF,12.45,-,3.45,24,28,17
Davon Jefferson,SF,12.02,-,3.36,27,32,2
DeAndre Jordan,C,12.3,-,3.27,26,30.5,8
DeMarcus Nelson,PG-SG,10.54,-,3.13,34.5,38.5,19
DeVon Hardin,C-PF,11.49,-,3.33,29.5,32,20
Deron Washington,SF,11.03,-,3.09,34,40,7
Derrick Rose,PG,11.69,-,3.05,34.5,40,10
Donte Greene,SF-PF,11.21,-,3.2,27.5,31.5,2
Drew Neitzel,PG,11.19,-,3.2,25.5,32,10
Eric Gordon,SG,10.81,-,3.01,32,40,15
Frank Elegar,PF,11.86,-,3.17,33.5,37.5,11
Gary Forbes,SG,11.45,-,3.25,27.5,33.5,13
George Hill,PG,12.2,-,3.07,34,37.5,9
J.R. Giddens,SG,-,-,-,-,-,10
JaVale McGee,C-PF,12.75,-,3.25,27,32.5,7
Jamar Butler,PG,-,-,-,-,-,15
James Gist,PF,11.37,-,3.14,30.5,35,5
James Mays,PF,11.23,-,3.19,29.5,35,13
Jeremy Pargo,PG,10.65,-,3.07,32,37,7
Jerryd Bayless,PG-SG,11.26,-,3.07,31,38,10
Jiri Hubalek,C-PF,12.26,-,3.54,20.5,26,2
Joe Alexander,SF-PF,11.33,-,2.99,32.5,38.5,24
Joe Crawford,SG,11.67,-,3.22,31,36,13
Joey Dorsey,PF-C,11.84,-,3.2,27.5,33,19
John Riek,C,-,-,-,-,-,-
Joseph Jones,PF,11.61,-,3.33,25.5,31,16
Josh Duncan,PF,12.47,-,3.26,28,32,26
Keith Brumbaugh,SF-PF,11.65,-,3.28,26,27,2
Kentrell Gransberry,C,12.16,-,3.32,24.5,27.5,18
Kevin Love,PF,11.17,-,3.22,29.5,35,18
Kyle Hines,SF-PF,12.17,-,3.4,28.5,33,16
Lester Hudson,PG,11.15,-,3.16,30.5,36,12
Longar Longar,C,-,-,-,-,-,14
Luc Mbah a Moute,SF,11.71,-,3.17,32,38.5,11
Maarty Leunen,SF,11.57,-,3.36,29.5,34.5,14
Malik Hairston,SG,11.33,-,3.08,30.5,38,13
Marcelus Kemp,SG,11.79,-,3.39,26,30,9
Marcus Dove,SF-PF,11.59,-,3.26,27.5,33.5,10
Mark Tyndale,SG-SF,12.52,-,3.14,27,33.5,5
Michael Beasley,PF-SF,11.06,-,3.24,30,35,19
Mike Taylor,SG-PG,10.98,-,3.08,31,39,2
O.J. Mayo,SG-PG,11.04,-,3.14,30.5,41,7
Othello Hunter,PF-SF,11.51,-,3.18,28,34.5,7
Pat Calathes,SF-PF,-,-,-,-,-,7
Patrick Ewing Jr.,SF-PF,11.77,-,3.43,35,42,2
Quan Prowell,SF-PF,11.79,-,3.14,32,36,16
Ramel Bradley,PG-SG,10.68,-,3.24,24.5,29.5,9
Reggie Williams,SG,11.32,-,3.07,31.5,36.5,15
Richard Hendrix,PF,10.62,-,3.27,26.5,28,13
Richard Roby,SG-SF,-,-,-,-,-,-
Robert Vaden,SG,11.97,-,3.4,26,29.5,10
Ronald Steele,PG,11.08,-,3.26,25,29.5,5
Russell Robinson,PG,11.3,-,3.15,25,31.5,8
Russell Westbrook,PG,10.98,-,3.08,30,36.5,12
Sasha Kaun,C-PF,12.06,-,3.2,29,32,13
Sean Singletary,PG,-,-,-,26,-,18
Shan Foster,SG,12.3,-,3.24,30,33,10
Shaun Pruitt,C-PF,11.3,-,3.4,27,32.5,10
Shawn James,PF,-,-,-,-,-,6
Sonny Weems,SG-SF,10.58,-,2.96,29,36.5,12
Stanley Burrell,PG,11.19,-,3.19,29.5,34.5,21
Takais Brown,PF,12.47,-,3.25,29,31,22
Trent Plaisted,PF,11.32,-,3.17,30.5,35.5,14
Tyrone Brazelton,PG,11.59,-,3.25,30,34,8
Vladimir Golubovic,C,12.4,-,3.33,21.5,27,15
