PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Aaron Harrison,SG,-,-,3.27,28.5,34.5,1
Aaron White,PF-SF,11.56,3.15,3.38,30,35,7
Alan Williams,PF,12.26,3.54,3.5,25.5,28.5,8
Andrew Harrison,PG,11.2,-,3.34,26.5,33,-
Anthony Brown,SF-SG,10.94,3.29,3.18,27.5,34.5,4
Bobby Portis,PF,11.78,3.28,3.56,25,31.5,5
Branden Dawson,PF,12.22,3.53,3.2,28.5,34.5,12
Brandon Ashley,PF,11.21,3.35,3.58,31.5,35.5,9
Cameron Payne,PG,10.9,2.93,3.28,29.8,35.5,0
Chasson Randle,PG,10.63,2.81,3.2,33.5,39.5,6
Chris McCullough,PF,-,-,-,-,-,-
Chris Walker,PF,11.25,3.41,3.35,30.5,37,6
Christian Wood,PF,-,-,-,-,-,-
Cliff Alexander,PF-C,-,-,-,-,-,-
Corey Hawkins,SG-PG,10.81,-,3.51,28.5,34,9
D?Angelo Russell,PG-SG,-,-,-,-,-,-
Dakari Johnson,C,11.76,2.94,3.62,22.5,25,4
Delon Wright,PG,11.16,3.5,3.29,29.5,31,4
Devin Booker,SG,10.27,2.75,3.28,27.5,34.5,8
Dez Wells,SG,10.56,3.05,3.2,31.5,39,15
Frank Kaminsky,C-PF,-,-,-,-,-,-
George de Paula,PG,11.34,3.16,3.45,28,34,6
J.P. Tokoto,SF-SG,10.97,3.2,3.27,34.5,40,12
Jarell Martin,PF,11.2,2.97,3.27,28.5,35,19
Jerian Grant,PG,-,-,-,-,-,-
Jonathan Holmes,PF-SF,10.95,3.12,3.51,25.5,31,-
Jordan Mickey,PF,11.72,3.13,3.28,33,37.5,9
Joseph Young,SG-PG,10.75,3.11,3.25,34.5,40.5,9
Justin Anderson,SF-SG,11.13,2.88,3.22,38,43,12
Justise Winslow,SF,-,-,-,-,-,-
Keifer Sykes,PG,10.47,3.15,3.13,34,43,8
Kelly Oubre,SF-SG,11.09,3.12,3.32,34.5,37,7
Kevon Looney,PF,-,-,-,-,-,-
Larry Nance,PF,10.93,3.01,3.25,29,37.5,10
Marcus Thornton,PG-SG,10.78,2.88,3.02,34.5,43,3
Michael Frazier II,SG,10.66,3.02,3.32,27,35,10
Michael Qualls,SG-SF,11.88,-,3.18,34,39.5,9
Montrezl Harrell,PF,-,-,-,-,-,-
Mouhammadou Jaiteh,C-PF,11.83,3.08,3.38,24.5,31.5,7
Myles Turner,C-PF,-,-,-,-,-,-
Norman Powell,SG,10.69,3.2,3.2,32.5,40.5,5
Olivier Hanlan,PG-SG,11.41,3.12,3.25,28,34,19
Pat Connaughton,SG,10.58,3.08,3.2,37.5,44,13
Quinn Cook,PG,11.44,3.41,3.38,24.5,31,14
R.J. Hunter,SG,10.87,2.91,3.26,27.5,33.5,1
Rakeem Christmas,PF-C,11.6,3.3,3.47,29,32,9
Rashad Vaughn,SG,11.4,3.1,3.21,28,34,5
Richaun Holmes,PF,11.24,3.31,3.32,32.5,36,15
Robert Upshaw,C,-,-,-,-,-,-
Rondae Hollis-Jefferson,SF,10.41,3.19,3.12,32,38,13
Ryan Boatright,PG,10.71,3.05,3.26,32,41,10
Sam Dekker,SF,10.64,2.96,3.28,25.5,34.5,5
Stanley Johnson,SF,-,-,-,-,-,-
TJ McConnell,PG,10.95,3.09,3.3,26,31.5,7
TaShawn Thomas,PF,11.84,3.24,3.47,26,30.5,9
Terran Petteway,SG,10.91,3.1,3.32,25,31,15
Terry Rozier,PG-SG,10.84,2.84,3.15,33,38,7
Treveon Graham,SF,11.64,3.15,3.3,28.5,31.5,11
Trey Lyles,PF,-,-,-,-,-,-
Tyler Harvey,SG,10.56,2.93,3.44,26,28.5,1
Tyus Jones,PG,11.84,2.95,3.32,26.5,32.5,2
Vince Hunter,PF,11.19,3.06,3.26,33.5,37.5,13
Willie Cauley-Stein,C,-,-,-,-,-,-
